"postcode","huisnummer","huisletter","toevoeging"
"9723CE",17,"",""
"9723CE",17,"",""
"9723CE",17,"",""
"9723CE",18,"",""
"9723CG",1,"",""
"9723CG",1,"","4"
"9723CG",21,"",""
"9723CG",6,"",""
"9723CG",1,"","8"
"9723CG",1,"",""
"9723CG",1,"","10"
"9723CG",10,"",""
"9723CG",1,"","6"
"9723CG",21,"",""
"9723CG",1,"","5"
"9723CG",1,"","2"
"9723CG",1,"a",""
"9723CG",1,"","9"
"9723CG",14,"",""
"9723CG",1,"","12"
"9723CG",9,"",""
"9723CG",11,"",""
"9723CG",1,"","3"
"9723CG",1,"","1"
"9723CG",21,"",""
"9723CG",1,"","5"
"9723CG",1,"","5"
"9723CG",13,"",""
"9723CG",1,"","11"
"9723CG",1,"k",""
"9723CG",12,"",""
"9723CG",8,"",""
"9723CG",1,"","7"
"9723CH",14,"",""
"9723CH",16,"",""
"9723CK",2,"",""
"9723CL",10,"",""
"9723CM",5,"",""
"9723CM",3,"",""
"9723CN",2,"a",""
"9723CN",1,"",""
"9723CN",12,"",""
"9723CN",2,"d",""
"9723CN",2,"e",""
"9723CN",10,"",""
"9723CN",2,"c",""
"9723CN",2,"",""
"9723CN",8,"",""
"9723CN",4,"",""
"9723CN",2,"b",""
9723CH,Waterhuizen,14,,
9723CG,Winschoterweg,14,,
9723CG,Winschoterweg,12,,
9723CG,Winschoterweg,8,,
9723CG,Winschoterweg,9,,
9723CE,Oude Roodehaansterweg,17,,
9723CE,Oude Roodehaansterweg,18,,
9723CG,Winschoterweg,6,,
9723CG,Winschoterweg,10,,
9723CG,Winschoterweg,13,,
9723CG,Winschoterweg,11,,
9723CH,Waterhuizen,16,,
9723CG,Winschoterweg,1,a,
9723CG,Winschoterweg,1,,
9723CG,Winschoterweg,1,k,
9723CG,Winschoterweg,21,,
9723CG,Winschoterweg,1,,5
9723CG,Winschoterweg,21,,
9723CG,Winschoterweg,1,,1
9723CG,Winschoterweg,1,,2
9723CG,Winschoterweg,1,,3
9723CG,Winschoterweg,1,,4
9723CG,Winschoterweg,1,,5
9723CG,Winschoterweg,1,,6
9723CG,Winschoterweg,1,,7
9723CG,Winschoterweg,1,,8
9723CG,Winschoterweg,1,,9
9723CG,Winschoterweg,1,,10
9723CG,Winschoterweg,1,,11
9723CG,Winschoterweg,1,,12
9723CL,Wilhelmshavenweg,10,,
9723CM,Arendalweg,5,,
9723CN,Aalborgweg,2,,
9723CN,Aalborgweg,4,,
9723CE,Oude Roodehaansterweg,17,,
9723CG,Winschoterweg,1,,
9723CG,Winschoterweg,9,,
9723CG,Winschoterweg,9,a,
9723CG,Winschoterweg,9,b,
9723CG,Winschoterweg,9,c,
9723CG,Winschoterweg,9,d,
9723CK,Bremerhavenweg,2,,
9723CM,Arendalweg,3,,
9723CM,Arendalweg,1,,
9723CN,Aalborgweg,8,,
9723CN,Aalborgweg,10,,
9723CN,Aalborgweg,12,,
9723CN,Aalborgweg,2,a,
9723CN,Aalborgweg,2,b,
9723CN,Aalborgweg,2,c,
9723CN,Aalborgweg,2,d,
9723CN,Aalborgweg,2,e,
9723CN,Aalborgweg,1,,
