"postcode","huisnummer","huisletter","toevoeging"
"1338EC",3,"",""
"1338EC",11,"",""
"1338EC",21,"",""
"1338EC",19,"",""
"1338EE",10,"",""
"1338EE",6,"A",""
"1338EE",6,"",""
"1338EE",22,"",""
"1338EE",16,"",""
"1338EE",12,"",""
"1338EE",18,"",""
"1338EE",24,"",""
"1338EE",20,"",""
"1338EE",2,"",""
"1338EE",4,"",""
"1338EE",8,"",""
"1338EE",14,"",""
"1338EE",6,"A",""
"1338EG",10,"",""
"1338EG",6,"",""
"1338EG",2,"",""
"1338EG",14,"",""
"1338EH",7,"",""
"1338EH",9,"",""
1338EC,Edelhertweg,21,,
1338EC,Edelhertweg,11,,
1338EC,Edelhertweg,19,,
1338EE,Antilopestraat,18,,
1338EE,Antilopestraat,20,,
1338EE,Antilopestraat,6,,
1338EE,Antilopestraat,8,,
1338EE,Antilopestraat,22,,
1338EE,Antilopestraat,24,,
1338EE,Antilopestraat,10,,
1338EE,Antilopestraat,12,,
1338EE,Antilopestraat,14,,
1338EE,Antilopestraat,16,,
1338EE,Antilopestraat,2,,
1338EE,Antilopestraat,4,,
1338EG,Giraffeweg,10,,
1338EG,Giraffeweg,14,,
1338EG,Giraffeweg,2,,
1338EG,Giraffeweg,6,,
1338EH,Giraffeweg,7,,
1338EH,Giraffeweg,9,,
1338EE,Antilopestraat,6,A,
1338EC,Edelhertweg,3,,
1338EE,Antilopestraat,22,,
1338EE,Antilopestraat,26,,
