"postcode","huisnummer","huisletter","toevoeging"
"8941BR",33,"",""
"8941BR",33,"",""
"8941BR",33,"a",""
"8941BR",25,"",""
"8941BR",35,"",""
"8941BR",33,"",""
"8941BR",31,"",""
"8941ZZ",40,"",""
"8941ZZ",17,"",""
"8941ZZ",34,"",""
"8941ZZ",17,"",""
"8941ZZ",17,"",""
"8941ZZ",34,"",""
"8941ZZ",40,"",""
8941ZZ,Werpsterdyk,17,,
8941ZZ,Werpsterdyk,17,,
8941ZZ,Werpsterdyk,40,,
8941ZZ,Werpsterdyk,40,,
8941ZZ,Werpsterdyk,34,,
8941ZZ,Werpsterdyk,34,,
8941BR,Lynbaan,33,,
8941BR,Lynbaan,35,,
8941BR,Lynbaan,31,,
8941BR,Lynbaan,25,,
8941BR,Lynbaan,33,,
8941BR,Lynbaan,33,a,
8941BR,Lynbaan,5,,
8941BR,Lynbaan,11,,
8941BR,Lynbaan,13,,
8941BR,Lynbaan,15,,
