"postcode","huisnummer","huisletter","toevoeging"
"8425SJ",3,"",""
"8425SJ",2,"",""
"8425SJ",1,"",""
"8425SK",1,"",""
"8425SK",3,"",""
"8425SK",17,"",""
"8425SK",9,"",""
"8425SK",13,"C",""
"8425SK",5,"","TR01"
"8425SK",7,"",""
"8425SK",13,"B",""
"8425SK",11,"",""
"8425SK",23,"",""
"8425SK",13,"A",""
"8425SK",19,"A",""
"8425SK",5,"",""
"8425SK",15,"",""
"8425SK",21,"",""
"8425SK",13,"",""
"8425SK",19,"",""
"8425SL",6,"",""
"8425SL",12,"",""
"8425SL",4,"",""
"8425SL",8,"",""
"8425SL",28,"",""
"8425SL",8,"","TR01"
"8425SL",20,"",""
"8425SL",18,"",""
"8425SL",22,"",""
"8425SL",14,"",""
"8425SL",26,"",""
"8425SL",16,"",""
"8425SL",24,"",""
"8425SM",9,"E",""
"8425SM",9,"G",""
"8425SM",9,"A",""
"8425SM",9,"D",""
"8425SM",3,"",""
"8425SM",11,"",""
"8425SM",5,"",""
"8425SM",7,"",""
"8425SM",9,"C",""
"8425SM",9,"B",""
"8425SM",9,"",""
"8425SM",1,"",""
"8425SM",9,"H",""
"8425SM",9,"F",""
"8425SP",3,"",""
"8425SP",12,"",""
"8425SP",4,"",""
"8425SP",2,"",""
"8425SP",1,"","TR01"
"8425SP",1,"",""
"8425SP",10,"",""
"8425SP",5,"",""
"8425SP",8,"",""
"8425SP",6,"",""
"8425SR",2,"",""
"8425SR",2,"","TR01"
"8425SR",1,"",""
"8425SR",4,"",""
"8425SR",1,"","TR01"
"8425ST",16,"",""
"8425ST",14,"",""
8425ST,Boekhorst,14,,
8425ST,Boekhorst,16,,
8425SR,Haerdijk,1,,
8425SR,Haerdijk,2,,
8425SR,Haerdijk,4,,
8425SR,Haerdijk,1,,TR01
8425SR,Haerdijk,2,,TR01
8425SP,Iegepoeledijk,1,,
8425SP,Iegepoeledijk,10,,
8425SP,Iegepoeledijk,12,,
8425SP,Iegepoeledijk,2,,
8425SP,Iegepoeledijk,3,,
8425SP,Iegepoeledijk,4,,
8425SP,Iegepoeledijk,5,,
8425SP,Iegepoeledijk,6,,
8425SP,Iegepoeledijk,8,,
8425SP,Iegepoeledijk,1,,TR01
8425SK,Klokhuisdijk,1,,
8425SK,Klokhuisdijk,11,,
8425SK,Klokhuisdijk,13,,
8425SK,Klokhuisdijk,15,,
8425SK,Klokhuisdijk,17,,
8425SK,Klokhuisdijk,19,,
8425SK,Klokhuisdijk,21,,
8425SK,Klokhuisdijk,23,,
8425SK,Klokhuisdijk,3,,
8425SK,Klokhuisdijk,5,,
8425SK,Klokhuisdijk,7,,
8425SK,Klokhuisdijk,9,,
8425SK,Klokhuisdijk,13,A,
8425SK,Klokhuisdijk,19,A,
8425SK,Klokhuisdijk,13,B,
8425SK,Klokhuisdijk,13,C,
8425SK,Klokhuisdijk,5,,TR01
8425SL,Klokhuisdijk,12,,
8425SL,Klokhuisdijk,14,,
8425SL,Klokhuisdijk,16,,
8425SL,Klokhuisdijk,18,,
8425SL,Klokhuisdijk,20,,
8425SL,Klokhuisdijk,22,,
8425SL,Klokhuisdijk,24,,
8425SL,Klokhuisdijk,26,,
8425SL,Klokhuisdijk,28,,
8425SL,Klokhuisdijk,4,,
8425SL,Klokhuisdijk,6,,
8425SL,Klokhuisdijk,8,,
8425SL,Klokhuisdijk,8,,TR01
8425SJ,Steenmaatsdijk,1,,
8425SJ,Steenmaatsdijk,2,,
8425SJ,Steenmaatsdijk,3,,
8425SM,Stokdijk,1,,
8425SM,Stokdijk,11,,
8425SM,Stokdijk,3,,
8425SM,Stokdijk,7,,
8425SM,Stokdijk,9,,
8425SM,Stokdijk,9,A,
8425SM,Stokdijk,9,B,
8425SM,Stokdijk,9,C,
8425SM,Stokdijk,9,D,
8425SM,Stokdijk,9,E,
8425SM,Stokdijk,9,F,
8425SM,Stokdijk,9,G,
8425SM,Stokdijk,9,H,
8425SK,Klokhuisdijk,23,,
8425SK,Klokhuisdijk,23,A,
8425SM,Stokdijk,5,,
