"postcode","huisnummer","huisletter","toevoeging"
"7422LW",3,"",""
"7422LW",5,"",""
"7422LW",1,"",""
"7422LW",13,"",""
"7422LW",7,"",""
"7422LW",1,"",""
"7422LX",13,"",""
"7422LX",12,"",""
7422LW,Piet van Donkplein,1,,
7422LW,Piet van Donkplein,1,,
7422LW,Piet van Donkplein,3,,
7422LW,Piet van Donkplein,13,,
7422LX,Piet van Donkplein,12,,
7422LX,Piet van Donkplein,13,,
7422LW,Piet van Donkplein,5,,
7422LW,Piet van Donkplein,7,,
7422LW,Piet van Donkplein,15,,
7422LW,Piet van Donkplein,17,,
7422LW,Piet van Donkplein,17,,
