"postcode","huisnummer","huisletter","toevoeging"
"6827AA",4,"",""
"6827AA",11,"",""
"6827AA",11,"",""
"6827AA",3,"",""
"6827AA",11,"A","2L"
"6827AA",12,"",""
"6827AA",9,"",""
"6827AA",10,"A",""
"6827AA",11,"A","2R"
"6827AA",9,"",""
"6827AA",10,"A",""
"6827AA",3,"",""
"6827AA",11,"A","2L"
"6827AA",12,"",""
"6827AA",11,"A","2r"
"6827AA",11,"A","2l"
"6827AA",4,"",""
"6827AA",11,"A","2R"
"6827AB",15,"E",""
"6827AD",15,"",""
"6827AD",9,"",""
"6827AD",1,"A",""
"6827AD",17,"A",""
"6827AD",15,"",""
"6827AD",9,"",""
"6827AH",14,"",""
"6827AH",18,"",""
"6827AH",14,"",""
"6827AH",8,"",""
"6827AH",12,"",""
"6827AH",18,"",""
"6827AH",22,"",""
"6827AH",8,"",""
"6827AH",22,"",""
"6827AH",12,"",""
"6827AK",25,"",""
"6827AK",25,"",""
"6827AK",2,"A",""
"6827AK",8,"A",""
"6827AN",94,"",""
"6827AN",90,"",""
"6827AN",94,"",""
"6827AN",92,"A",""
"6827AN",98,"",""
"6827AN",96,"",""
"6827AN",98,"",""
"6827AN",96,"",""
"6827AN",122,"",""
"6827AS",4,"",""
"6827AS",7,"",""
"6827AS",7,"",""
"6827AT",65,"",""
"6827AT",55,"",""
"6827AX",98,"",""
"6827AX",98,"",""
"6828KC",91,"",""
"6828KC",121,"",""
"6828KC",85,"",""
"6828KC",77,"",""
"6828KC",111,"",""
"6828PZ",24,"",""
6827AS,Westervoortsedijk,4,,
6827AT,Westervoortsedijk,55,,
6827AT,Westervoortsedijk,65,,
6828KC,Rietgrachtstraat,91,,
6828KC,Rietgrachtstraat,111,,
6827AK,Veilingstraat,25,,
6827AK,Veilingstraat,8,A,
6827AK,Veilingstraat,2,A,
6828PZ,Broekstraat,24,,
6827AD,Badhuisstraat,9,,
6827AN,Van Oldenbarneveldtstraat,98,,
6827AN,Van Oldenbarneveldtstraat,96,,
6827AN,Van Oldenbarneveldtstraat,90,,
6827AH,Rijnwijk,18,,
6827AH,Rijnwijk,12,,
6827AH,Rijnwijk,8,,
6827AA,Nieuwe Kade,3,,
6827AA,Nieuwe Kade,10,A,
6827AA,Nieuwe Kade,11,A,2r
6827AA,Nieuwe Kade,11,A,2R
6827AS,Westervoortsedijk,7,,
6827AX,Westervoortsedijk,98,,
6828KC,Rietgrachtstraat,121,,
6828KC,Rietgrachtstraat,85,,
6828KC,Rietgrachtstraat,77,,
6827AD,Badhuisstraat,15,,
6827AN,Van Oldenbarneveldtstraat,92,A,
6827AH,Rijnwijk,22,,
6827AA,Nieuwe Kade,11,,
6827AA,Nieuwe Kade,9,,
6828PZ,Broekstraat,20,A,
6827AD,Badhuisstraat,1,A,
6827AD,Badhuisstraat,17,A,
6827AN,Van Oldenbarneveldtstraat,94,,
6827AN,Van Oldenbarneveldtstraat,122,,
6827AH,Rijnwijk,14,,
6827AA,Nieuwe Kade,4,,
6827AA,Nieuwe Kade,11,A,2l
6827AA,Nieuwe Kade,11,A,2L
6827AA,Nieuwe Kade,12,,
6827AB,Nieuwe Kade,15,E,
6827AB,Nieuwe Kade,25,,
6827AS,Westervoortsedijk,5,,
6827AT,Westervoortsedijk,60,,
6828KC,Rietgrachtstraat,95,,
6828KC,Rietgrachtstraat,115,,
6827AA,Nieuwe Kade,7,,
6827AA,Nieuwe Kade,2,,
6827AA,Nieuwe Kade,8,,
6827AB,Nieuwe Kade,41,,
6827AB,Nieuwe Kade,17,,
6827AB,Nieuwe Kade,13,,
6827AW,Westervoortsedijk,95,,
6827AX,Westervoortsedijk,124,,
6827AX,Westervoortsedijk,120,,
6828KC,Rietgrachtstraat,109,,
6828KC,Rietgrachtstraat,123,,
6828KC,Rietgrachtstraat,83,,
6828KC,Rietgrachtstraat,117,,
6828KC,Rietgrachtstraat,101,,
6828KC,Rietgrachtstraat,119,,
6827AK,Veilingstraat,4,,
6827AK,Veilingstraat,6,,
6827AK,Veilingstraat,29,,
6827AD,Badhuisstraat,3,,
6827AN,Van Oldenbarneveldtstraat,98,A,
6827AH,Rijnwijk,6,,
6827AA,Nieuwe Kade,1,,
6827AA,Nieuwe Kade,5,,
6827AA,Nieuwe Kade,9,A,
6827AB,Nieuwe Kade,20,,
6827AB,Nieuwe Kade,14,,
6827AT,Westervoortsedijk,67,,
6827AW,Westervoortsedijk,95,A,
6828KC,Rietgrachtstraat,81,,
6828KC,Rietgrachtstraat,87,,
6828KC,Rietgrachtstraat,93,,
6828KC,Rietgrachtstraat,107,,
6828PZ,Broekstraat,20,,
6827AN,Van Oldenbarneveldtstraat,116,,
6827AN,Van Oldenbarneveldtstraat,92,,3
6827AN,Van Oldenbarneveldtstraat,118,,
6827AB,Nieuwe Kade,15,A,
6827AB,Nieuwe Kade,15,B,
6827AB,Nieuwe Kade,15,C,
6828KC,Rietgrachtstraat,113,,
6828KC,Rietgrachtstraat,103,,
6828KC,Rietgrachtstraat,97,,
6828KC,Rietgrachtstraat,125,,
6827AK,Veilingstraat,2,,
6827AK,Veilingstraat,8,,
6828PZ,Broekstraat,26,,
6827AD,Badhuisstraat,11,,
6827AD,Badhuisstraat,13,,
6827AD,Badhuisstraat,1,,
6827AN,Van Oldenbarneveldtstraat,90,B,
6827AN,Van Oldenbarneveldtstraat,92,,1
6827AN,Van Oldenbarneveldtstraat,120,,
6827AN,Van Oldenbarneveldtstraat,114,,
6827AH,Rijnwijk,2,,
6827AH,Rijnwijk,10,,
6827AH,Rijnwijk,20,,
6827AH,Rijnwijk,16,,
6827AA,Nieuwe Kade,1,A,
6827AA,Nieuwe Kade,11,A,1
6827AS,Westervoortsedijk,3,,
6827AT,Westervoortsedijk,50,,
6827AX,Westervoortsedijk,98,A,
6827AX,Westervoortsedijk,99,,
6828KC,Rietgrachtstraat,89,,
6828KC,Rietgrachtstraat,105,,
6827AK,Veilingstraat,10,,
6827AK,Veilingstraat,11,,
6828PZ,Broekstraat,22,,
6828PZ,Broekstraat,32,,
6828PZ,Broekstraat,18,,
6828PZ,Broekstraat,28,,
6827AD,Badhuisstraat,7,,
6827AD,Badhuisstraat,17,,1
6827AN,Van Oldenbarneveldtstraat,90,A,
6827AH,Rijnwijk,4,,
6827AA,Nieuwe Kade,10,,
6827AB,Nieuwe Kade,18,,
6827AB,Nieuwe Kade,15,D,
6827AW,Westervoortsedijk,94,,
6827AW,Westervoortsedijk,94,A,
6827AW,Westervoortsedijk,90,,
6827AW,Westervoortsedijk,93,,
6827AW,Westervoortsedijk,89,A,
6827AW,Westervoortsedijk,89,B,
6827AW,Westervoortsedijk,94,B,
6827AW,Westervoortsedijk,85,,
6827AW,Westervoortsedijk,92,,
6827AW,Westervoortsedijk,89,,
6828KC,Rietgrachtstraat,99,,
6828KC,Rietgrachtstraat,79,,
6828KC,Rietgrachtstraat,131,,
6827AK,Veilingstraat,17,,
6827AD,Badhuisstraat,17,,
6827AD,Badhuisstraat,5,,
6827AD,Badhuisstraat,19,,
6827AD,Badhuisstraat,1,,
6827AD,Badhuisstraat,5,,
6827AD,Badhuisstraat,19,,
6828JA,Ooststraat,2,,
6827AN,Van Oldenbarneveldtstraat,92,,2
6827AA,Nieuwe Kade,6,,
6827AA,Nieuwe Kade,10,B,
6827AA,Nieuwe Kade,12,,
6827AB,Nieuwe Kade,16,,
6827AB,Nieuwe Kade,14,,
6827AB,Nieuwe Kade,12,,
6827AB,Nieuwe Kade,13,,
6827AB,Nieuwe Kade,31,,
6827EA,Jacob van Deventerstraat,2,,
6827AS,Westervoortsedijk,5,,
6827AS,Westervoortsedijk,7,,
6827AS,Westervoortsedijk,7,A,
6827AS,Westervoortsedijk,7,B,
6827AS,Westervoortsedijk,12,,
6827AS,Westervoortsedijk,12,,1
6827AS,Westervoortsedijk,12,,2
6827AS,Westervoortsedijk,12,,3
6827AS,Westervoortsedijk,12,,4
6827AS,Westervoortsedijk,12,,5
6827AS,Westervoortsedijk,10,,
6827AS,Westervoortsedijk,12,,10
6827AS,Westervoortsedijk,12,,11
6827AS,Westervoortsedijk,12,,12
6827AS,Westervoortsedijk,12,,13
6827AS,Westervoortsedijk,12,,14
6827AS,Westervoortsedijk,12,,15
6827AS,Westervoortsedijk,12,,20
6827AS,Westervoortsedijk,12,,21
6827AS,Westervoortsedijk,12,,23
6827AS,Westervoortsedijk,12,,24
6827AS,Westervoortsedijk,12,,22
6827AS,Westervoortsedijk,14,,1
6827AS,Westervoortsedijk,14,,2
6827AS,Westervoortsedijk,14,,3
6827AS,Westervoortsedijk,14,,4
6827AS,Westervoortsedijk,14,,5
6827AS,Westervoortsedijk,14,,6
6827AS,Westervoortsedijk,14,,7
6827AS,Westervoortsedijk,14,,10
6827AS,Westervoortsedijk,14,,11
6827AS,Westervoortsedijk,14,,12
6827AS,Westervoortsedijk,14,,13
6827AS,Westervoortsedijk,14,,14
6827AS,Westervoortsedijk,14,,15
6827AS,Westervoortsedijk,14,,16
6827AS,Westervoortsedijk,14,,17
6827AS,Westervoortsedijk,14,,18
6827AS,Westervoortsedijk,14,,19
6827AS,Westervoortsedijk,14,,20
6827AS,Westervoortsedijk,14,,21
6827AS,Westervoortsedijk,14,,22
6827AS,Westervoortsedijk,14,,23
6827AS,Westervoortsedijk,14,,24
6827AS,Westervoortsedijk,14,,25
6827AS,Westervoortsedijk,14,,26
6827AS,Westervoortsedijk,14,,27
6827AS,Westervoortsedijk,14,,30
6827AS,Westervoortsedijk,14,,40
6827AS,Westervoortsedijk,14,,50
6827AS,Westervoortsedijk,14,,31
6827AS,Westervoortsedijk,14,,41
6827AS,Westervoortsedijk,14,,51
6827AS,Westervoortsedijk,14,,32
6827AS,Westervoortsedijk,14,,42
6827AS,Westervoortsedijk,14,,52
6827AS,Westervoortsedijk,14,,33
6827AS,Westervoortsedijk,14,,43
6827AS,Westervoortsedijk,14,,53
6827AS,Westervoortsedijk,14,,34
6827AS,Westervoortsedijk,14,,44
6827AS,Westervoortsedijk,14,,54
6827AS,Westervoortsedijk,14,,35
6827AS,Westervoortsedijk,14,,45
6827AS,Westervoortsedijk,14,,55
6827AS,Westervoortsedijk,14,,36
6827AS,Westervoortsedijk,14,,46
6827AS,Westervoortsedijk,14,,56
6827AS,Westervoortsedijk,14,,37
6827AS,Westervoortsedijk,14,,47
6827AS,Westervoortsedijk,14,,57
6827AS,Westervoortsedijk,16,,
6827AS,Westervoortsedijk,16,,1
6827AS,Westervoortsedijk,16,,2
6827AS,Westervoortsedijk,16,,3
6827AS,Westervoortsedijk,16,,4
6827AS,Westervoortsedijk,16,,10
6827AS,Westervoortsedijk,16,,20
6827AS,Westervoortsedijk,16,,30
6827AS,Westervoortsedijk,16,,40
6827AS,Westervoortsedijk,16,,11
6827AS,Westervoortsedijk,16,,12
6827AS,Westervoortsedijk,16,,13
6827AS,Westervoortsedijk,16,,14
6827AS,Westervoortsedijk,16,,15
6827AS,Westervoortsedijk,16,,16
6827AS,Westervoortsedijk,16,,17
6827AS,Westervoortsedijk,16,,21
6827AS,Westervoortsedijk,16,,22
6827AS,Westervoortsedijk,16,,23
6827AS,Westervoortsedijk,16,,24
6827AS,Westervoortsedijk,16,,25
6827AS,Westervoortsedijk,16,,26
6827AS,Westervoortsedijk,16,,27
6827AS,Westervoortsedijk,16,,31
6827AS,Westervoortsedijk,16,,32
6827AS,Westervoortsedijk,16,,33
6827AS,Westervoortsedijk,16,,34
6827AS,Westervoortsedijk,16,,35
6827AS,Westervoortsedijk,16,,36
6827AS,Westervoortsedijk,16,,37
6827AS,Westervoortsedijk,16,,41
6827AS,Westervoortsedijk,16,,42
6827AS,Westervoortsedijk,16,,43
6827AS,Westervoortsedijk,16,,44
6827AS,Westervoortsedijk,16,,45
6827AS,Westervoortsedijk,16,,46
6827AS,Westervoortsedijk,16,,47
6827AT,Westervoortsedijk,40,,
6827AT,Westervoortsedijk,67,D,
6827AW,Westervoortsedijk,87,,
6827AX,Westervoortsedijk,98,A,
6827AK,Veilingstraat,10,,
6827AK,Veilingstraat,6,,
6827AK,Veilingstraat,6,,1
6828PZ,Broekstraat,8,,
6828PZ,Broekstraat,8,A,
6828PZ,Broekstraat,10,,
6828PZ,Broekstraat,10,A,
6828PZ,Broekstraat,12,,
6828PZ,Broekstraat,12,A,
6828PZ,Broekstraat,14,,
6828PZ,Broekstraat,14,A,
6828PZ,Broekstraat,16,,
6828PZ,Broekstraat,16,,A
6828PZ,Broekstraat,16,A,
6828PZ,Broekstraat,18,,
6828PZ,Broekstraat,18,,A
6828PZ,Broekstraat,18,A,
6827AC,Van Oldenbarneveldtstraat,94,A,
6827AN,Van Oldenbarneveldtstraat,94,,1
6827AN,Van Oldenbarneveldtstraat,94,,10
6827AN,Van Oldenbarneveldtstraat,94,,11
6827AN,Van Oldenbarneveldtstraat,94,,12
6827AN,Van Oldenbarneveldtstraat,94,,13
6827AN,Van Oldenbarneveldtstraat,94,,20
6827AN,Van Oldenbarneveldtstraat,94,,21
6827AN,Van Oldenbarneveldtstraat,94,,22
6827AN,Van Oldenbarneveldtstraat,94,,23
6827AN,Van Oldenbarneveldtstraat,94,,30
6827AN,Van Oldenbarneveldtstraat,94,,31
6827AN,Van Oldenbarneveldtstraat,94,,32
6827AN,Van Oldenbarneveldtstraat,94,,33
6827AN,Van Oldenbarneveldtstraat,94,,40
6827AN,Van Oldenbarneveldtstraat,94,,41
6827AN,Van Oldenbarneveldtstraat,94,,42
6827AN,Van Oldenbarneveldtstraat,94,,43
6827AN,Van Oldenbarneveldtstraat,92,,
6827AN,Van Oldenbarneveldtstraat,94,,15
6827AN,Van Oldenbarneveldtstraat,94,,16
6827AN,Van Oldenbarneveldtstraat,94,,17
6827AN,Van Oldenbarneveldtstraat,94,,18
6827AN,Van Oldenbarneveldtstraat,94,A,
6827AN,Van Oldenbarneveldtstraat,92,B,
6827AN,Van Oldenbarneveldtstraat,92,B,
6827AA,Nieuwe Kade,1,,
6827AA,Nieuwe Kade,12,,
6827AA,Nieuwe Kade,12,,1
6827AA,Nieuwe Kade,13,,
6827AA,Nieuwe Kade,13,,
6827AB,Nieuwe Kade,18,,
6827AB,Nieuwe Kade,18,,1
6827AB,Nieuwe Kade,18,,2
6827AB,Nieuwe Kade,18,,3
6827AB,Nieuwe Kade,13,,
6827AB,Nieuwe Kade,15,A,
6827AB,Nieuwe Kade,15,D,
6827AB,Nieuwe Kade,15,F,
6827AZ,Thomas J. Witteroosstraat,20,,
6827AZ,Thomas J. Witteroosstraat,32,,
6827AZ,Thomas J. Witteroosstraat,30,,
6827AZ,Thomas J. Witteroosstraat,34,,
6827AZ,Thomas J. Witteroosstraat,36,,
6827AZ,Thomas J. Witteroosstraat,38,,
6827AZ,Thomas J. Witteroosstraat,40,,
6827AZ,Thomas J. Witteroosstraat,42,,
6827AZ,Thomas J. Witteroosstraat,44,,
6827AZ,Thomas J. Witteroosstraat,46,,
6827AZ,Thomas J. Witteroosstraat,48,,
6827AZ,Thomas J. Witteroosstraat,50,,
6827AZ,Thomas J. Witteroosstraat,52,,
6827AZ,Thomas J. Witteroosstraat,54,,
6827AZ,Thomas J. Witteroosstraat,56,,
6827AZ,Thomas J. Witteroosstraat,58,,
6827AZ,Thomas J. Witteroosstraat,60,,
6827AZ,Thomas J. Witteroosstraat,62,,
6827AZ,Thomas J. Witteroosstraat,64,,
6827AZ,Thomas J. Witteroosstraat,66,,
