"postcode","huisnummer","huisletter","toevoeging"
"6824BA",5,"",""
"6824BA",5,"",""
"6824BM",56,"A",""
"6824BM",76,"",""
"6824BM",56,"A",""
"6824BM",76,"",""
"6824BT",53,"",""
"6824BT",99,"",""
"6824BT",95,"",""
"6824BT",71,"",""
"6824BT",87,"",""
"6824BT",75,"",""
"6824BV",173,"",""
"6824BV",109,"",""
"6824BV",127,"",""
"6824BV",147,"",""
"6824BV",121,"",""
"6824BV",115,"",""
"6824BV",167,"",""
"6824BV",125,"",""
"6824BV",161,"",""
"6824BV",157,"",""
"6824BV",123,"",""
"6824BV",143,"",""
"6824BV",153,"",""
"6824BV",177,"",""
"6824EJ",52,"",""
"6824EJ",68,"",""
"6824EJ",64,"",""
"6824EJ",44,"",""
"6824HC",77,"",""
"6824HC",79,"",""
"6824HC",77,"A",""
"6824HC",77,"A",""
"6824HC",75,"","1"
"6824HC",47,"",""
"6824HC",75,"","1"
"6824HC",75,"",""
"6824HC",59,"",""
"6824HC",73,"",""
"6824HC",77,"",""
"6824HG",64,"",""
"6824HG",60,"",""
"6824HG",56,"",""
6824BT,Tivolilaan,87,,
6824BV,Tivolilaan,125,,
6824BV,Tivolilaan,115,,
6824BV,Tivolilaan,123,,
6824BA,Vosdijk,5,,
6824BM,Velperweg,76,,
6824BT,Tivolilaan,75,,
6824BT,Tivolilaan,95,,
6824BT,Tivolilaan,71,,
6824BT,Tivolilaan,99,,
6824BV,Tivolilaan,173,,
6824BV,Tivolilaan,109,,
6824BV,Tivolilaan,147,,
6824BV,Tivolilaan,161,,
6824BV,Tivolilaan,177,,
6824BV,Tivolilaan,127,,
6824BM,Velperweg,56,A,
6824EJ,Beeldhouwerstraat,64,,
6824EJ,Beeldhouwerstraat,68,,
6824EJ,Beeldhouwerstraat,52,,
6824EJ,Beeldhouwerstraat,44,,
6824HC,Oude Velperweg,73,,
6824HC,Oude Velperweg,47,,
6824HC,Oude Velperweg,77,A,
6824HG,Oude Velperweg,56,,
6824HG,Oude Velperweg,64,,
6824HG,Oude Velperweg,60,,
6824BT,Tivolilaan,53,,
6824BV,Tivolilaan,157,,
6824BV,Tivolilaan,167,,
6824BV,Tivolilaan,121,,
6824BV,Tivolilaan,143,,
6824BV,Tivolilaan,153,,
6824BV,Tivolilaan,185,,
6824HC,Oude Velperweg,75,,
6824HC,Oude Velperweg,79,,
6824HC,Oude Velperweg,77,,
6824HC,Oude Velperweg,59,,
6824HC,Oude Velperweg,75,,1
6824BT,Tivolilaan,89,,
6824BT,Tivolilaan,91,,
6824BT,Tivolilaan,103,,
6824BT,Tivolilaan,83,,
6824BT,Tivolilaan,61,,
6824BT,Tivolilaan,67,,
6824BT,Tivolilaan,97,,
6824BT,Tivolilaan,63,,
6824BT,Tivolilaan,73,,
6824BV,Tivolilaan,159,,
6824BV,Tivolilaan,155,,
6824BV,Tivolilaan,171,,
6824BV,Tivolilaan,187,,
6824BV,Tivolilaan,169,,
6824EJ,Beeldhouwerstraat,48,,
6824EJ,Beeldhouwerstraat,70,,
6824EJ,Beeldhouwerstraat,54,,
6824EJ,Beeldhouwerstraat,60,,
6824HC,Oude Velperweg,57,,
6824HC,Oude Velperweg,49,,
6824HC,Oude Velperweg,65,,
6824BT,Tivolilaan,51,,
6824BT,Tivolilaan,65,,
6824BV,Tivolilaan,111,,
6824BV,Tivolilaan,139,,
6824BV,Tivolilaan,145,,
6824BV,Tivolilaan,179,,
6824EJ,Beeldhouwerstraat,58,,
6824EJ,Beeldhouwerstraat,50,,
6824HC,Oude Velperweg,63,,
6824HC,Oude Velperweg,69,,
6824HG,Oude Velperweg,68,,
6824HG,Oude Velperweg,66,,
6824BT,Tivolilaan,69,,
6824BT,Tivolilaan,59,,
6824BT,Tivolilaan,101,,
6824BV,Tivolilaan,129,,
6824BV,Tivolilaan,113,,
6824BV,Tivolilaan,119,,
6824BV,Tivolilaan,107,,
6824BV,Tivolilaan,151,,
6824BV,Tivolilaan,165,,
6824BM,Velperweg,54,,
6824BM,Velperweg,58,,
6824EJ,Beeldhouwerstraat,62,,
6824HC,Oude Velperweg,53,,
6824HC,Oude Velperweg,55,,
6824HC,Oude Velperweg,51,,
6824HG,Oude Velperweg,58,,
6824BT,Tivolilaan,79,,
6824BV,Tivolilaan,131,,
6824BV,Tivolilaan,105,,
6824BV,Tivolilaan,149,,
6824BV,Tivolilaan,163,,
6824BV,Tivolilaan,181,,
6824BM,Velperweg,52,,
6824EJ,Beeldhouwerstraat,66,,
6824HG,Oude Velperweg,54,A,
6824BT,Tivolilaan,55,,
6824BT,Tivolilaan,57,,
6824BT,Tivolilaan,77,,
6824BT,Tivolilaan,85,,
6824BV,Tivolilaan,137,,
6824BV,Tivolilaan,141,,
6824BV,Tivolilaan,183,,
6824BV,Tivolilaan,205,,
6824BV,Tivolilaan,175,,
6824BV,Tivolilaan,133,,
6824BV,Tivolilaan,135,,
6824EJ,Beeldhouwerstraat,42,,
6824EJ,Beeldhouwerstraat,40,,
6824EJ,Beeldhouwerstraat,56,,
6824HG,Oude Velperweg,54,,
6824BT,Tivolilaan,93,,
6824BT,Tivolilaan,81,,
6824BV,Tivolilaan,117,,
6824BV,Tivolilaan,251,,
6824BW,Tivolilaan,30,,
6824BW,Tivolilaan,60,,
6824BW,Tivolilaan,80,,
6824BW,Tivolilaan,10,,
6824BW,Tivolilaan,10,,
6824BW,Tivolilaan,70,,
6824BW,Tivolilaan,50,,
6824BA,Vosdijk,19,,
6824BA,Vosdijk,19,,
6824BA,Vosdijk,3,,
6824BA,Vosdijk,3,,
6824BA,Vosdijk,13,,
6824BA,Vosdijk,13,,
6824BA,Vosdijk,17,,
6824BA,Vosdijk,17,,
6824BA,Vosdijk,21,,
6824BA,Vosdijk,21,,
6824BA,Vosdijk,15,,
6824BA,Vosdijk,15,,
6824BA,Vosdijk,11,,
6824BA,Vosdijk,11,,
6824BM,Velperweg,56,,1
6824BM,Velperweg,56,,2
6824BM,Velperweg,56,,3
6824BM,Velperweg,76,,
6824BM,Velperweg,76,,
6824EJ,Beeldhouwerstraat,46,,
6824HC,Oude Velperweg,67,,
6824HC,Oude Velperweg,61,,
6824HC,Oude Velperweg,71,,
6824HC,Oude Velperweg,77,,
6824HG,Oude Velperweg,62,,
6824BV,Tivolilaan,189,,
6824BW,Tivolilaan,40,,
6824BA,Vosdijk,7,,
6824BM,Velperweg,56,A,
6824BM,Velperweg,56,A,
6824BM,Velperweg,56,B,
6824BM,Velperweg,56,B,
6824BV,Bella Vista,4,,
6824HC,Bella Vista,4,,
6824HG,Bella Vista,3,,
6824HG,Bella Vista,5,,
6824HG,Bella Vista,7,,
6824HG,Bella Vista,9,,
6824HG,Bella Vista,11,,
6824HG,Bella Vista,13,,
6824HG,Bella Vista,15,,
6824HG,Bella Vista,17,,
6824HG,Bella Vista,19,,
6824HG,Bella Vista,21,,
6824HG,Bella Vista,23,,
6824HG,Bella Vista,25,,
6824HG,Bella Vista,27,,
6824HG,Bella Vista,29,,
6824HG,Bella Vista,31,,
6824HG,Bella Vista,33,,
6824BV,Tivolilaan,251,,
6824BV,Tivolilaan,251,,
6824BV,Tivolilaan,253,,
6824BW,Tivolilaan,20,,
6824BA,Vosdijk,5,,
6824BM,Velperweg,76,,
6824HC,Oude Velperweg,75,,1
6824HC,Oude Velperweg,75,,2
6824HC,Oude Velperweg,75,,3
6824BX,Novahof,3,,
6824BX,Novahof,5,,
6824BX,Novahof,7,,
6824BX,Novahof,9,,
6824BX,Novahof,11,,
6824BX,Novahof,13,,
6824BX,Novahof,15,,
6824BX,Novahof,17,,
6824BX,Novahof,19,,
6824BX,Novahof,21,,
6824BX,Novahof,23,,
6824BX,Novahof,25,,
6824BX,Novahof,27,,
6824BX,Novahof,29,,
6824BX,Novahof,31,,
6824BX,Novahof,33,,
6824BX,Novahof,35,,
6824BX,Novahof,37,,
6824BX,Novahof,39,,
6824BX,Novahof,41,,
6824BX,Novahof,43,,
6824BX,Novahof,45,,
6824BX,Novahof,47,,
6824BX,Novahof,49,,
6824BX,Novahof,51,,
6824BX,Novahof,53,,
6824BX,Novahof,55,,
6824BX,Novahof,57,,
6824BX,Novahof,59,,
6824BX,Novahof,61,,
6824BX,Novahof,63,,
6824BX,Novahof,65,,
6824BX,Novahof,67,,
6824BX,Novahof,69,,
6824BX,Novahof,71,,
6824BX,Novahof,73,,
6824EJ,Beeldhouwerstraat,74,,
6824HC,Oude Velperweg,77,,
6824HC,Oude Velperweg,77,,1
6824HC,Oude Velperweg,77,,2
