"postcode","huisnummer","huisletter","toevoeging"
"6814BJ",67,"",""
"6814BJ",55,"","1"
"6814BJ",49,"",""
"6814BJ",65,"","2"
"6814BJ",55,"",""
"6814BT",4,"",""
"6814BT",7,"",""
"6814BT",2,"",""
"6814CL",22,"",""
"6814CL",44,"",""
"6814CL",24,"",""
"6814CL",48,"",""
"6815HJ",6,"",""
6814BJ,Apeldoornseweg,67,,
6814BJ,Apeldoornseweg,65,,2
6814BT,Tellegenlaan,2,,
6814BT,Tellegenlaan,7,,
6814BT,Tellegenlaan,4,,
6814BJ,Apeldoornseweg,49,,
6814BJ,Apeldoornseweg,55,,1
6814CL,Zijpendaalseweg,44,,
6814CL,Zijpendaalseweg,48,,
6814BJ,Apeldoornseweg,55,,
6815HJ,De Wolflaan,6,,
6814CL,Zijpendaalseweg,24,,
6814CL,Zijpendaalseweg,22,,
6814BJ,Apeldoornseweg,61,,
6814BJ,Apeldoornseweg,63,,1
6815DJ,Parkweg,1,,
6815DJ,Parkweg,9,,
6815HJ,De Wolflaan,2,,
6814CL,Zijpendaalseweg,30,,
6814CL,Zijpendaalseweg,26,,
6815HJ,De Wolflaan,10,,
6815HJ,De Wolflaan,25,,
6814CL,Zijpendaalseweg,24,A,
6814CL,Zijpendaalseweg,50,,
6814BJ,Apeldoornseweg,63,,3
6814BJ,Apeldoornseweg,65,,3
6815HJ,De Wolflaan,8,,
6814BT,Tellegenlaan,3,,
6814BJ,Apeldoornseweg,59,,
6814BJ,Apeldoornseweg,47,,
6814BJ,Apeldoornseweg,63,,2
6814BJ,Apeldoornseweg,75,,
6814BJ,Apeldoornseweg,57,,
6815DJ,Parkweg,5,,
6815HJ,De Wolflaan,4,,
6814BT,Tellegenlaan,1,,
6814BJ,Apeldoornseweg,53,,
6815DJ,Parkweg,2,,
6814BJ,Apeldoornseweg,51,,
6814BJ,Apeldoornseweg,65,,1
6815DJ,Parkweg,1,A,
6814CL,Zijpendaalseweg,40,,
6814CL,Zijpendaalseweg,46,,
6814CL,Zijpendaalseweg,28,,
6814CL,Zijpendaalseweg,48,a,
6814CL,Zijpendaalseweg,48,A,
6814BJ,Apeldoornseweg,73,,
6814BJ,Apeldoornseweg,77,,
6814BJ,Apeldoornseweg,79,,
6814CL,Zijpendaalseweg,32,,
6814BJ,Apeldoornseweg,47,,1
6814BJ,Apeldoornseweg,47,,1
6814BJ,Apeldoornseweg,47,,2
6814BJ,Apeldoornseweg,47,,2
6814BJ,Apeldoornseweg,47,,3
6814BJ,Apeldoornseweg,47,,3
6814BJ,Apeldoornseweg,47,,3
6814BJ,Apeldoornseweg,47,,2
6814BJ,Apeldoornseweg,47,,4
6814BJ,Apeldoornseweg,47,,4
6814BJ,Apeldoornseweg,47,,5
6814BJ,Apeldoornseweg,47,,5
6814BJ,Apeldoornseweg,47,,5
6814BJ,Apeldoornseweg,47,,4
6814BJ,Apeldoornseweg,47,,6
6814BJ,Apeldoornseweg,47,,6
6814BJ,Apeldoornseweg,51,,1
6814BJ,Apeldoornseweg,51,,2
6814BJ,Apeldoornseweg,51,,3
6814BJ,Apeldoornseweg,51,,4
6814BJ,Apeldoornseweg,51,,3
6814BJ,Apeldoornseweg,51,,4
6814BJ,Apeldoornseweg,51,,5
6814BJ,Apeldoornseweg,51,,4
6814BJ,Apeldoornseweg,51,,3
6814BJ,Apeldoornseweg,51,,6
6814BJ,Apeldoornseweg,51,,5
6814BJ,Apeldoornseweg,51,,1
6814BJ,Apeldoornseweg,51,,1
6814BJ,Apeldoornseweg,51,,2
6814BJ,Apeldoornseweg,53,,
6814BJ,Apeldoornseweg,53,,
6814BJ,Apeldoornseweg,53,,1
6814BJ,Apeldoornseweg,53,,1
6814BJ,Apeldoornseweg,53,,2
6814BJ,Apeldoornseweg,53,,2
