"postcode","huisnummer","huisletter","toevoeging"
"6846AB",1,"",""
"6846AB",14,"",""
"6846AB",1,"A",""
"6846AB",9,"",""
"6846AB",4,"",""
"6846AB",16,"",""
6846AB,Achterstraat,14,,
6846AB,Achterstraat,9,,
6846AB,Achterstraat,1,,
6846AB,Achterstraat,16,,
6846AB,Achterstraat,4,,
6846AB,Achterstraat,1,A,
6846AB,Achterstraat,7,,
6846AB,Achterstraat,8,,
6846AB,Achterstraat,3,,
6846AB,Achterstraat,2,,
6846AB,Achterstraat,5,,
6846AB,Achterstraat,20,,
6846AB,Achterstraat,12,,
6846AB,Achterstraat,6,,
6846XG,Daphnestraat,68,,
6846XG,Daphnestraat,72,,
6846XG,Daphnestraat,90,,
6846XN,Daphnestraat,62,,
6846XN,Daphnestraat,64,,
6846XN,Daphnestraat,66,,
6846XN,Daphnestraat,68,,
6846XN,Daphnestraat,70,,
6846XN,Daphnestraat,72,,
6846XN,Daphnestraat,72,,
6846XN,Daphnestraat,74,,
6846XN,Daphnestraat,76,,
6846XN,Daphnestraat,78,,
6846XN,Daphnestraat,80,,
6846XN,Daphnestraat,82,,
6846XN,Daphnestraat,84,,
6846XN,Daphnestraat,86,,
6846XN,Daphnestraat,88,,
6846XN,Daphnestraat,88,,
6846XN,Daphnestraat,90,,
6846XS,Ledastraat,3,,
6846XS,Ledastraat,5,,
6846XS,Ledastraat,7,,
6846XS,Ledastraat,9,,
6846XS,Ledastraat,11,,
6846XS,Ledastraat,13,,
6846XS,Ledastraat,15,,
6846XS,Ledastraat,17,,
6846XS,Ledastraat,19,,
6846XS,Ledastraat,21,,
6846XS,Ledastraat,23,,
6846XS,Ledastraat,25,,
6846XS,Ledastraat,33,,
6846XT,Ledastraat,22,,
6846XR,Midasstraat,31,,
6846XP,Polluxstraat,102,,
6846XP,Polluxstraat,104,,
6846XP,Polluxstraat,106,,
6846XP,Polluxstraat,108,,
6846XP,Polluxstraat,110,,
6846XP,Polluxstraat,112,,
6846XP,Polluxstraat,114,,
6846XP,Polluxstraat,116,,
6846XP,Polluxstraat,118,,
6846XP,Polluxstraat,120,,
6846XP,Polluxstraat,122,,
6846XP,Polluxstraat,124,,
6846XP,Polluxstraat,130,,
6846XP,Polluxstraat,132,,
6846XP,Polluxstraat,134,,
6846XP,Polluxstraat,136,,
6846XP,Polluxstraat,138,,
6846XP,Polluxstraat,140,,
6846XP,Polluxstraat,142,,
6846XP,Polluxstraat,144,,
6846XP,Polluxstraat,146,,
6846XP,Polluxstraat,148,,
6846XP,Polluxstraat,150,,
6846XP,Polluxstraat,152,,
6846XP,Polluxstraat,154,,
6846XP,Polluxstraat,156,,
6846XP,Polluxstraat,158,,
6846XP,Polluxstraat,160,,
6846XP,Polluxstraat,162,,
6846XP,Polluxstraat,164,,
6846XP,Polluxstraat,166,,
6846XP,Polluxstraat,168,,
6846XP,Polluxstraat,170,,
6846XP,Polluxstraat,172,,
6846XP,Polluxstraat,174,,
6846XP,Polluxstraat,176,,
6846XP,Polluxstraat,178,,
6846XP,Polluxstraat,180,,
6846XP,Polluxstraat,182,,
6846XP,Polluxstraat,184,,
6846XW,Dianaplantsoen,40,,
6846XW,Dianaplantsoen,42,,
6846XW,Dianaplantsoen,44,,
6846XW,Dianaplantsoen,46,,
6846XW,Dianaplantsoen,48,,
6846XW,Dianaplantsoen,50,,
6846XW,Dianaplantsoen,52,,
6846XW,Dianaplantsoen,54,,
6846XW,Dianaplantsoen,56,,
6846XW,Dianaplantsoen,58,,
6846XW,Dianaplantsoen,60,,
6846XW,Dianaplantsoen,62,,
6846XW,Dianaplantsoen,64,,
6846XW,Dianaplantsoen,66,,
6846XW,Dianaplantsoen,68,,
6846XW,Dianaplantsoen,70,,
6846XW,Dianaplantsoen,72,,
6846XW,Dianaplantsoen,74,,
6846XW,Dianaplantsoen,76,,
6846XW,Dianaplantsoen,78,,
6846XW,Dianaplantsoen,80,,
6846XW,Dianaplantsoen,82,,
6846XD,Byblisstraat,113,,
6846XD,Byblisstraat,113,,
6846XD,Byblisstraat,115,,
6846XD,Byblisstraat,115,,
6846XD,Byblisstraat,103,,
6846XD,Byblisstraat,103,,
6846XD,Byblisstraat,105,,
6846XD,Byblisstraat,105,,
6846XD,Byblisstraat,109,,
6846XD,Byblisstraat,109,,
6846XD,Byblisstraat,101,,
6846XD,Byblisstraat,101,,
6846XD,Byblisstraat,101,,
6846XD,Byblisstraat,107,,
6846XD,Byblisstraat,107,,
6846XE,Byblisstraat,18,,
6846XE,Byblisstraat,18,,
6846XE,Byblisstraat,20,,
6846XE,Byblisstraat,20,,
6846XE,Byblisstraat,22,,
6846XE,Byblisstraat,22,,
6846XE,Byblisstraat,24,,
6846XE,Byblisstraat,24,,
6846XE,Byblisstraat,26,,
6846XE,Byblisstraat,26,,
6846XE,Byblisstraat,28,,
6846XE,Byblisstraat,28,,
6846XE,Byblisstraat,30,,
6846XE,Byblisstraat,30,,
6846XE,Byblisstraat,32,,
6846XE,Byblisstraat,32,,
6846XE,Byblisstraat,34,,
6846XE,Byblisstraat,34,,
6846XE,Byblisstraat,36,,
6846XE,Byblisstraat,36,,
6846XE,Byblisstraat,38,,
6846XE,Byblisstraat,38,,
6846XE,Byblisstraat,40,,
6846XE,Byblisstraat,40,,
6846XB,Castorstraat,168,,
6846XB,Castorstraat,168,,
6846XB,Castorstraat,168,,
6846XB,Castorstraat,170,,
6846XB,Castorstraat,170,,
6846XB,Castorstraat,170,,
6846XB,Castorstraat,172,,
6846XB,Castorstraat,172,,
6846XB,Castorstraat,172,,
6846XB,Castorstraat,174,,
6846XB,Castorstraat,174,,
6846XB,Castorstraat,174,,
6846XB,Castorstraat,176,,
6846XB,Castorstraat,176,,
6846XB,Castorstraat,176,,
6846XB,Castorstraat,178,,
6846XB,Castorstraat,178,,
6846XB,Castorstraat,178,,
6846XB,Castorstraat,180,,
6846XB,Castorstraat,180,,
6846XB,Castorstraat,180,,
6846XB,Castorstraat,182,,
6846XB,Castorstraat,182,,
6846XB,Castorstraat,182,,
6846XB,Castorstraat,134,,
6846XB,Castorstraat,134,,
6846XB,Castorstraat,134,,
6846XB,Castorstraat,136,,
6846XB,Castorstraat,136,,
6846XB,Castorstraat,136,,
6846XB,Castorstraat,138,,
6846XB,Castorstraat,138,,
6846XB,Castorstraat,138,,
6846XB,Castorstraat,140,,
6846XB,Castorstraat,140,,
6846XB,Castorstraat,140,,
6846XB,Castorstraat,142,,
6846XB,Castorstraat,142,,
6846XB,Castorstraat,142,,
6846XB,Castorstraat,144,,
6846XB,Castorstraat,144,,
6846XB,Castorstraat,144,,
6846XB,Castorstraat,146,,
6846XB,Castorstraat,146,,
6846XB,Castorstraat,146,,
6846XB,Castorstraat,148,,
6846XB,Castorstraat,148,,
6846XB,Castorstraat,148,,
6846XB,Castorstraat,150,,
