"postcode","huisnummer","huisletter","toevoeging"
"7351TA",13,"",""
"7351TA",9,"",""
"7351TA",17,"",""
7351TA,Harskampweg,9,,
7351TA,Harskampweg,13,,
7351TA,Harskampweg,17,,
7351TA,Apeldoornseweg,125,R,JEN4
7351TA,Apeldoornseweg,125,R,JEN6
7351TA,Apeldoornseweg,125,R,JEN7
7351TA,Apeldoornseweg,125,R,KA10
7351TA,Apeldoornseweg,125,R,KA11
7351TA,Apeldoornseweg,125,R,KA12
7351TA,Apeldoornseweg,125,R,KAS1
7351TA,Apeldoornseweg,125,R,KAS2
7351TA,Apeldoornseweg,125,R,KAS3
7351TA,Apeldoornseweg,125,R,KAS5
7351TA,Apeldoornseweg,125,R,KAS6
7351TA,Apeldoornseweg,125,R,KAS7
7351TA,Apeldoornseweg,125,R,KAS8
7351TA,Apeldoornseweg,125,R,KAS9
7351TA,Apeldoornseweg,125,R,KLA3
7351TA,Apeldoornseweg,125,R,LA10
7351TA,Apeldoornseweg,125,R,LA11
7351TA,Apeldoornseweg,125,R,LA12
7351TA,Apeldoornseweg,125,R,LA13
7351TA,Apeldoornseweg,125,R,LA14
7351TA,Apeldoornseweg,125,R,LA15
7351TA,Apeldoornseweg,125,R,LA16
7351TA,Apeldoornseweg,125,R,LAR1
7351TA,Apeldoornseweg,125,R,LAR2
7351TA,Apeldoornseweg,125,R,LAR3
7351TA,Apeldoornseweg,125,R,LAR4
7351TA,Apeldoornseweg,125,R,LAR5
7351TA,Apeldoornseweg,125,R,LAR6
7351TA,Apeldoornseweg,125,R,LAR7
7351TA,Apeldoornseweg,125,R,LAR8
7351TA,Apeldoornseweg,125,R,LAR9
7351TA,Apeldoornseweg,125,R,LIJ1
7351TA,Apeldoornseweg,125,R,LIJ4
7351TA,Apeldoornseweg,125,R,LIJ5
7351TA,Apeldoornseweg,125,R,LIJ7
7351TA,Apeldoornseweg,125,R,POP1
7351TA,Apeldoornseweg,125,R,POP2
7351TA,Apeldoornseweg,125,R,POP3
7351TA,Apeldoornseweg,125,R,POP4
7351TA,Apeldoornseweg,125,R,POP5
7351TA,Apeldoornseweg,125,R,PR11
7351TA,Apeldoornseweg,125,R,PRU2
7351TA,Apeldoornseweg,125,R,PRU4
7351TA,Apeldoornseweg,125,R,PRU5
7351TA,Apeldoornseweg,125,R,PRU6
7351TA,Apeldoornseweg,125,R,PRU7
7351TA,Apeldoornseweg,125,R,PRU8
7351TA,Apeldoornseweg,125,R,PRU9
7351TA,Apeldoornseweg,125,R,SER1
7351TA,Apeldoornseweg,125,R,SER2
7351TA,Apeldoornseweg,125,R,SER3
7351TA,Apeldoornseweg,125,R,SER4
7351TA,Apeldoornseweg,125,R,SER5
7351TA,Apeldoornseweg,125,R,SP10
7351TA,Apeldoornseweg,125,R,SPA1
7351TA,Apeldoornseweg,125,R,SPA2
7351TA,Apeldoornseweg,125,R,SPA3
7351TA,Apeldoornseweg,125,R,SPA4
7351TA,Apeldoornseweg,125,R,SPA8
7351TA,Apeldoornseweg,125,R,SPA9
7351TA,Apeldoornseweg,125,R,SPO1
7351TA,Apeldoornseweg,125,R,SPO2
7351TA,Apeldoornseweg,125,R,SPO3
7351TA,Apeldoornseweg,125,R,SPO4
7351TA,Apeldoornseweg,125,R,VE10
7351TA,Apeldoornseweg,125,R,VEL2
7351TA,Apeldoornseweg,125,R,VEL3
7351TA,Apeldoornseweg,125,R,VEL4
7351TA,Apeldoornseweg,125,R,VEL6
7351TA,Apeldoornseweg,125,R,VEL7
7351TA,Apeldoornseweg,125,R,VEL8
7351TA,Apeldoornseweg,125,R,VOS1
7351TA,Apeldoornseweg,125,R,VOS2
7351TA,Apeldoornseweg,125,R,VOS3
7351TA,Apeldoornseweg,127,,
7351TA,Apeldoornseweg,250,,
7351TA,Apeldoornseweg,252,,
7351TA,Apeldoornseweg,254,,
7351TA,Apeldoornseweg,256,,
7351TA,Apeldoornseweg,258,,
7351TA,Apeldoornseweg,113,,
7351TA,Apeldoornseweg,115,,
7351TA,Apeldoornseweg,125,,
7351TA,Apeldoornseweg,125,R,BE10
7351TA,Apeldoornseweg,125,R,BER1
7351TA,Apeldoornseweg,125,R,BER2
7351TA,Apeldoornseweg,125,R,BER3
7351TA,Apeldoornseweg,125,R,BER4
7351TA,Apeldoornseweg,125,R,BER6
7351TA,Apeldoornseweg,125,R,BER7
7351TA,Apeldoornseweg,125,R,BER8
7351TA,Apeldoornseweg,125,R,BER9
7351TA,Apeldoornseweg,125,R,BEU1
7351TA,Apeldoornseweg,125,R,BEU2
7351TA,Apeldoornseweg,125,R,BEU3
7351TA,Apeldoornseweg,125,R,CE10
7351TA,Apeldoornseweg,125,R,CE12
7351TA,Apeldoornseweg,125,R,CED1
7351TA,Apeldoornseweg,125,R,CED2
7351TA,Apeldoornseweg,125,R,CED3
7351TA,Apeldoornseweg,125,R,CED6
7351TA,Apeldoornseweg,125,R,CED8
7351TA,Apeldoornseweg,125,R,CO10
7351TA,Apeldoornseweg,125,R,CO14
7351TA,Apeldoornseweg,125,R,CO15
