"postcode","huisnummer","huisletter","toevoeging"
"7382CL",4,"",""
"7382CL",12,"",""
"7382CL",8,"",""
"7382CL",6,"",""
"7382CL",10,"",""
7382CL,Kleine Pimpernel,4,,
7382CL,Kleine Pimpernel,6,,
7382CL,Kleine Pimpernel,8,,
7382CL,Kleine Pimpernel,10,,
7382CL,Kleine Pimpernel,12,,
7382CE,Achter de Molen,1,,
7382CE,Achter de Molen,3,,
7382CE,Achter de Molen,5,,
7382CE,Achter de Molen,6,,
7382CE,Achter de Molen,8,,
7382CE,Achter de Molen,10,,
7382CC,Bosweg,14,,
7382CC,Bosweg,14,S,
7382CC,Bosweg,1,,
7382CC,Bosweg,2,,
7382CC,Bosweg,3,,
7382CC,Bosweg,4,,
7382CC,Bosweg,5,,
7382CC,Bosweg,6,,
7382CC,Bosweg,7,,
7382CC,Bosweg,8,,
7382CC,Bosweg,9,,
7382CC,Bosweg,10,,
7382CC,Bosweg,11,,
7382CC,Bosweg,13,,
7382CC,Bosweg,15,,
7382CC,Bosweg,16,,
7382CC,Bosweg,18,,
7382CC,Bosweg,20,,
7382CC,Bosweg,21,,
7382CC,Bosweg,22,,
7382CC,Bosweg,23,,
7382CC,Bosweg,24,,
7382CC,Bosweg,25,,
7382CC,Bosweg,26,,
7382CC,Bosweg,27,,
7382CC,Bosweg,29,,
7382CC,Bosweg,31,,
7382CD,Bosweg,28,,
7382CD,Bosweg,30,,
7382CD,Bosweg,32,,
7382CD,Bosweg,34,,
7382CD,Bosweg,36,,
7382CD,Bosweg,38,,
7382CD,Bosweg,40,,
7382CD,Bosweg,42,,
7382CD,Bosweg,44,,
7382CD,Bosweg,46,,
7382CD,Bosweg,48,,
7382CD,Bosweg,50,,
7382CD,Bosweg,52,,
7382CD,Bosweg,54,,
7382CD,Bosweg,56,,
7382CD,Bosweg,58,,
7382CD,Bosweg,60,,
7382CD,Bosweg,62,,
7382CD,Bosweg,64,,
7382CD,Bosweg,66,,
7382CD,Bosweg,68,,
7382CD,Bosweg,70,,
7382CD,Bosweg,72,,
7382CD,Bosweg,74,,
7382CD,Bosweg,76,,
7382CE,Bosweg,90,,
7382CE,Bosweg,92,,
7382CE,Bosweg,94,,
7382CG,Boterbloem,14,,
7382CG,Boterbloem,16,,
7382CG,Boterbloem,18,,
7382CG,Boterbloem,20,,
7382CG,Boterbloem,22,,
7382CG,Boterbloem,24,,
7382CG,Boterbloem,38,,
7382CG,Boterbloem,40,,
7382CG,Boterbloem,42,,
7382CG,Boterbloem,44,,
7382CG,Boterbloem,46,,
7382CG,Boterbloem,48,,
7382CG,Boterbloem,26,,
7382CG,Boterbloem,28,,
7382CG,Boterbloem,30,,
7382CG,Boterbloem,32,,
7382CG,Boterbloem,34,,
7382CG,Boterbloem,36,,
7382AC,Broekstraat,29,A,
7382AC,Broekstraat,31,A,
7382AC,Broekstraat,32,,
7382AC,Broekstraat,26,,
7382AC,Broekstraat,27,,
7382AC,Broekstraat,28,,
7382AC,Broekstraat,29,,
7382AC,Broekstraat,30,,
7382AC,Broekstraat,31,,
7382AC,Broekstraat,31,,0002
7382AC,Broekstraat,34,,
7382AC,Broekstraat,25,,
7382AD,Broekstraat,42,A,
7382AD,Broekstraat,41,A,
7382AD,Broekstraat,33,B,
7382AD,Broekstraat,33,,
7382AD,Broekstraat,35,,
7382AD,Broekstraat,37,,
7382AD,Broekstraat,39,,
7382AD,Broekstraat,40,,
7382AD,Broekstraat,41,,
7382AD,Broekstraat,42,,
7382AD,Broekstraat,43,,
7382AD,Broekstraat,44,,
7382AD,Broekstraat,45,,
7382AD,Broekstraat,47,,
7382AD,Broekstraat,49,,
7382AD,Broekstraat,51,,
7382AD,Broekstraat,53,,
7382AD,Broekstraat,55,,
7382AD,Broekstraat,57,,
7382AD,Broekstraat,59,,
7382AD,Broekstraat,61,,
7382AD,Broekstraat,63,,
7382AD,Broekstraat,65,,
7382CA,Cederweg,1,,
7382CA,Cederweg,3,,
7382CA,Cederweg,5,,
7382CA,Cederweg,7,,
7382CA,Cederweg,9,,
7382CA,Cederweg,11,,
7382CA,Cederweg,13,,
7382CA,Cederweg,15,,
7382CA,Cederweg,17,,
7382CA,Cederweg,19,,
7382CA,Cederweg,21,,
7382CA,Cederweg,23,,
7382CB,Cederweg,2,,
7382CB,Cederweg,4,,
7382CB,Cederweg,6,,
7382CB,Cederweg,8,,
7382CB,Cederweg,10,,
7382CB,Cederweg,12,,
7382CB,Cederweg,14,,
7382CB,Cederweg,16,,
7382CB,Cederweg,18,,
7382CB,Cederweg,20,,
7382CB,Cederweg,22,,
7382AA,Dalkweg,2,,
7382AA,Dalkweg,3,,
7382AA,Dalkweg,5,,
7382AA,Dalkweg,8,,
7382BW,Dennenweg,1,,
7382BW,Dennenweg,3,,
7382BW,Dennenweg,5,,
7382BW,Dennenweg,7,,
7382BW,Dennenweg,9,,
7382BW,Dennenweg,11,,
7382BX,Dennenweg,2,,
7382BX,Dennenweg,4,,
7382BX,Dennenweg,6,,
7382BX,Dennenweg,8,,
7382BX,Dennenweg,10,,
7382BX,Dennenweg,12,,
7382BX,Dennenweg,14,,
7382BX,Dennenweg,16,,
7382BX,Dennenweg,18,,
7382BX,Dennenweg,20,,
7382BX,Dennenweg,22,,
7382BX,Dennenweg,24,,
7382AC,Henkenburgweg,3,,
7382AC,Henkenburgweg,5,,
7382AC,Henkenburgweg,4,,
7382BE,Hoofdweg,37,,
7382BE,Hoofdweg,49,,
7382BE,Hoofdweg,21,,
7382BE,Hoofdweg,23,,
7382BE,Hoofdweg,25,,
7382BE,Hoofdweg,27,,
7382BE,Hoofdweg,29,,
7382BE,Hoofdweg,31,,
7382BE,Hoofdweg,35,,
