"postcode","huisnummer","huisletter","toevoeging"
"3993HE",21,"",""
3993HE,Liesgras,21,,
3993TH,Salamandersloot,1,,
3993TH,Salamandersloot,3,,
3993TH,Salamandersloot,5,,
3993TH,Salamandersloot,7,,
3993TH,Salamandersloot,9,,
3993TH,Salamandersloot,11,,
3993TH,Salamandersloot,13,,
3993TH,Salamandersloot,15,,
3993TJ,Salamandersloot,2,,
3993TJ,Salamandersloot,4,,
3993TJ,Salamandersloot,6,,
3993TJ,Salamandersloot,8,,
3993TJ,Salamandersloot,10,,
3993TJ,Salamandersloot,12,,
3993TJ,Salamandersloot,14,,
3993TJ,Salamandersloot,16,,
3993TJ,Salamandersloot,18,,
3993TJ,Salamandersloot,20,,
3993TJ,Salamandersloot,22,,
3993HG,Snoeksloot,1,,
3993HG,Snoeksloot,3,,
3993HG,Snoeksloot,5,,
3993HG,Snoeksloot,7,,
3993HG,Snoeksloot,9,,
3993HG,Snoeksloot,11,,
3993HG,Snoeksloot,13,,
3993HG,Snoeksloot,15,,
3993HG,Snoeksloot,17,,
3993HG,Snoeksloot,19,,
3993HG,Snoeksloot,21,,
3993HG,Snoeksloot,23,,
3993HG,Snoeksloot,25,,
3993HG,Snoeksloot,27,,
3993HG,Snoeksloot,29,,
3993HG,Snoeksloot,31,,
3993HG,Snoeksloot,33,,
3993HG,Snoeksloot,35,,
3993HG,Snoeksloot,37,,
3993HG,Snoeksloot,39,,
3993HG,Snoeksloot,41,,
3993HG,Snoeksloot,43,,
3993HG,Snoeksloot,45,,
3993HG,Snoeksloot,47,,
3993HG,Snoeksloot,49,,
3993HG,Snoeksloot,51,,
3993HG,Snoeksloot,53,,
3993HH,Snoeksloot,55,,
3993HH,Snoeksloot,57,,
3993HH,Snoeksloot,59,,
3993HH,Snoeksloot,61,,
3993HH,Snoeksloot,63,,
3993HH,Snoeksloot,65,,
3993HH,Snoeksloot,67,,
3993HH,Snoeksloot,69,,
3993HH,Snoeksloot,71,,
3993HH,Snoeksloot,73,,
3993HH,Snoeksloot,75,,
3993HH,Snoeksloot,77,,
3993HH,Snoeksloot,79,,
3993HH,Snoeksloot,81,,
3993HH,Snoeksloot,83,,
3993HH,Snoeksloot,85,,
3993HJ,Snoeksloot,87,,
3993HJ,Snoeksloot,89,,
3993HJ,Snoeksloot,91,,
3993HJ,Snoeksloot,93,,
3993HJ,Snoeksloot,95,,
3993HJ,Snoeksloot,97,,
3993HJ,Snoeksloot,99,,
3993HJ,Snoeksloot,101,,
3993HJ,Snoeksloot,103,,
3993HJ,Snoeksloot,105,,
3993HJ,Snoeksloot,107,,
3993HJ,Snoeksloot,109,,
3993HJ,Snoeksloot,111,,
3993HJ,Snoeksloot,113,,
3993HJ,Snoeksloot,115,,
3993HJ,Snoeksloot,117,,
3993HK,Snoeksloot,119,,
3993HK,Snoeksloot,121,,
3993HK,Snoeksloot,123,,
3993HK,Snoeksloot,125,,
3993HK,Snoeksloot,127,,
3993HK,Snoeksloot,129,,
3993HK,Snoeksloot,131,,
3993HK,Snoeksloot,131,,0001
3993HK,Snoeksloot,133,,
3993HK,Snoeksloot,135,,
3993HK,Snoeksloot,137,,
3993HK,Snoeksloot,139,,
3993HK,Snoeksloot,141,,
3993HK,Snoeksloot,143,,
3993HK,Snoeksloot,145,,
3993HL,Snoeksloot,2,,
3993HL,Snoeksloot,4,,
3993HL,Snoeksloot,6,,
3993HL,Snoeksloot,8,,
3993HL,Snoeksloot,10,,
