straat,huisnummer,huisletter,toevoeging,postcode,plaats
Haarlemmerplein,31,"",1,1013HR,Amsterdam
Haarlemmerplein,31,"",2,1013HR,Amsterdam
Haarlemmerplein,31,"",3,1013HR,Amsterdam
Haarlemmerplein,31,"",H,1013HR,Amsterdam
Haarlemmerplein,33,"",1,1013HR,Amsterdam
Haarlemmerplein,33,"",2,1013HR,Amsterdam
Haarlemmerplein,33,"",3,1013HR,Amsterdam
Haarlemmerplein,33,"",H,1013HR,Amsterdam
Haarlemmerplein,35,"",1,1013HR,Amsterdam
Haarlemmerplein,35,"",2,1013HR,Amsterdam
Haarlemmerplein,35,"",3,1013HR,Amsterdam
Haarlemmerplein,37,"",1,1013HR,Amsterdam
Haarlemmerplein,37,"",2,1013HR,Amsterdam
Haarlemmerplein,37,"",3,1013HR,Amsterdam
Haarlemmerplein,37,"",H,1013HR,Amsterdam
Haarlemmerplein,39,"",1,1013HR,Amsterdam
Haarlemmerplein,39,"",2,1013HR,Amsterdam
Haarlemmerplein,39,"",3,1013HR,Amsterdam
Haarlemmerplein,41,"",1,1013HR,Amsterdam
Haarlemmerplein,41,"",2,1013HR,Amsterdam
Haarlemmerplein,41,"",3,1013HR,Amsterdam
Haarlemmerplein,41,"",H,1013HR,Amsterdam
Haarlemmerplein,43,"",1,1013HR,Amsterdam
Haarlemmerplein,43,"",2,1013HR,Amsterdam
Haarlemmerplein,43,"",3,1013HR,Amsterdam
Haarlemmerplein,43,"",H,1013HR,Amsterdam
Haarlemmerplein,10,"","",1013HS,Amsterdam
Haarlemmerplein,10,"","",1013HS,Amsterdam
Haarlemmerplein,12,A,"",1013HS,Amsterdam
Haarlemmerplein,12,B,"",1013HS,Amsterdam
Haarlemmerplein,12,C,"",1013HS,Amsterdam
Haarlemmerplein,12,D,"",1013HS,Amsterdam
Haarlemmerplein,12,E,"",1013HS,Amsterdam
Haarlemmerplein,12,F,"",1013HS,Amsterdam
Haarlemmerplein,14,A,"",1013HS,Amsterdam
Haarlemmerplein,14,B,"",1013HS,Amsterdam
Haarlemmerplein,14,C,"",1013HS,Amsterdam
Haarlemmerplein,14,D,"",1013HS,Amsterdam
Haarlemmerplein,14,E,"",1013HS,Amsterdam
Haarlemmerplein,14,F,"",1013HS,Amsterdam
Haarlemmerplein,16,A,"",1013HS,Amsterdam
Haarlemmerplein,16,B,"",1013HS,Amsterdam
Haarlemmerplein,16,C,"",1013HS,Amsterdam
Haarlemmerplein,16,D,"",1013HS,Amsterdam
Haarlemmerplein,16,E,"",1013HS,Amsterdam
Haarlemmerplein,16,F,"",1013HS,Amsterdam
Haarlemmerplein,18,A,"",1013HS,Amsterdam
Haarlemmerplein,18,B,"",1013HS,Amsterdam
Haarlemmerplein,18,C,"",1013HS,Amsterdam
Haarlemmerplein,18,D,"",1013HS,Amsterdam
Haarlemmerplein,18,E,"",1013HS,Amsterdam
Haarlemmerplein,2,"","",1013HS,Amsterdam
Haarlemmerplein,2,"","",1013HS,Amsterdam
Haarlemmerplein,2,A,"",1013HS,Amsterdam
Haarlemmerplein,2,A,"",1013HS,Amsterdam
Haarlemmerplein,2,B,"",1013HS,Amsterdam
Haarlemmerplein,2,C,"",1013HS,Amsterdam
Haarlemmerplein,2,D,"",1013HS,Amsterdam
Haarlemmerplein,2,E,"",1013HS,Amsterdam
Haarlemmerplein,2,F,"",1013HS,Amsterdam
Haarlemmerplein,2,G,"",1013HS,Amsterdam
Haarlemmerplein,20,A,"",1013HS,Amsterdam
Haarlemmerplein,20,B,"",1013HS,Amsterdam
Haarlemmerplein,22,A,"",1013HS,Amsterdam
Haarlemmerplein,22,B,"",1013HS,Amsterdam
Haarlemmerplein,22,C,"",1013HS,Amsterdam
Haarlemmerplein,22,D,"",1013HS,Amsterdam
Haarlemmerplein,22,E,"",1013HS,Amsterdam
Haarlemmerplein,22,F,"",1013HS,Amsterdam
Haarlemmerplein,24,A,"",1013HS,Amsterdam
Haarlemmerplein,24,B,"",1013HS,Amsterdam
Haarlemmerplein,24,C,"",1013HS,Amsterdam
Haarlemmerplein,24,D,"",1013HS,Amsterdam
Haarlemmerplein,24,E,"",1013HS,Amsterdam
Haarlemmerplein,24,F,"",1013HS,Amsterdam
Haarlemmerplein,26,A,"",1013HS,Amsterdam
Haarlemmerplein,26,B,"",1013HS,Amsterdam
Haarlemmerplein,26,C,"",1013HS,Amsterdam
Haarlemmerplein,26,D,"",1013HS,Amsterdam
Haarlemmerplein,26,D,"",1013HS,Amsterdam
Haarlemmerplein,26,D,"",1013HS,Amsterdam
Haarlemmerplein,26,E,"",1013HS,Amsterdam
Haarlemmerplein,26,F,"",1013HS,Amsterdam
Haarlemmerplein,28,A,"",1013HS,Amsterdam
Haarlemmerplein,28,B,"",1013HS,Amsterdam
Haarlemmerplein,30,A,"",1013HS,Amsterdam
Haarlemmerplein,30,B,"",1013HS,Amsterdam
Haarlemmerplein,32,"","",1013HS,Amsterdam
Haarlemmerplein,32,"","",1013HS,Amsterdam
Haarlemmerplein,34,"","",1013HS,Amsterdam
Haarlemmerplein,36,"","",1013HS,Amsterdam
Haarlemmerplein,4,"",1,1013HS,Amsterdam
Haarlemmerplein,4,"",2,1013HS,Amsterdam
Haarlemmerplein,4,"",3,1013HS,Amsterdam
Haarlemmerplein,4,"",H,1013HS,Amsterdam
Haarlemmerplein,40,A,"",1013HS,Amsterdam
Haarlemmerplein,40,B,"",1013HS,Amsterdam
Haarlemmerplein,42,"",1,1013HS,Amsterdam
Haarlemmerplein,42,"",2,1013HS,Amsterdam
Haarlemmerplein,42,"",3,1013HS,Amsterdam
