straat,huisnummer,huisletter,toevoeging,postcode,plaats
Rozengracht,226,"","",1016SZ,Amsterdam
Rozengracht,226,A,"",1016SZ,Amsterdam
Rozengracht,228,"",1,1016SZ,Amsterdam
Rozengracht,228,"",2,1016SZ,Amsterdam
Rozengracht,228,"",3,1016SZ,Amsterdam
Rozengracht,228,"",4,1016SZ,Amsterdam
Rozengracht,228,"",H,1016SZ,Amsterdam
Rozengracht,230,"",1,1016SZ,Amsterdam
Rozengracht,230,"",2,1016SZ,Amsterdam
Rozengracht,230,"",3,1016SZ,Amsterdam
Rozengracht,230,"",4,1016SZ,Amsterdam
Rozengracht,230,"",H,1016SZ,Amsterdam
Rozengracht,232,A,"",1016SZ,Amsterdam
Rozengracht,232,B,"",1016SZ,Amsterdam
Rozengracht,232,C,"",1016SZ,Amsterdam
Rozengracht,232,D,"",1016SZ,Amsterdam
Rozengracht,232,E,"",1016SZ,Amsterdam
Rozengracht,232,F,"",1016SZ,Amsterdam
Rozengracht,234,A,"",1016SZ,Amsterdam
Rozengracht,234,B,"",1016SZ,Amsterdam
Rozengracht,234,C,"",1016SZ,Amsterdam
Rozengracht,234,D,"",1016SZ,Amsterdam
Rozengracht,234,E,"",1016SZ,Amsterdam
Rozengracht,234,F,"",1016SZ,Amsterdam
Rozengracht,236,A,"",1016SZ,Amsterdam
Rozengracht,236,B,"",1016SZ,Amsterdam
Rozengracht,236,C,"",1016SZ,Amsterdam
Rozengracht,236,D,"",1016SZ,Amsterdam
Rozengracht,236,E,"",1016SZ,Amsterdam
Rozengracht,236,F,"",1016SZ,Amsterdam
Rozengracht,236,F,"",1016SZ,Amsterdam
Rozengracht,236,F,"",1016SZ,Amsterdam
Rozengracht,236,G,"",1016SZ,Amsterdam
Rozengracht,236,Z,99,1016SZ,Amsterdam
Rozengracht,238,"","",1016SZ,Amsterdam
Marnixstraat,307,A,"",1016TB,Amsterdam
Marnixstraat,307,B,"",1016TB,Amsterdam
Marnixstraat,309,A,"",1016TB,Amsterdam
Marnixstraat,309,B,"",1016TB,Amsterdam
Marnixstraat,309,C,"",1016TB,Amsterdam
Marnixstraat,311,A,"",1016TB,Amsterdam
Marnixstraat,311,B,"",1016TB,Amsterdam
Marnixstraat,311,C,"",1016TB,Amsterdam
Marnixstraat,311,D,"",1016TB,Amsterdam
Marnixstraat,313,A,"",1016TB,Amsterdam
Marnixstraat,313,B,"",1016TB,Amsterdam
Marnixstraat,313,C,"",1016TB,Amsterdam
Marnixstraat,313,D,"",1016TB,Amsterdam
Marnixstraat,315,"","",1016TB,Amsterdam
Marnixstraat,315,A,"",1016TB,Amsterdam
Marnixstraat,315,B,"",1016TB,Amsterdam
Marnixstraat,315,C,"",1016TB,Amsterdam
Marnixstraat,315,D,"",1016TB,Amsterdam
Marnixstraat,317,"","",1016TB,Amsterdam
Marnixstraat,317,"","",1016TB,Amsterdam
Marnixstraat,317,"","",1016TB,Amsterdam
Marnixstraat,319,"",1,1016TB,Amsterdam
Marnixstraat,319,"",2,1016TB,Amsterdam
Marnixstraat,319,"",3,1016TB,Amsterdam
Marnixstraat,319,"",4,1016TB,Amsterdam
Marnixstraat,319,"",H,1016TB,Amsterdam
Marnixstraat,321,"",1,1016TB,Amsterdam
Marnixstraat,321,"",2,1016TB,Amsterdam
Marnixstraat,321,"",3,1016TB,Amsterdam
Marnixstraat,321,"",4,1016TB,Amsterdam
Marnixstraat,321,"",H,1016TB,Amsterdam
Marnixstraat,323,"",1,1016TB,Amsterdam
Marnixstraat,323,"",2,1016TB,Amsterdam
Marnixstraat,323,"",3,1016TB,Amsterdam
Marnixstraat,323,"",3,1016TB,Amsterdam
Marnixstraat,323,"",4A,1016TB,Amsterdam
Marnixstraat,323,"",4B,1016TB,Amsterdam
Marnixstraat,323,"",H,1016TB,Amsterdam
Marnixstraat,325,"",1,1016TC,Amsterdam
Marnixstraat,325,"",2,1016TC,Amsterdam
Marnixstraat,325,"",3,1016TC,Amsterdam
Marnixstraat,325,"",4,1016TC,Amsterdam
Marnixstraat,325,"",4,1016TC,Amsterdam
Marnixstraat,325,"",H,1016TC,Amsterdam
Marnixstraat,327,"",1,1016TC,Amsterdam
Marnixstraat,327,"",2,1016TC,Amsterdam
Marnixstraat,327,"",3,1016TC,Amsterdam
Marnixstraat,327,"",H,1016TC,Amsterdam
Marnixstraat,329,"",1,1016TC,Amsterdam
Marnixstraat,329,"",2,1016TC,Amsterdam
Marnixstraat,329,"",3,1016TC,Amsterdam
Marnixstraat,329,"",H,1016TC,Amsterdam
Marnixstraat,331,"",1,1016TC,Amsterdam
Marnixstraat,331,"",2,1016TC,Amsterdam
Marnixstraat,331,"",3,1016TC,Amsterdam
Marnixstraat,331,"",H,1016TC,Amsterdam
Marnixstraat,333,"",1,1016TC,Amsterdam
Marnixstraat,333,"",2,1016TC,Amsterdam
Marnixstraat,333,"",3,1016TC,Amsterdam
Marnixstraat,333,"",H,1016TC,Amsterdam
Marnixstraat,335,A,"",1016TD,Amsterdam
Marnixstraat,335,B,"",1016TD,Amsterdam
Marnixstraat,335,C,"",1016TD,Amsterdam
Marnixstraat,335,D,"",1016TD,Amsterdam
Marnixstraat,335,E,"",1016TD,Amsterdam
Marnixstraat,341,"","",1016TD,Amsterdam
Marnixstraat,343,"","",1016TD,Amsterdam
Marnixstraat,345,"","",1016TD,Amsterdam
Marnixstraat,347,"","",1016TD,Amsterdam
Marnixstraat,349,"","",1016TD,Amsterdam
Marnixstraat,351,"","",1016TD,Amsterdam
Marnixstraat,353,"","",1016TD,Amsterdam
Marnixstraat,355,"","",1016TD,Amsterdam
Marnixstraat,357,"","",1016TD,Amsterdam
Marnixstraat,357,"","",1016TD,Amsterdam
Marnixstraat,359,"","",1016TD,Amsterdam
Marnixstraat,148,"","",1016TE,Amsterdam
Marnixstraat,148,A,"",1016TE,Amsterdam
Marnixstraat,148,B,"",1016TE,Amsterdam
Marnixstraat,150,A,"",1016TE,Amsterdam
Marnixstraat,150,B,"",1016TE,Amsterdam
Marnixstraat,150,C,"",1016TE,Amsterdam
Marnixstraat,150,C,"",1016TE,Amsterdam
Marnixstraat,150,D,"",1016TE,Amsterdam
Marnixstraat,150,E,"",1016TE,Amsterdam
Marnixstraat,150,F,"",1016TE,Amsterdam
Marnixstraat,150,G,"",1016TE,Amsterdam
Marnixstraat,150,K,"",1016TE,Amsterdam
Marnixstraat,150,L,"",1016TE,Amsterdam
Marnixstraat,152,"",1,1016TE,Amsterdam
Marnixstraat,152,"",2,1016TE,Amsterdam
Marnixstraat,152,"",3,1016TE,Amsterdam
Marnixstraat,152,"",H,1016TE,Amsterdam
Marnixstraat,154,"",1,1016TE,Amsterdam
Marnixstraat,154,"",1,1016TE,Amsterdam
Marnixstraat,154,"",2,1016TE,Amsterdam
Marnixstraat,154,"",3,1016TE,Amsterdam
Marnixstraat,154,"",H,1016TE,Amsterdam
Marnixstraat,156,"",1,1016TE,Amsterdam
Marnixstraat,156,"",2,1016TE,Amsterdam
Marnixstraat,156,"",3,1016TE,Amsterdam
Marnixstraat,156,"",H,1016TE,Amsterdam
Marnixstraat,158,A,"",1016TE,Amsterdam
Marnixstraat,158,B,"",1016TE,Amsterdam
Marnixstraat,158,C,"",1016TE,Amsterdam
Marnixstraat,160,"",1,1016TG,Amsterdam
Marnixstraat,160,"",2,1016TG,Amsterdam
Marnixstraat,160,"",3,1016TG,Amsterdam
Marnixstraat,160,"",H,1016TG,Amsterdam
Marnixstraat,162,"",1,1016TG,Amsterdam
Marnixstraat,162,"",3,1016TG,Amsterdam
Marnixstraat,162,"",H,1016TG,Amsterdam
Marnixstraat,164,"",1,1016TG,Amsterdam
Marnixstraat,164,"",2,1016TG,Amsterdam
Marnixstraat,164,"",3,1016TG,Amsterdam
Marnixstraat,164,"",H,1016TG,Amsterdam
Marnixstraat,164,"",H,1016TG,Amsterdam
Marnixstraat,166,"",1,1016TG,Amsterdam
Marnixstraat,166,"",2,1016TG,Amsterdam
Marnixstraat,166,"",3,1016TG,Amsterdam
Marnixstraat,166,"",H,1016TG,Amsterdam
Marnixstraat,166,"",H,1016TG,Amsterdam
Marnixstraat,168,"","",1016TG,Amsterdam
Marnixstraat,170,"","",1016TG,Amsterdam
Marnixstraat,170,"","",1016TG,Amsterdam
