postcode,straat,huisnummer,huisletter,toevoeging
1016KR,Eerste Bloemdwarsstraat,3,,H
1016KR,Eerste Bloemdwarsstraat,3,,1
1016KR,Eerste Bloemdwarsstraat,3,,2
1016KR,Eerste Bloemdwarsstraat,9,,H
1016KR,Eerste Bloemdwarsstraat,9,,1
1016KR,Eerste Bloemdwarsstraat,13,A,H
1016KR,Eerste Bloemdwarsstraat,19,,H
1016KR,Eerste Bloemdwarsstraat,19,,1
1016KR,Eerste Bloemdwarsstraat,19,,2
1016KR,Eerste Bloemdwarsstraat,19,,3
1016KS,Eerste Bloemdwarsstraat,2,,H
1016KS,Eerste Bloemdwarsstraat,2,,1L
1016KS,Eerste Bloemdwarsstraat,2,,1R
1016KS,Eerste Bloemdwarsstraat,2,,2L
1016KS,Eerste Bloemdwarsstraat,2,,2R
1016KS,Eerste Bloemdwarsstraat,6,,H
1016KS,Eerste Bloemdwarsstraat,8,,H
1016KS,Eerste Bloemdwarsstraat,8,,1
1016KS,Eerste Bloemdwarsstraat,10,,
1016KS,Eerste Bloemdwarsstraat,20,,1
1016KS,Eerste Bloemdwarsstraat,22,,1
1016KS,Eerste Bloemdwarsstraat,22,,2
1016KS,Eerste Bloemdwarsstraat,24,,
1015SZ,Eerste Leliedwarsstraat,1,,H
1015SZ,Eerste Leliedwarsstraat,1,,1
1015SZ,Eerste Leliedwarsstraat,1,,1
1015SZ,Eerste Leliedwarsstraat,3,,
1015SZ,Eerste Leliedwarsstraat,5,,H
1015SZ,Eerste Leliedwarsstraat,7,,H
1015SZ,Eerste Leliedwarsstraat,9,A,
1015SZ,Eerste Leliedwarsstraat,9,B,
1015SZ,Eerste Leliedwarsstraat,9,C,
1015SZ,Eerste Leliedwarsstraat,9,D,
1015SZ,Eerste Leliedwarsstraat,15,,O
1015SZ,Eerste Leliedwarsstraat,15,,1
1015SZ,Eerste Leliedwarsstraat,19,,H
1015SZ,Eerste Leliedwarsstraat,19,,O
1015SZ,Eerste Leliedwarsstraat,19,,1
1015SZ,Eerste Leliedwarsstraat,21,,H
1015SZ,Eerste Leliedwarsstraat,23,,
1015TA,Eerste Leliedwarsstraat,2,,
1015TA,Eerste Leliedwarsstraat,2,A,H
1015TA,Eerste Leliedwarsstraat,2,A,1
1015TA,Eerste Leliedwarsstraat,6,,H
1015TA,Eerste Leliedwarsstraat,6,,1
1015TA,Eerste Leliedwarsstraat,6,,2
1015TA,Eerste Leliedwarsstraat,14,,H
1015TA,Eerste Leliedwarsstraat,14,,1
1016LL,Tweede Bloemdwarsstraat,1,A,
1016LL,Tweede Bloemdwarsstraat,1,B,
1016LL,Tweede Bloemdwarsstraat,1,C,
1016LL,Tweede Bloemdwarsstraat,5,,H
1016LL,Tweede Bloemdwarsstraat,5,,1
1016LL,Tweede Bloemdwarsstraat,5,,2
1016LL,Tweede Bloemdwarsstraat,9,,H
1016LL,Tweede Bloemdwarsstraat,9,,2
1016LL,Tweede Bloemdwarsstraat,11,,
1016LL,Tweede Bloemdwarsstraat,21,,
1016LL,Tweede Bloemdwarsstraat,23,,1
1016LL,Tweede Bloemdwarsstraat,23,,2
1016LM,Tweede Bloemdwarsstraat,2,,
1016LM,Tweede Bloemdwarsstraat,26,,
1016LM,Tweede Bloemdwarsstraat,28,,
1016LM,Tweede Bloemdwarsstraat,30,,
1016LM,Tweede Bloemdwarsstraat,32,,
1016LM,Tweede Bloemdwarsstraat,34,,
1015TB,Tweede Leliedwarsstraat,3,,H
1015TB,Tweede Leliedwarsstraat,5,,H
1015TB,Tweede Leliedwarsstraat,5,,1
1015TB,Tweede Leliedwarsstraat,5,,2
1015TB,Tweede Leliedwarsstraat,5,,2
1015TB,Tweede Leliedwarsstraat,7,,H
1015TB,Tweede Leliedwarsstraat,7,,1
