straat,huisnummer,huisletter,toevoeging,postcode,plaats
Singel,210,"","",1016AB,Amsterdam
Singel,210,"","",1016AB,Amsterdam
Singel,212,"","",1016AB,Amsterdam
Singel,212,A,"",1016AB,Amsterdam
Singel,212,B,"",1016AB,Amsterdam
Singel,212,C,"",1016AB,Amsterdam
Singel,212,D,"",1016AB,Amsterdam
Singel,212,E,"",1016AB,Amsterdam
Singel,214,"",1,1016AB,Amsterdam
Singel,214,"",2,1016AB,Amsterdam
Singel,214,"",H,1016AB,Amsterdam
Singel,236,"","",1016AB,Amsterdam
Singel,238,A,"",1016AB,Amsterdam
Singel,238,B,"",1016AB,Amsterdam
Singel,238,C,"",1016AB,Amsterdam
Singel,238,D,"",1016AB,Amsterdam
Singel,240,"",1,1016AB,Amsterdam
Singel,240,"",2,1016AB,Amsterdam
Singel,240,"",H,1016AB,Amsterdam
Singel,250,"","",1016AB,Amsterdam
Singel,250,"","",1016AB,Amsterdam
Singel,250,"","",1016AB,Amsterdam
Singel,250,"","",1016AB,Amsterdam
Singel,250,A,"",1016AB,Amsterdam
Singel,250,A,"",1016AB,Amsterdam
Singel,250,B,"",1016AB,Amsterdam
Singel,250,B,"",1016AB,Amsterdam
Singel,250,C,"",1016AB,Amsterdam
Singel,250,C,"",1016AB,Amsterdam
Singel,250,D,"",1016AB,Amsterdam
Singel,250,D,"",1016AB,Amsterdam
Singel,258,"","",1016AB,Amsterdam
Singel,258,"","",1016AB,Amsterdam
Singel,258,A,"",1016AB,Amsterdam
Singel,258,K,"",1016AB,Amsterdam
Singel,260,"","",1016AB,Amsterdam
Singel,262,"","",1016AC,Amsterdam
Singel,264,"","",1016AC,Amsterdam
Singel,264,A,"",1016AC,Amsterdam
Singel,264,B,"",1016AC,Amsterdam
Singel,264,C,"",1016AC,Amsterdam
Singel,264,D,"",1016AC,Amsterdam
Singel,264,E,"",1016AC,Amsterdam
Singel,264,F,"",1016AC,Amsterdam
Singel,266,"",1,1016AC,Amsterdam
Singel,266,"",H,1016AC,Amsterdam
Singel,268,A,"",1016AC,Amsterdam
Singel,268,B,"",1016AC,Amsterdam
Singel,268,C,"",1016AC,Amsterdam
Singel,268,D,"",1016AC,Amsterdam
Singel,268,E,"",1016AC,Amsterdam
Singel,268,F,"",1016AC,Amsterdam
Singel,268,G,"",1016AC,Amsterdam
Singel,268,H,"",1016AC,Amsterdam
Singel,268,K,"",1016AC,Amsterdam
Singel,268,L,"",1016AC,Amsterdam
Singel,268,M,"",1016AC,Amsterdam
Singel,268,N,"",1016AC,Amsterdam
Singel,270,"",1,1016AC,Amsterdam
Singel,270,"",2,1016AC,Amsterdam
Singel,270,"",3,1016AC,Amsterdam
Singel,270,"",H,1016AC,Amsterdam
Singel,272,"",1,1016AC,Amsterdam
Singel,272,"",2,1016AC,Amsterdam
Singel,272,"",3,1016AC,Amsterdam
Singel,272,"",H,1016AC,Amsterdam
Singel,272,"",H,1016AC,Amsterdam
Singel,272,K,"",1016AC,Amsterdam
Singel,274,"",2,1016AC,Amsterdam
Singel,274,"",H,1016AC,Amsterdam
Singel,276,"",1,1016AC,Amsterdam
Singel,276,"",1,1016AC,Amsterdam
Singel,276,"",2,1016AC,Amsterdam
Singel,276,"",3,1016AC,Amsterdam
Singel,276,"",H,1016AC,Amsterdam
Singel,276,"",H,1016AC,Amsterdam
Singel,276,"",O,1016AC,Amsterdam
Singel,278,"","",1016AC,Amsterdam
Singel,280,"","",1016AD,Amsterdam
Singel,282,A,"",1016AD,Amsterdam
Singel,282,A,"",1016AD,Amsterdam
Singel,282,B,"",1016AD,Amsterdam
Singel,282,B,"",1016AD,Amsterdam
Singel,284,A,"",1016AD,Amsterdam
Singel,284,B,"",1016AD,Amsterdam
Singel,284,C,"",1016AD,Amsterdam
Singel,284,D,"",1016AD,Amsterdam
Singel,284,E,"",1016AD,Amsterdam
Singel,284,F,"",1016AD,Amsterdam
Singel,284,G,"",1016AD,Amsterdam
Singel,286,A,"",1016AD,Amsterdam
Singel,286,B,"",1016AD,Amsterdam
Singel,286,C,"",1016AD,Amsterdam
Singel,286,D,"",1016AD,Amsterdam
Singel,286,E,"",1016AD,Amsterdam
Singel,292,"","",1016AD,Amsterdam
Singel,296,"",1,1016AD,Amsterdam
Singel,296,"",2,1016AD,Amsterdam
Singel,296,"",3,1016AD,Amsterdam
Singel,296,"",H,1016AD,Amsterdam
Singel,298,A,"",1016AD,Amsterdam
Singel,298,B,"",1016AD,Amsterdam
Singel,298,C,"",1016AD,Amsterdam
Singel,298,D,"",1016AD,Amsterdam
Singel,298,E,"",1016AD,Amsterdam
Singel,300,A,"",1016AD,Amsterdam
Singel,300,B,"",1016AD,Amsterdam
Singel,300,C,"",1016AD,Amsterdam
Singel,300,D,"",1016AD,Amsterdam
Singel,300,E,"",1016AD,Amsterdam
Singel,300,F,"",1016AD,Amsterdam
Singel,300,G,"",1016AD,Amsterdam
Singel,300,H,"",1016AD,Amsterdam
Singel,300,K,"",1016AD,Amsterdam
Singel,300,L,"",1016AD,Amsterdam
Singel,300,M,"",1016AD,Amsterdam
Singel,300,N,"",1016AD,Amsterdam
Singel,300,P,"",1016AD,Amsterdam
Singel,300,R,"",1016AD,Amsterdam
Singel,300,S,"",1016AD,Amsterdam
Singel,300,T,"",1016AD,Amsterdam
Singel,302,"","",1016AD,Amsterdam
Singel,304,A,"",1016AD,Amsterdam
Singel,304,B,"",1016AD,Amsterdam
Singel,304,C,"",1016AD,Amsterdam
Singel,306,A,"",1016AE,Amsterdam
Singel,306,B,"",1016AE,Amsterdam
Singel,306,C,"",1016AE,Amsterdam
Singel,306,D,"",1016AE,Amsterdam
Singel,308,A,"",1016AE,Amsterdam
Singel,308,B,"",1016AE,Amsterdam
Singel,308,C,"",1016AE,Amsterdam
Singel,308,D,"",1016AE,Amsterdam
Singel,308,E,"",1016AE,Amsterdam
Singel,308,F,"",1016AE,Amsterdam
Singel,308,G,"",1016AE,Amsterdam
