postcode,straat,huisnummer,huisletter,toevoeging
1016AT,Dubbeleworststeeg,1,,
1016AT,Dubbeleworststeeg,3,,
1016AT,Dubbeleworststeeg,5,,
1016AT,Dubbeleworststeeg,7,,
1016AT,Dubbeleworststeeg,9,,
1016AT,Dubbeleworststeeg,11,,
1016AT,Dubbeleworststeeg,13,,
1016AT,Dubbeleworststeeg,15,,
1016AT,Dubbeleworststeeg,17,,
1016AT,Dubbeleworststeeg,19,,
1016AT,Dubbeleworststeeg,21,,
1016AT,Dubbeleworststeeg,23,,
1016AT,Dubbeleworststeeg,25,,
1016BC,Herengracht,371,,
1016BC,Herengracht,377,,
1016BC,Herengracht,389,,
1016BC,Herengracht,395,,
1016CH,Herengracht,358,A,
1016CH,Herengracht,358,B,
1016CH,Herengracht,358,C,
1016CH,Herengracht,358,D,
1016CH,Herengracht,358,E,
1016CH,Herengracht,358,F,
1016CH,Herengracht,358,G,
1016CH,Herengracht,360,A,
1016CH,Herengracht,360,B,
1016CH,Herengracht,372,,
1016CH,Herengracht,374,,
1016CH,Herengracht,376,,
1016CJ,Herengracht,378,,
1016CJ,Herengracht,390,,
1016CJ,Herengracht,394,,H
1016CJ,Herengracht,394,,2
1016CJ,Herengracht,394,,3
1016ER,Huidenstraat,3,,
1016ER,Huidenstraat,7,,H
1016ER,Huidenstraat,7,,1
1016ER,Huidenstraat,9,,1
1016ER,Huidenstraat,9,,2
1016ER,Huidenstraat,9,,3
1016ER,Huidenstraat,11,,H
1016ER,Huidenstraat,13,,H
1016ER,Huidenstraat,13,,1
1016ER,Huidenstraat,13,,2
1016ER,Huidenstraat,13,,3
1016ER,Huidenstraat,13,,4
1016ER,Huidenstraat,15,,H
1016ER,Huidenstraat,15,,1
1016ER,Huidenstraat,17,,H
1016ER,Huidenstraat,17,,1
1016ER,Huidenstraat,17,,2
1016ER,Huidenstraat,17,,3
1016ER,Huidenstraat,19,,H
1016ER,Huidenstraat,19,,1
1016ER,Huidenstraat,21,,H
1016ER,Huidenstraat,21,,2
1016ER,Huidenstraat,25,,1
1016ER,Huidenstraat,25,,2
1016ER,Huidenstraat,25,,3
1016EJ,Keizersgracht,353,,
1016EJ,Keizersgracht,355,,
1016EJ,Keizersgracht,383,,
1016EK,Keizersgracht,399,,
1016EK,Keizersgracht,401,,
1016EK,Keizersgracht,405,,H
1016EK,Keizersgracht,405,,1
1016EK,Keizersgracht,405,,2
1016EK,Keizersgracht,405,,3
1016EL,Keizersgracht,409,,
1016EL,Keizersgracht,411,,
1016EL,Keizersgracht,413,A,
1016EL,Keizersgracht,413,B,
1016EL,Keizersgracht,413,C,
1016EL,Keizersgracht,413,D,
1016EL,Keizersgracht,413,E,
1016EL,Keizersgracht,413,F,
1016EL,Keizersgracht,417,,
1016EL,Keizersgracht,419,,
1016GC,Keizersgracht,404,,H
1016GC,Keizersgracht,404,,2
1016GC,Keizersgracht,408,,
1016GC,Keizersgracht,414,A,
1016GC,Keizersgracht,414,B,
1016GD,Keizersgracht,426,,
1016GD,Keizersgracht,436,A,
1016GD,Keizersgracht,436,B,
1016GD,Keizersgracht,436,C,
1016GD,Keizersgracht,436,D,
1016GD,Keizersgracht,436,E,
1016GD,Keizersgracht,440,,
1016GD,Keizersgracht,442,,
1016GD,Keizersgracht,452,,
1016GE,Keizersgracht,456,B,
1016GE,Keizersgracht,456,C,
1016GE,Keizersgracht,456,D,
1016GE,Keizersgracht,460,,H
1016GE,Keizersgracht,460,,O
1016GE,Keizersgracht,462,,
1016GD,Keizersgracht,432,A,
1016CK,Leidsegracht,2,,
1016CK,Leidsegracht,4,,
1016CK,Leidsegracht,8,,
1016CK,Leidsegracht,14,,
1016CK,Leidsegracht,16,A,
1016CK,Leidsegracht,16,B,
1016CK,Leidsegracht,16,C,
1016CK,Leidsegracht,16,D,
1016CK,Leidsegracht,16,F,
1016CK,Leidsegracht,16,E,
1016CL,Leidsegracht,18,,
1016CL,Leidsegracht,24,,
1016CL,Leidsegracht,26,,
1016CL,Leidsegracht,30,,H
1016CL,Leidsegracht,30,,2
1016CL,Leidsegracht,32,,
1016CM,Leidsegracht,34,,
1016CM,Leidsegracht,36,A,
1016CM,Leidsegracht,36,B,
1016CM,Leidsegracht,36,C,
1016CM,Leidsegracht,36,D,
1016CM,Leidsegracht,36,E,
1016CM,Leidsegracht,42,,H
1016CM,Leidsegracht,42,,O
1016CN,Leidsegracht,46,,H
1016CN,Leidsegracht,48,,
1016CN,Leidsegracht,50,,
1016CN,Leidsegracht,52,,
1016CN,Leidsegracht,54,,
1016CN,Leidsegracht,56,,
1016CP,Leidsegracht,58,,
1016CP,Leidsegracht,62,,
1016CP,Leidsegracht,64,,
1016CP,Leidsegracht,68,,H
1016CP,Leidsegracht,68,,1
1016CP,Leidsegracht,68,,2
1016GL,Molenpad,1,,
1016GL,Molenpad,9,,H
1016GL,Molenpad,9,,1
1016GL,Molenpad,9,,2
1016GL,Molenpad,9,A,1
1016GL,Molenpad,11,,1
1016GL,Molenpad,11,,2
1016GL,Molenpad,11,,3
1016GM,Molenpad,10,,
1016GM,Molenpad,12,,
1016GM,Molenpad,14,,1
1016GM,Molenpad,16,,1
1016GM,Molenpad,22,,
1016GM,Molenpad,24,,
1016GM,Molenpad,26,,
1016GM,Molenpad,28,,
1016HS,Prinsengracht,533,,H
1016HS,Prinsengracht,533,,1
1016HS,Prinsengracht,533,,2
1016HS,Prinsengracht,535,,
1016HS,Prinsengracht,537,,H
1016HS,Prinsengracht,537,,O
1016HS,Prinsengracht,537,,1
1016HS,Prinsengracht,537,,2
1016HS,Prinsengracht,537,,3
1016HS,Prinsengracht,543,,H
1016HS,Prinsengracht,543,,1
1016HS,Prinsengracht,543,,2
1016HS,Prinsengracht,543,,3
1016HS,Prinsengracht,557,,
1016HT,Prinsengracht,573,,H
1016HT,Prinsengracht,573,,1
1016HT,Prinsengracht,573,,2
1016HT,Prinsengracht,573,,3
1016HT,Prinsengracht,575,,
1016HT,Prinsengracht,577,,
1016HT,Prinsengracht,579,,H
1016HT,Prinsengracht,579,,1
1016HT,Prinsengracht,579,,2
1016HT,Prinsengracht,581,,
1016HT,Prinsengracht,583,,
1016HT,Prinsengracht,587,,
1016HT,Prinsengracht,615,,H
1016HV,Prinsengracht,619,,
1016HV,Prinsengracht,621,,
1016HV,Prinsengracht,625,,H
1016HV,Prinsengracht,625,,1
1016HV,Prinsengracht,625,,2
1016HV,Prinsengracht,627,,H
1016HV,Prinsengracht,627,,1
1016HV,Prinsengracht,627,,2
1016HV,Prinsengracht,629,,H
1016HV,Prinsengracht,629,,1
1016HV,Prinsengracht,629,,2
1016HV,Prinsengracht,645,,H
1016HV,Prinsengracht,645,,1
1016HV,Prinsengracht,645,,2
1016HV,Prinsengracht,645,,3
1016HV,Prinsengracht,647,A,
1016HV,Prinsengracht,647,B,
1016HV,Prinsengracht,647,C,
1016HV,Prinsengracht,647,D,
1016HV,Prinsengracht,649,A,
1016HV,Prinsengracht,649,B,
1016HV,Prinsengracht,649,C,
1016HV,Prinsengracht,649,D,
1016HV,Prinsengracht,651,A,
1016HV,Prinsengracht,651,B,
1016HV,Prinsengracht,651,C,
1016HV,Prinsengracht,651,D,
1016HV,Prinsengracht,653,,H
1016HV,Prinsengracht,653,,1
1016HV,Prinsengracht,653,,2
1016HV,Prinsengracht,653,,3
1016HV,Prinsengracht,663,,
1016HV,Prinsengracht,667,,H
1016HV,Prinsengracht,667,,O
1016GJ,Runstraat,1,,
1016GJ,Runstraat,3,,H
1016GJ,Runstraat,3,,2
1016GJ,Runstraat,7,,H
1016GJ,Runstraat,7,,1
1016GJ,Runstraat,7,,2
1016GJ,Runstraat,7,,3
1016GJ,Runstraat,9,,H
1016GJ,Runstraat,9,,1
1016GJ,Runstraat,11,,H
1016GJ,Runstraat,11,,H
1016GJ,Runstraat,11,,1
1016GJ,Runstraat,11,,1
1016GJ,Runstraat,11,,2
1016GJ,Runstraat,11,,2
1016GJ,Runstraat,15,A,
1016GJ,Runstraat,17,A,
1016GJ,Runstraat,17,B,
1016GJ,Runstraat,17,C,
1016GJ,Runstraat,17,D,
1016GJ,Runstraat,23,,H
1016GJ,Runstraat,23,,2
1016GJ,Runstraat,23,,3
1016GJ,Runstraat,25,,1
1016GJ,Runstraat,25,,2
1016GJ,Runstraat,27,,1
1016GJ,Runstraat,27,,2
1016GJ,Runstraat,31,,
1016GJ,Runstraat,33,,
1016AK,Singel,398,,
1016AK,Singel,402,,
1016AK,Singel,404,,H
1016AK,Singel,406,,
1016AK,Singel,408,,1
1016AK,Singel,408,,2
1016AK,Singel,410,,H
1016AK,Singel,412,,
1016AK,Singel,414,,H
1016AK,Singel,414,,1
1016AK,Singel,418,,
1016AK,Singel,420,,
1016AK,Singel,422,A,
1016AK,Singel,422,B,
1016AK,Singel,422,C,
1016AK,Singel,422,D,
1016AK,Singel,422,E,
1016AK,Singel,422,F,
1016AK,Singel,422,G,
1016AK,Singel,422,H,
1016AK,Singel,422,K,
1016AS,Wijde Heisteeg,2,,
1016AS,Wijde Heisteeg,2,B,
1016AS,Wijde Heisteeg,7,,1
1016AS,Wijde Heisteeg,7,,2
1016AS,Wijde Heisteeg,7,,3
1016CH,Herengracht,362,,1
1016CH,Herengracht,362,,1
