postcode,straat,huisnummer,huisletter,toevoeging
1012XM,Handboogstraat,2,,
1012XM,Handboogstraat,4,,
1012XM,Handboogstraat,5,,
1012XM,Handboogstraat,6,,
1012XM,Handboogstraat,11,,
1012XM,Handboogstraat,13,,
1012XM,Handboogstraat,15,,H
1012XM,Handboogstraat,15,,1
1012XM,Handboogstraat,29,,H
1012XM,Handboogstraat,29,,1
1012XM,Handboogstraat,29,,2
1012XM,Handboogstraat,29,,3
1012XN,Heiligeweg,5,,
1012XN,Heiligeweg,7,,
1012XN,Heiligeweg,9,,
1012XN,Heiligeweg,11,,
1012XN,Heiligeweg,17,,
1012XN,Heiligeweg,21,,
1012XN,Heiligeweg,35,,
1012XN,Heiligeweg,37,,
1012XP,Heiligeweg,39,,H
1012XP,Heiligeweg,39,,1
1012XP,Heiligeweg,39,C,
1012XP,Heiligeweg,43,,
1012XP,Heiligeweg,47,,
1012XP,Heiligeweg,49,,
1012XP,Heiligeweg,53,,
1012XR,Heiligeweg,4,,
1012XR,Heiligeweg,6,,
1012XR,Heiligeweg,8,,
1012XR,Heiligeweg,10,,
1012XR,Heiligeweg,12,,
1012XR,Heiligeweg,14,,
1012XR,Heiligeweg,18,,
1012XR,Heiligeweg,20,,H
1012XR,Heiligeweg,20,,1
1012XR,Heiligeweg,22,,
1012XR,Heiligeweg,24,,
1012XR,Heiligeweg,30,,H
1012XR,Heiligeweg,30,,1
1012XR,Heiligeweg,30,,2
1012XS,Heiligeweg,32,,
1012XS,Heiligeweg,38,,H
1012XS,Heiligeweg,38,,2
1012XS,Heiligeweg,40,,
1012XS,Heiligeweg,42,,H
1012XS,Heiligeweg,42,,1
1012XB,Kalverstraat,147,,H
1012XB,Kalverstraat,147,,2
1012XB,Kalverstraat,149,,
1012XB,Kalverstraat,151,,
1012XB,Kalverstraat,155,,
1012XB,Kalverstraat,157,,
1012XB,Kalverstraat,159,,
1012XB,Kalverstraat,161,,
1012XB,Kalverstraat,163,,
1012XB,Kalverstraat,165,,
1012XB,Kalverstraat,167,,
1012XB,Kalverstraat,171,,
1012XB,Kalverstraat,173,,
1012XC,Kalverstraat,195,,
1012XC,Kalverstraat,197,,
1012XC,Kalverstraat,199,,
1012XC,Kalverstraat,203,,
1012XC,Kalverstraat,223,,
1012XE,Kalverstraat,152,,
1012XE,Kalverstraat,154,,
1012XE,Kalverstraat,158,,
1012XE,Kalverstraat,160,,
1012XE,Kalverstraat,162,,
1012XE,Kalverstraat,166,,
1012XE,Kalverstraat,170,,
1012XE,Kalverstraat,172,,
1012XG,Kalverstraat,174,,
1012XG,Kalverstraat,178,,
1012XG,Kalverstraat,182,,
1012XG,Kalverstraat,184,,
1012XG,Kalverstraat,186,,
1012XH,Kalverstraat,190,,
1012XH,Kalverstraat,192,,
1012XH,Kalverstraat,194,,
1012XH,Kalverstraat,196,,
1012XH,Kalverstraat,198,,
1012XH,Kalverstraat,204,,
1012XH,Kalverstraat,206,,
1012XH,Kalverstraat,208,,
1012XJ,Kalverstraat,228,,
1012XJ,Kalverstraat,230,,
1012XJ,Kalverstraat,236,,
1012WR,Muntplein,2,,
1012WR,Muntplein,4,,
1012WR,Muntplein,6,,
1012WR,Muntplein,8,,
1012LB,Rokin,112,,
1012LB,Rokin,118,,
1012LC,Rokin,122,,H
1012LC,Rokin,122,,2
1012LC,Rokin,122,,3
1012LC,Rokin,122,,4
1012LC,Rokin,126,A,
1012LC,Rokin,126,C,
1012LC,Rokin,126,D,
1012LD,Rokin,130,,
1012LD,Rokin,136,,
1012LE,Rokin,146,,
1012LE,Rokin,152,,
1012LE,Rokin,154,,
1012LE,Rokin,156,,
1012LE,Rokin,164,,
1012LE,Rokin,166,,
1012LE,Rokin,168,,
1012LE,Rokin,174,,
