postcode,straat,huisnummer,huisletter,toevoeging
1012AM,Elleboogsteeg,2,,
1012AM,Elleboogsteeg,10,,
1012AM,Elleboogsteeg,12,,
1012BH,Geldersekade,12,A,
1012BH,Geldersekade,12,B,
1012BH,Geldersekade,12,C,
1012BH,Geldersekade,12,D,
1012BH,Geldersekade,16,,
1012BH,Geldersekade,18,,
1012BH,Geldersekade,18,A,
1012BH,Geldersekade,20,,
1012BJ,Geldersekade,34,,
1012BJ,Geldersekade,48,,
1012BJ,Geldersekade,50,A,
1012BJ,Geldersekade,52,,
1012BK,Geldersekade,60,,H
1012BK,Geldersekade,60,,1
1012BK,Geldersekade,60,,2
1012BK,Geldersekade,60,,3
1012BK,Geldersekade,62,,H
1012BK,Geldersekade,62,,1
1012BK,Geldersekade,62,,2
1012BK,Geldersekade,62,,3
1012BL,Geldersekade,78,,H
1012BL,Geldersekade,78,,2
1012BL,Geldersekade,80,,H
1012GR,Heintje Hoekssteeg,10,,H
1012GR,Heintje Hoekssteeg,12,,
1012GR,Heintje Hoekssteeg,17,,
1012GR,Heintje Hoekssteeg,18,,
1012GR,Heintje Hoekssteeg,19,,
1012GR,Heintje Hoekssteeg,20,,
1012GR,Heintje Hoekssteeg,21,,
1012GR,Heintje Hoekssteeg,22,,
1012GR,Heintje Hoekssteeg,33,,H
1012GR,Heintje Hoekssteeg,33,,1
1012GR,Heintje Hoekssteeg,24,,
1012GR,Heintje Hoekssteeg,26,,
1012EA,Korte Niezel,1,,H
1012EA,Korte Niezel,1,,1
1012EA,Korte Niezel,3,,
1012EA,Korte Niezel,4,,H
1012EA,Korte Niezel,4,,1
1012EA,Korte Niezel,6,,1
1012EA,Korte Niezel,6,,2
1012EA,Korte Niezel,6,,3
1012BB,Korte Stormsteeg,2,,
1012GS,Lange Niezel,3,,
1012GS,Lange Niezel,5,,H
1012GS,Lange Niezel,5,,1
1012GS,Lange Niezel,15,,H
1012GS,Lange Niezel,15,,1
1012GS,Lange Niezel,15,,2
1012GS,Lange Niezel,17,,H
1012GS,Lange Niezel,17,,1
1012GS,Lange Niezel,17,,2
1012GS,Lange Niezel,19,,2
1012GS,Lange Niezel,21,,H
1012GS,Lange Niezel,21,,1
1012GS,Lange Niezel,23,,H
1012GS,Lange Niezel,23,,1
1012GS,Lange Niezel,23,,2
1012GS,Lange Niezel,25,,H
1012GS,Lange Niezel,25,,1
1012GS,Lange Niezel,25,,2
1012GS,Lange Niezel,27,,1
1012GS,Lange Niezel,27,,2
1012GS,Lange Niezel,27,,3
1012GS,Lange Niezel,29,,H
1012GS,Lange Niezel,29,,1
1012AG,Nieuwebrugsteeg,11,,
1012AG,Nieuwebrugsteeg,15,,
1012AG,Nieuwebrugsteeg,21,,H
1012AG,Nieuwebrugsteeg,21,,2
1012AG,Nieuwebrugsteeg,25,,
1012AH,Nieuwebrugsteeg,6,,
1012AH,Nieuwebrugsteeg,10,,
1012AH,Nieuwebrugsteeg,12,,
1012AH,Nieuwebrugsteeg,16,,
1012AH,Nieuwebrugsteeg,18,,
1012AH,Nieuwebrugsteeg,20,,
1012AH,Nieuwebrugsteeg,24,,H
1012AH,Nieuwebrugsteeg,24,,1
1012AH,Nieuwebrugsteeg,26,,
1012AH,Nieuwebrugsteeg,28,,
1012DM,Oudezijds Achterburgwal,2,,
1012DM,Oudezijds Achterburgwal,10,A,
1012DM,Oudezijds Achterburgwal,10,B,
1012DM,Oudezijds Achterburgwal,10,C,
1012DM,Oudezijds Achterburgwal,10,D,
1012DM,Oudezijds Achterburgwal,12,A,
1012DM,Oudezijds Achterburgwal,12,B,
1012DM,Oudezijds Achterburgwal,12,C,
1012DM,Oudezijds Achterburgwal,12,D,
1012DM,Oudezijds Achterburgwal,12,E,
1012DM,Oudezijds Achterburgwal,12,F,
1012DM,Oudezijds Achterburgwal,14,,H
1012DM,Oudezijds Achterburgwal,16,,
1012DM,Oudezijds Achterburgwal,18,,1
1012DM,Oudezijds Achterburgwal,18,,2
1012DM,Oudezijds Achterburgwal,18,,3
1012DM,Oudezijds Achterburgwal,20,,
1012DM,Oudezijds Achterburgwal,22,,
1012DM,Oudezijds Achterburgwal,24,,
