straat,huisnummer,huisletter,toevoeging,postcode,plaats
Grimburgwal,1,"","",1012GA,Amsterdam
Grimburgwal,10,"","",1012GA,Amsterdam
Grimburgwal,11,"","",1012GA,Amsterdam
Grimburgwal,13,A,"",1012GA,Amsterdam
Grimburgwal,13,B,"",1012GA,Amsterdam
Grimburgwal,13,C,"",1012GA,Amsterdam
Grimburgwal,13,D,"",1012GA,Amsterdam
Grimburgwal,15,"",2,1012GA,Amsterdam
Grimburgwal,15,"",2,1012GA,Amsterdam
Grimburgwal,15,"",H,1012GA,Amsterdam
Grimburgwal,15,"",H,1012GA,Amsterdam
Grimburgwal,2,"",1,1012GA,Amsterdam
Grimburgwal,2,"",O,1012GA,Amsterdam
Grimburgwal,3,"","",1012GA,Amsterdam
Grimburgwal,4,"","",1012GA,Amsterdam
Grimburgwal,4,"","",1012GA,Amsterdam
Grimburgwal,4,Z,99,1012GA,Amsterdam
Grimburgwal,5,"","",1012GA,Amsterdam
Grimburgwal,6,"","",1012GA,Amsterdam
Grimburgwal,7,"",2,1012GA,Amsterdam
Grimburgwal,7,"",3,1012GA,Amsterdam
Grimburgwal,7,"",H,1012GA,Amsterdam
Grimburgwal,9,"","",1012GA,Amsterdam
Langebrugsteeg,1,"","",1012GB,Amsterdam
Langebrugsteeg,11,"","",1012GB,Amsterdam
Langebrugsteeg,13,"",1,1012GB,Amsterdam
Langebrugsteeg,13,"",2,1012GB,Amsterdam
Langebrugsteeg,13,"",3,1012GB,Amsterdam
Langebrugsteeg,13,"",H,1012GB,Amsterdam
Langebrugsteeg,13,"",H,1012GB,Amsterdam
Langebrugsteeg,13,"",Z,1012GB,Amsterdam
Langebrugsteeg,2,"","",1012GB,Amsterdam
Langebrugsteeg,2,"","",1012GB,Amsterdam
Langebrugsteeg,2,B,"",1012GB,Amsterdam
Langebrugsteeg,2,C,"",1012GB,Amsterdam
Langebrugsteeg,3,"","",1012GB,Amsterdam
Langebrugsteeg,4,"","",1012GB,Amsterdam
Langebrugsteeg,5,"","",1012GB,Amsterdam
Langebrugsteeg,6,"","",1012GB,Amsterdam
Langebrugsteeg,7,"","",1012GB,Amsterdam
Langebrugsteeg,7,A,"",1012GB,Amsterdam
Langebrugsteeg,8,"",2,1012GB,Amsterdam
Langebrugsteeg,8,"",H,1012GB,Amsterdam
Langebrugsteeg,9,A,"",1012GB,Amsterdam
Langebrugsteeg,9,B,"",1012GB,Amsterdam
Oude Turfmarkt,122,"","",1012GC,Amsterdam
Oude Turfmarkt,124,"","",1012GC,Amsterdam
Oude Turfmarkt,125,"","",1012GC,Amsterdam
Oude Turfmarkt,127,"","",1012GC,Amsterdam
Oude Turfmarkt,129,"","",1012GC,Amsterdam
Oude Turfmarkt,139,"","",1012GC,Amsterdam
Oude Turfmarkt,141,"","",1012GC,Amsterdam
Oude Turfmarkt,143,"",1,1012GC,Amsterdam
Oude Turfmarkt,143,"",H,1012GC,Amsterdam
Oude Turfmarkt,145,"","",1012GC,Amsterdam
Oude Turfmarkt,147,"","",1012GC,Amsterdam
Oude Turfmarkt,149,"","",1012GC,Amsterdam
Oude Turfmarkt,151,"","",1012GC,Amsterdam
Oude Turfmarkt,153,"","",1012GC,Amsterdam
Oudezijds Voorburgwal,236,"","",1012GK,Amsterdam
Oudezijds Voorburgwal,240,"","",1012GK,Amsterdam
Oudezijds Voorburgwal,242,A,"",1012GK,Amsterdam
Oudezijds Voorburgwal,242,B,"",1012GK,Amsterdam
Oudezijds Voorburgwal,244,A,"",1012GK,Amsterdam
Oudezijds Voorburgwal,244,B,"",1012GK,Amsterdam
Oudezijds Voorburgwal,246,"",1,1012GK,Amsterdam
Oudezijds Voorburgwal,246,"",2,1012GK,Amsterdam
Oudezijds Voorburgwal,246,"",3,1012GK,Amsterdam
Oudezijds Voorburgwal,246,"",H,1012GK,Amsterdam
Oudezijds Voorburgwal,248,"",1,1012GK,Amsterdam
Oudezijds Voorburgwal,248,"",1,1012GK,Amsterdam
Oudezijds Voorburgwal,248,"",1,1012GK,Amsterdam
Oudezijds Voorburgwal,248,"",2,1012GK,Amsterdam
Oudezijds Voorburgwal,248,"",2,1012GK,Amsterdam
Oudezijds Voorburgwal,248,"",3,1012GK,Amsterdam
Oudezijds Voorburgwal,248,"",H,1012GK,Amsterdam
Oudezijds Voorburgwal,250,"",1,1012GK,Amsterdam
Oudezijds Voorburgwal,250,"",2,1012GK,Amsterdam
Oudezijds Voorburgwal,250,"",H,1012GK,Amsterdam
Oudezijds Voorburgwal,252,"",1A,1012GK,Amsterdam
Oudezijds Voorburgwal,252,"",2,1012GK,Amsterdam
Oudezijds Voorburgwal,252,"",2A,1012GK,Amsterdam
Oudezijds Voorburgwal,252,"",2V,1012GK,Amsterdam
Oudezijds Voorburgwal,252,"",3,1012GK,Amsterdam
Oudezijds Voorburgwal,252,"",H,1012GK,Amsterdam
Oudezijds Voorburgwal,254,"",1A,1012GK,Amsterdam
Oudezijds Voorburgwal,254,"",1V,1012GK,Amsterdam
Oudezijds Voorburgwal,254,"",2A,1012GK,Amsterdam
Oudezijds Voorburgwal,254,"",2V,1012GK,Amsterdam
Oudezijds Voorburgwal,254,"",H,1012GK,Amsterdam
Oudezijds Voorburgwal,256,"",1,1012GK,Amsterdam
Oudezijds Voorburgwal,256,"",H,1012GK,Amsterdam
Oudezijds Voorburgwal,258,"","",1012GK,Amsterdam
Oudezijds Voorburgwal,260,"","",1012GK,Amsterdam
Oudezijds Voorburgwal,264,"","",1012GK,Amsterdam
Sint Pietershalsteeg,10,"","",1012GL,Amsterdam
Sint Pietershalsteeg,12,"","",1012GL,Amsterdam
Sint Pietershalsteeg,14,"","",1012GL,Amsterdam
Sint Pietershalsteeg,16,"","",1012GL,Amsterdam
Sint Pietershalsteeg,2,"","",1012GL,Amsterdam
Oudezijds Voorburgwal,266,A,"",1012GL,Amsterdam
Oudezijds Voorburgwal,266,B,"",1012GL,Amsterdam
Oudezijds Voorburgwal,266,C,"",1012GL,Amsterdam
Oudezijds Voorburgwal,266,D,"",1012GL,Amsterdam
Oudezijds Voorburgwal,266,E,"",1012GL,Amsterdam
Oudezijds Voorburgwal,266,F,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,A,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,B,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,C,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,D,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,E,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,F,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,G,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,H,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,K,"",1012GL,Amsterdam
Oudezijds Voorburgwal,268,L,"",1012GL,Amsterdam
Oudezijds Voorburgwal,270,"",1,1012GL,Amsterdam
Oudezijds Voorburgwal,270,"",2,1012GL,Amsterdam
Oudezijds Voorburgwal,270,"",3,1012GL,Amsterdam
Oudezijds Voorburgwal,270,"",H,1012GL,Amsterdam
Oudezijds Voorburgwal,272,"","",1012GL,Amsterdam
Oudezijds Voorburgwal,272,"","",1012GL,Amsterdam
Oudezijds Voorburgwal,272,"","",1012GL,Amsterdam
