straat,huisnummer,huisletter,toevoeging,postcode,plaats
Prins Hendrikkade,96,"","",1011AG,Amsterdam
Prins Hendrikkade,97,"","",1011AG,Amsterdam
Prins Hendrikkade,98,A,"",1011AG,Amsterdam
Prins Hendrikkade,98,B,"",1011AG,Amsterdam
Prins Hendrikkade,99,"","",1011AG,Amsterdam
Prins Hendrikkade,99,B,1,1011AG,Amsterdam
Prins Hendrikkade,99,B,2,1011AG,Amsterdam
Prins Hendrikkade,99,B,3,1011AG,Amsterdam
Prins Hendrikkade,100,"",1L,1011AH,Amsterdam
Prins Hendrikkade,100,"",1R,1011AH,Amsterdam
Prins Hendrikkade,100,"",2L,1011AH,Amsterdam
Prins Hendrikkade,100,"",2R,1011AH,Amsterdam
Prins Hendrikkade,100,"",3L,1011AH,Amsterdam
Prins Hendrikkade,100,"",3R,1011AH,Amsterdam
Prins Hendrikkade,100,"",3R,1011AH,Amsterdam
Prins Hendrikkade,100,"",H,1011AH,Amsterdam
Prins Hendrikkade,101,A,"",1011AH,Amsterdam
Prins Hendrikkade,101,B,"",1011AH,Amsterdam
Prins Hendrikkade,101,C,"",1011AH,Amsterdam
Prins Hendrikkade,102,"",1,1011AH,Amsterdam
Prins Hendrikkade,102,"",2,1011AH,Amsterdam
Prins Hendrikkade,102,"",3,1011AH,Amsterdam
Prins Hendrikkade,102,"",4,1011AH,Amsterdam
Prins Hendrikkade,102,"",H,1011AH,Amsterdam
Prins Hendrikkade,103,"",1,1011AH,Amsterdam
Prins Hendrikkade,103,"",2,1011AH,Amsterdam
Prins Hendrikkade,103,"",3,1011AH,Amsterdam
Prins Hendrikkade,103,"",H,1011AH,Amsterdam
Prins Hendrikkade,104,A,"",1011AJ,Amsterdam
Prins Hendrikkade,104,B,"",1011AJ,Amsterdam
Prins Hendrikkade,104,C,"",1011AJ,Amsterdam
Prins Hendrikkade,104,D,"",1011AJ,Amsterdam
Prins Hendrikkade,105,"",1,1011AJ,Amsterdam
Prins Hendrikkade,105,"",2,1011AJ,Amsterdam
Prins Hendrikkade,105,"",H,1011AJ,Amsterdam
Prins Hendrikkade,106,A,"",1011AJ,Amsterdam
Prins Hendrikkade,106,B,"",1011AJ,Amsterdam
Prins Hendrikkade,106,C,"",1011AJ,Amsterdam
Prins Hendrikkade,106,D,"",1011AJ,Amsterdam
Prins Hendrikkade,107,"",1,1011AJ,Amsterdam
Prins Hendrikkade,107,"",2,1011AJ,Amsterdam
Prins Hendrikkade,107,"",3,1011AJ,Amsterdam
Prins Hendrikkade,107,"",H,1011AJ,Amsterdam
Kromme Waal,10,A,"",1011BS,Amsterdam
Kromme Waal,10,B,"",1011BS,Amsterdam
Kromme Waal,11,A,"",1011BS,Amsterdam
Kromme Waal,11,B,"",1011BS,Amsterdam
Kromme Waal,11,C,"",1011BS,Amsterdam
Kromme Waal,11,C,"",1011BS,Amsterdam
Kromme Waal,11,D,"",1011BS,Amsterdam
Kromme Waal,12,"",1,1011BS,Amsterdam
Kromme Waal,12,"",H,1011BS,Amsterdam
Kromme Waal,12,A,"",1011BS,Amsterdam
Kromme Waal,12,B,"",1011BS,Amsterdam
