straat,huisnummer,huisletter,toevoeging,postcode,plaats
Amstel,310,A,"",1017AP,Amsterdam
Amstel,310,B,"",1017AP,Amsterdam
Amstel,310,G,"",1017AP,Amsterdam
Amstel,310,G,"",1017AP,Amsterdam
Amstel,310,K,"",1017AP,Amsterdam
Amstel,312,"",1,1017AP,Amsterdam
Amstel,312,"",2,1017AP,Amsterdam
Amstel,312,"",3,1017AP,Amsterdam
Amstel,312,"",H,1017AP,Amsterdam
Amstel,312,"",O,1017AP,Amsterdam
Amstel,312,A,1,1017AP,Amsterdam
Amstel,312,A,2,1017AP,Amsterdam
Amstel,312,A,3,1017AP,Amsterdam
Amstel,312,A,H,1017AP,Amsterdam
Amstel,312,A,O,1017AP,Amsterdam
Amstel,314,"","",1017AP,Amsterdam
Amstel,316,"","",1017AP,Amsterdam
Amstel,318,"","",1017AP,Amsterdam
Amstel,320,"",1,1017AP,Amsterdam
Amstel,320,"",2,1017AP,Amsterdam
Amstel,320,"",3,1017AP,Amsterdam
Amstel,320,"",4,1017AP,Amsterdam
Amstel,320,"",H,1017AP,Amsterdam
Amstel,320,"",O,1017AP,Amsterdam
Amstel,320,K,"",1017AP,Amsterdam
Amstel,320,L,"",1017AP,Amsterdam
Amstel,322,"","",1017AR,Amsterdam
Amstel,324,"","",1017AR,Amsterdam
Amstel,326,"",1,1017AR,Amsterdam
Amstel,326,"",2,1017AR,Amsterdam
Amstel,326,"",3,1017AR,Amsterdam
Amstel,326,"",H,1017AR,Amsterdam
Amstel,326,"",O,1017AR,Amsterdam
Amstel,328,"",1,1017AR,Amsterdam
Amstel,328,"",H,1017AR,Amsterdam
Amstel,328,F,"",1017AR,Amsterdam
Amstel,330,"",2,1017AR,Amsterdam
Amstel,330,"",H,1017AR,Amsterdam
Amstel,332,"","",1017AR,Amsterdam
Amstel,334,"","",1017AS,Amsterdam
Amstel,336,"","",1017AS,Amsterdam
Amstel,336,"","",1017AS,Amsterdam
Amstel,336,A,"",1017AS,Amsterdam
Amstel,338,"",H,1017AS,Amsterdam
Amstel,338,"",O,1017AS,Amsterdam
Amstel,338,A,"",1017AS,Amsterdam
Amstel,338,B,"",1017AS,Amsterdam
Amstel,338,C,"",1017AS,Amsterdam
Amstel,338,D,"",1017AS,Amsterdam
Amstel,338,E,"",1017AS,Amsterdam
Amstel,340,"",1,1017AS,Amsterdam
Amstel,340,"",2,1017AS,Amsterdam
Amstel,340,"",3,1017AS,Amsterdam
Amstel,340,"",H,1017AS,Amsterdam
Amstel,340,G,"",1017AS,Amsterdam
Amstel,342,"",1,1017AS,Amsterdam
Amstel,342,"",2,1017AS,Amsterdam
Amstel,342,"",3,1017AS,Amsterdam
Amstel,342,"",H,1017AS,Amsterdam
Amstel,342,G,"",1017AS,Amsterdam
Amstel,342,K,"",1017AS,Amsterdam
Amstel,344,"","",1017AS,Amsterdam
Amstel,350,"","",1017AS,Amsterdam
Amstel,350,"","",1017AS,Amsterdam
Amstel,352,"","",1017AS,Amsterdam
Amstel,352,"","",1017AS,Amsterdam
Amstel,354,"","",1017AS,Amsterdam
Amstel,356,"","",1017AS,Amsterdam
Reguliersgracht,101,"","",1017LP,Amsterdam
Reguliersgracht,103,"","",1017LP,Amsterdam
Reguliersgracht,103,A,"",1017LP,Amsterdam
Reguliersgracht,103,B,"",1017LP,Amsterdam
Reguliersgracht,103,C,"",1017LP,Amsterdam
Reguliersgracht,103,D,"",1017LP,Amsterdam
Reguliersgracht,105,"","",1017LP,Amsterdam
Reguliersgracht,105,A,"",1017LP,Amsterdam
Reguliersgracht,105,A,"",1017LP,Amsterdam
Reguliersgracht,107,A,"",1017LP,Amsterdam
Reguliersgracht,107,B,"",1017LP,Amsterdam
Reguliersgracht,107,C,"",1017LP,Amsterdam
Reguliersgracht,107,D,"",1017LP,Amsterdam
Reguliersgracht,107,E,"",1017LP,Amsterdam
Reguliersgracht,107,F,"",1017LP,Amsterdam
Reguliersgracht,107,G,"",1017LP,Amsterdam
Reguliersgracht,107,H,"",1017LP,Amsterdam
Reguliersgracht,107,K,"",1017LP,Amsterdam
Reguliersgracht,107,L,"",1017LP,Amsterdam
Reguliersgracht,107,M,"",1017LP,Amsterdam
Reguliersgracht,109,A,"",1017LP,Amsterdam
Reguliersgracht,109,B,"",1017LP,Amsterdam
Reguliersgracht,109,C,"",1017LP,Amsterdam
Reguliersgracht,111,"","",1017LP,Amsterdam
Reguliersgracht,113,"","",1017LP,Amsterdam
Reguliersgracht,115,"","",1017LP,Amsterdam
Reguliersgracht,97,"","",1017LP,Amsterdam
Reguliersgracht,99,"","",1017LP,Amsterdam
Falckstraat,10,"",1,1017VW,Amsterdam
Falckstraat,10,"",H,1017VW,Amsterdam
Falckstraat,12,"","",1017VW,Amsterdam
Falckstraat,14,"","",1017VW,Amsterdam
Falckstraat,2,A,"",1017VW,Amsterdam
Falckstraat,2,B,"",1017VW,Amsterdam
Falckstraat,4,A,"",1017VW,Amsterdam
Falckstraat,4,B,"",1017VW,Amsterdam
Falckstraat,4,C,"",1017VW,Amsterdam
Falckstraat,4,D,"",1017VW,Amsterdam
Falckstraat,4,D,"",1017VW,Amsterdam
Falckstraat,4,E,"",1017VW,Amsterdam
Falckstraat,6,A,"",1017VW,Amsterdam
Falckstraat,6,B,"",1017VW,Amsterdam
Falckstraat,6,C,"",1017VW,Amsterdam
Falckstraat,6,D,"",1017VW,Amsterdam
Falckstraat,6,E,"",1017VW,Amsterdam
Falckstraat,6,F,"",1017VW,Amsterdam
Falckstraat,6,G,"",1017VW,Amsterdam
Falckstraat,6,H,"",1017VW,Amsterdam
Falckstraat,6,K,"",1017VW,Amsterdam
Falckstraat,6,L,"",1017VW,Amsterdam
Falckstraat,6,M,"",1017VW,Amsterdam
Falckstraat,6,N,"",1017VW,Amsterdam
Falckstraat,6,P,"",1017VW,Amsterdam
Falckstraat,6,R,"",1017VW,Amsterdam
Falckstraat,6,S,"",1017VW,Amsterdam
Falckstraat,8,"",1,1017VW,Amsterdam
Falckstraat,8,"",2,1017VW,Amsterdam
Falckstraat,8,"",3,1017VW,Amsterdam
Falckstraat,8,"",H,1017VW,Amsterdam
Maarten Jansz. Kosterstraat,1,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,10,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,11,A,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,11,B,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,12,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,13,"",1,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,13,"",1,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,13,"",2,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,13,"",H,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,13,"",H,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,13,"",O,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,14,"",1,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,14,"",H,1017VX,Amsterdam
Maarten Jansz. Kosterstraat,2,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,3,A,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,3,B,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,4,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,4,A,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,4,B,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,4,C,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,4,D,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,5,A,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,5,A,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,5,B,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,5,C,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,7,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,7,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,7,A,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,7,C,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,8,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,8,A,"",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,9,"","",1017VX,Amsterdam
Maarten Jansz. Kosterstraat,15,"",1,1017VZ,Amsterdam
Maarten Jansz. Kosterstraat,15,"",H,1017VZ,Amsterdam
Maarten Jansz. Kosterstraat,16,"",2,1017VZ,Amsterdam
Maarten Jansz. Kosterstraat,16,"",H,1017VZ,Amsterdam
Maarten Jansz. Kosterstraat,17,"","",1017VZ,Amsterdam
Maarten Jansz. Kosterstraat,18,"","",1017VZ,Amsterdam
