postcode,straat,huisnummer,huisletter,toevoeging
1018EP,Amstel,141,A,
1018EP,Amstel,141,B,
1018EP,Amstel,141,C,
1018EP,Amstel,141,D,
1018EP,Amstel,141,E,
1018EP,Amstel,141,F,
1018EP,Amstel,149,,2
1018EP,Amstel,149,,3
1018ER,Amstel,151,,H
1018ER,Amstel,151,,1
1018ER,Amstel,151,,2
1018ER,Amstel,151,,3
1018ER,Amstel,153,,H
1018ER,Amstel,153,,1
1018ER,Amstel,153,,2
1018ER,Amstel,153,,3
1018ER,Amstel,157,,H
1018ER,Amstel,157,,1
1018ER,Amstel,157,,3
1018ER,Amstel,159,,H
1018ER,Amstel,159,,2
1018ER,Amstel,159,,3
1018ES,Amstel,161,,1
1018ES,Amstel,161,,2
1018ES,Amstel,161,,3
1018ES,Amstel,161,,4
1018ES,Amstel,163,,H
1018ES,Amstel,163,,1
1018ES,Amstel,163,,3
1018ES,Amstel,163,,4
1018ES,Amstel,165,,H
1018ES,Amstel,165,,2
1018ES,Amstel,167,,H
1018ES,Amstel,167,,1
1018ES,Amstel,167,,2
1018ES,Amstel,167,,3
1018ES,Amstel,169,,H
1018ES,Amstel,169,,1
1018ES,Amstel,169,,2
1018ES,Amstel,169,,3
1018ES,Amstel,173,,H
1018ES,Amstel,173,,1
1018ES,Amstel,173,,2
1018ES,Amstel,173,,3
1018ES,Amstel,175,,H
1018ES,Amstel,175,,1
1018ES,Amstel,175,,2
1018ES,Amstel,179,,
1018HB,Huddestraat,3,,
1018HB,Huddestraat,5,,
1018HB,Huddestraat,7,,
1018XS,Korte Amstelstraat,2,,
1018XS,Korte Amstelstraat,4,,
1018XS,Korte Amstelstraat,12,C,
1018XS,Korte Amstelstraat,12,D,
1018XS,Korte Amstelstraat,12,E,
1018XS,Korte Amstelstraat,12,F,
1018XS,Korte Amstelstraat,12,A,H
1018XS,Korte Amstelstraat,12,A,1
1018XS,Korte Amstelstraat,12,A,2
1018XS,Korte Amstelstraat,12,A,3
1018XS,Korte Amstelstraat,12,B,H
1018XS,Korte Amstelstraat,12,B,1
1018XS,Korte Amstelstraat,12,B,2
1018XS,Korte Amstelstraat,12,B,3
1018HK,Korte 's-Gravesandestraat,1,,
1018HK,Korte 's-Gravesandestraat,4,,
1018HK,Korte 's-Gravesandestraat,6,,
1018HK,Korte 's-Gravesandestraat,8,,
1018HK,Korte 's-Gravesandestraat,10,,
1018HK,Korte 's-Gravesandestraat,12,,
1018HK,Korte 's-Gravesandestraat,14,,
1018HK,Korte 's-Gravesandestraat,16,,
1018WT,Nieuwe Achtergracht,100,,
1018WT,Nieuwe Achtergracht,106,,H
1018WT,Nieuwe Achtergracht,106,,1
1018WT,Nieuwe Achtergracht,106,,2
1018WT,Nieuwe Achtergracht,106,,3
1018WT,Nieuwe Achtergracht,108,,H
1018WT,Nieuwe Achtergracht,108,,1
1018WT,Nieuwe Achtergracht,108,,2
1018WT,Nieuwe Achtergracht,108,,3
1018WT,Nieuwe Achtergracht,112,E,
1018WT,Nieuwe Achtergracht,112,F,
1018WT,Nieuwe Achtergracht,112,G,
1018WT,Nieuwe Achtergracht,132,,H
1018WT,Nieuwe Achtergracht,132,,1
1018WT,Nieuwe Achtergracht,132,,2
1018WT,Nieuwe Achtergracht,132,,3
1018WV,Nieuwe Achtergracht,146,,H
1018WV,Nieuwe Achtergracht,168,,
1018WV,Nieuwe Achtergracht,170,,
1018XX,Nieuwe Achtergracht,10,,H
1018XX,Nieuwe Achtergracht,10,,1
1018XX,Nieuwe Achtergracht,10,,2
1018XX,Nieuwe Achtergracht,10,,3
1018XX,Nieuwe Achtergracht,12,,H
1018XX,Nieuwe Achtergracht,12,,1
1018XX,Nieuwe Achtergracht,12,,2
1018XX,Nieuwe Achtergracht,12,,3
1018XX,Nieuwe Achtergracht,14,,H
1018XX,Nieuwe Achtergracht,14,,1
1018XX,Nieuwe Achtergracht,14,,2
1018XX,Nieuwe Achtergracht,14,,3
1018XX,Nieuwe Achtergracht,18,,H
1018XX,Nieuwe Achtergracht,18,,1
1018XX,Nieuwe Achtergracht,18,,2
1018XX,Nieuwe Achtergracht,18,,3
1018XX,Nieuwe Achtergracht,20,,H
1018XX,Nieuwe Achtergracht,20,,1
1018XX,Nieuwe Achtergracht,20,,2
1018XX,Nieuwe Achtergracht,20,,3
1018XZ,Nieuwe Achtergracht,36,,
1018XZ,Nieuwe Achtergracht,38,,
1018XZ,Nieuwe Achtergracht,40,,
1018XZ,Nieuwe Achtergracht,42,,
1018XZ,Nieuwe Achtergracht,44,,
1018XZ,Nieuwe Achtergracht,46,,
1018XZ,Nieuwe Achtergracht,48,,
1018XZ,Nieuwe Achtergracht,50,,
1018XZ,Nieuwe Achtergracht,52,,
1018XZ,Nieuwe Achtergracht,54,,
1018XZ,Nieuwe Achtergracht,56,,
1018XZ,Nieuwe Achtergracht,58,,
1018XZ,Nieuwe Achtergracht,60,,
1018XZ,Nieuwe Achtergracht,62,A,
1018XZ,Nieuwe Achtergracht,62,B,
1018XZ,Nieuwe Achtergracht,62,C,
1018XZ,Nieuwe Achtergracht,62,D,
1018XZ,Nieuwe Achtergracht,64,,
1018XZ,Nieuwe Achtergracht,66,,
1018XZ,Nieuwe Achtergracht,68,,
1018XZ,Nieuwe Achtergracht,70,,
1018XZ,Nieuwe Achtergracht,72,,
1018XZ,Nieuwe Achtergracht,74,,
