straat,huisnummer,huisletter,toevoeging,postcode,plaats
Sarphatistraat,500,"","",1018AV,Amsterdam
Sarphatistraat,510,"","",1018AV,Amsterdam
Sarphatistraat,512,"","",1018AV,Amsterdam
Sarphatistraat,514,"","",1018AV,Amsterdam
Sarphatistraat,516,"","",1018AV,Amsterdam
Sarphatistraat,518,"","",1018AV,Amsterdam
Sarphatistraat,520,"","",1018AV,Amsterdam
Sarphatistraat,522,"","",1018AV,Amsterdam
Sarphatistraat,524,"","",1018AV,Amsterdam
Sarphatistraat,526,"","",1018AV,Amsterdam
Sarphatistraat,528,"","",1018AV,Amsterdam
Sarphatistraat,530,"","",1018AV,Amsterdam
Sarphatistraat,530,"","",1018AV,Amsterdam
Sarphatistraat,530,"","",1018AV,Amsterdam
Sarphatistraat,532,"","",1018AV,Amsterdam
Sarphatistraat,534,"","",1018AV,Amsterdam
Sarphatistraat,536,"","",1018AV,Amsterdam
Sarphatistraat,538,"","",1018AV,Amsterdam
Sarphatistraat,540,"","",1018AV,Amsterdam
Sarphatistraat,542,"","",1018AV,Amsterdam
Sarphatistraat,544,"","",1018AV,Amsterdam
Sarphatistraat,546,"","",1018AV,Amsterdam
Sarphatistraat,548,"","",1018AV,Amsterdam
Sarphatistraat,550,"","",1018AV,Amsterdam
Sarphatistraat,552,"","",1018AV,Amsterdam
Sarphatistraat,554,"","",1018AV,Amsterdam
Sarphatistraat,556,"","",1018AV,Amsterdam
Sarphatistraat,558,"","",1018AV,Amsterdam
Sarphatistraat,560,"","",1018AV,Amsterdam
Sarphatistraat,562,"","",1018AV,Amsterdam
Sarphatistraat,564,"","",1018AV,Amsterdam
Sarphatistraat,566,"","",1018AV,Amsterdam
Sarphatistraat,568,"","",1018AV,Amsterdam
Sarphatistraat,570,"","",1018AV,Amsterdam
Sarphatistraat,572,"","",1018AV,Amsterdam
Sarphatistraat,572,A,"",1018AV,Amsterdam
Sarphatistraat,574,"","",1018AV,Amsterdam
Sarphatistraat,576,"","",1018AV,Amsterdam
Sarphatistraat,578,"","",1018AV,Amsterdam
Sarphatistraat,580,"","",1018AV,Amsterdam
Sarphatistraat,582,"","",1018AV,Amsterdam
Sarphatistraat,586,"","",1018AV,Amsterdam
Sarphatistraat,588,"","",1018AV,Amsterdam
Sarphatistraat,590,A,"",1018AV,Amsterdam
Sarphatistraat,590,B,"",1018AV,Amsterdam
Sarphatistraat,592,"","",1018AV,Amsterdam
Sarphatistraat,594,"","",1018AV,Amsterdam
Sarphatistraat,600,"","",1018AV,Amsterdam
Sarphatistraat,602,"","",1018AV,Amsterdam
Sarphatistraat,604,"","",1018AV,Amsterdam
Sarphatistraat,606,"","",1018AV,Amsterdam
Sarphatistraat,608,"","",1018AV,Amsterdam
Sarphatistraat,610,"","",1018AV,Amsterdam
Sarphatistraat,612,"","",1018AV,Amsterdam
Sarphatistraat,614,"","",1018AV,Amsterdam
Sarphatistraat,614,"","",1018AV,Amsterdam
Sarphatistraat,616,"","",1018AV,Amsterdam
Sarphatistraat,618,"","",1018AV,Amsterdam
Sarphatistraat,620,"","",1018AV,Amsterdam
Sarphatistraat,622,"","",1018AV,Amsterdam
Sarphatistraat,624,"","",1018AV,Amsterdam
Sarphatistraat,626,"","",1018AV,Amsterdam
Sarphatistraat,628,"","",1018AV,Amsterdam
Sarphatistraat,630,"","",1018AV,Amsterdam
Sarphatistraat,632,"","",1018AV,Amsterdam
Sarphatistraat,634,"","",1018AV,Amsterdam
Sarphatistraat,636,"","",1018AV,Amsterdam
Sarphatistraat,638,"","",1018AV,Amsterdam
Sarphatistraat,640,"","",1018AV,Amsterdam
Sarphatistraat,642,"","",1018AV,Amsterdam
Sarphatistraat,644,"","",1018AV,Amsterdam
