postcode,straat,huisnummer,huisletter,toevoeging
1018KN,Kattenburgergracht,1,,H
1018KN,Kattenburgergracht,1,,2
1018KN,Kattenburgergracht,3,A,
1018KN,Kattenburgergracht,3,B,
1018KN,Kattenburgergracht,3,C,
1018KN,Kattenburgergracht,3,D,
1018KN,Kattenburgergracht,5,A,
1018KN,Kattenburgergracht,5,B,
1018KN,Kattenburgergracht,5,C,
1018KN,Kattenburgergracht,5,D,
1018KN,Kattenburgergracht,7,A,
1018KN,Kattenburgergracht,7,B,
1018KN,Kattenburgergracht,7,C,
1018KN,Kattenburgergracht,9,A,
1018KN,Kattenburgergracht,9,B,
1018KN,Kattenburgergracht,9,C,
1018KN,Kattenburgergracht,9,D,
1018KN,Kattenburgergracht,9,E,
1018KN,Kattenburgergracht,9,F,
1018KN,Kattenburgergracht,9,G,
1018KN,Kattenburgergracht,9,H,
1018KN,Kattenburgergracht,11,A,
1018KN,Kattenburgergracht,11,B,
1018KN,Kattenburgergracht,11,C,
1018KN,Kattenburgergracht,11,D,
1018KN,Kattenburgergracht,13,A,
1018KN,Kattenburgergracht,13,B,
1018KN,Kattenburgergracht,13,C,
1018KN,Kattenburgergracht,15,A,
1018KN,Kattenburgergracht,15,B,
1018KN,Kattenburgergracht,15,C,
1018KN,Kattenburgergracht,17,A,
1018KN,Kattenburgergracht,17,B,
1018KN,Kattenburgergracht,17,C,
1018KN,Kattenburgergracht,17,D,
1018KN,Kattenburgergracht,17,E,
1018KN,Kattenburgergracht,17,F,
1018KN,Kattenburgergracht,17,G,
1018KN,Kattenburgergracht,17,H,
1018KN,Kattenburgergracht,17,K,
1018KN,Kattenburgergracht,17,L,
1018KK,Kattenburgerplein,1,,
1018KK,Kattenburgerplein,39,,
1018KK,Kattenburgerplein,40,A,
1018KK,Kattenburgerplein,40,B,
1018KK,Kattenburgerplein,40,C,
1018KK,Kattenburgerplein,40,D,
1018KK,Kattenburgerplein,41,A,
1018KK,Kattenburgerplein,41,B,
1018KK,Kattenburgerplein,41,C,
1018KM,Kattenburgerplein,84,,
1018KM,Kattenburgerplein,89,,
1018JB,Kattenburgerstraat,12,,
1018JB,Kattenburgerstraat,16,,
1018JB,Kattenburgerstraat,20,,
1018JB,Kattenburgerstraat,24,,
1018JB,Kattenburgerstraat,28,,
1018JB,Kattenburgerstraat,32,,
1018JC,Kattenburgerstraat,34,,
1018JC,Kattenburgerstraat,36,,
1018JC,Kattenburgerstraat,38,,
1018JC,Kattenburgerstraat,40,,
1018JC,Kattenburgerstraat,42,,
1018JC,Kattenburgerstraat,44,,
1018JC,Kattenburgerstraat,46,,
1018JC,Kattenburgerstraat,48,,
1018JC,Kattenburgerstraat,50,,
1018JC,Kattenburgerstraat,52,,
1018JC,Kattenburgerstraat,54,,
1018JC,Kattenburgerstraat,56,,
1018JC,Kattenburgerstraat,58,,
1018JC,Kattenburgerstraat,60,,
1018JD,Kattenburgerstraat,62,,
1018JD,Kattenburgerstraat,64,,
1018JD,Kattenburgerstraat,66,,
1018JD,Kattenburgerstraat,68,,
1018JD,Kattenburgerstraat,70,,
1018JD,Kattenburgerstraat,72,,
1018JD,Kattenburgerstraat,74,,
1018JD,Kattenburgerstraat,76,,
1018JD,Kattenburgerstraat,78,,
1018JD,Kattenburgerstraat,80,,
1018JD,Kattenburgerstraat,82,,
1018JD,Kattenburgerstraat,84,,
1018JD,Kattenburgerstraat,86,,
1018JD,Kattenburgerstraat,88,,
1018JE,Kattenburgerstraat,90,,
1018JE,Kattenburgerstraat,92,,
1018JE,Kattenburgerstraat,94,,
1018JE,Kattenburgerstraat,96,,
1018JE,Kattenburgerstraat,98,,
1018JE,Kattenburgerstraat,100,,
1018JE,Kattenburgerstraat,102,,
1018JE,Kattenburgerstraat,104,,
1018JE,Kattenburgerstraat,106,,
1018JE,Kattenburgerstraat,108,,
1018JE,Kattenburgerstraat,110,,
1018JE,Kattenburgerstraat,112,,
1018JE,Kattenburgerstraat,114,,
1018JE,Kattenburgerstraat,116,,
1018JG,Kattenburgerstraat,118,,
1018JG,Kattenburgerstraat,120,,
1018JG,Kattenburgerstraat,122,,
1018JG,Kattenburgerstraat,124,,
1018JG,Kattenburgerstraat,126,,
1018JG,Kattenburgerstraat,128,,
1018JG,Kattenburgerstraat,130,,
1018JG,Kattenburgerstraat,132,,
1018JG,Kattenburgerstraat,134,,
1018JG,Kattenburgerstraat,136,,
1018JG,Kattenburgerstraat,138,,
1018JG,Kattenburgerstraat,140,,
1018JG,Kattenburgerstraat,142,,
1018JG,Kattenburgerstraat,144,,
1018JH,Kattenburgerstraat,146,,
1018JH,Kattenburgerstraat,148,,
1018JH,Kattenburgerstraat,150,,
1018JH,Kattenburgerstraat,152,,
1018JH,Kattenburgerstraat,154,,
1018JH,Kattenburgerstraat,156,,
1018JH,Kattenburgerstraat,158,,
1018JH,Kattenburgerstraat,160,,
1018JH,Kattenburgerstraat,162,,
1018JH,Kattenburgerstraat,164,,
1018JH,Kattenburgerstraat,166,,
1018JH,Kattenburgerstraat,168,,
1018JH,Kattenburgerstraat,170,,
1018JH,Kattenburgerstraat,172,,
1018JH,Kattenburgerstraat,174,,
1018JH,Kattenburgerstraat,176,,
1018JH,Kattenburgerstraat,178,,
1018JH,Kattenburgerstraat,180,,
1018JH,Kattenburgerstraat,182,,
1018JH,Kattenburgerstraat,184,,
1018JJ,Kattenburgerstraat,186,,
1018JJ,Kattenburgerstraat,188,,
1018JJ,Kattenburgerstraat,190,,
1018JJ,Kattenburgerstraat,192,,
1018JJ,Kattenburgerstraat,194,,
1018JJ,Kattenburgerstraat,196,,
1018JJ,Kattenburgerstraat,198,,
1018JJ,Kattenburgerstraat,200,,
1018JJ,Kattenburgerstraat,202,,
1018JJ,Kattenburgerstraat,204,,
