straat,huisnummer,huisletter,toevoeging,postcode,plaats
Coenhavenweg,1,"","",1013BK,Amsterdam
Pier Afrika,10,"","",1013BK,Amsterdam
Coenhavenweg,3,"","",1013BK,Amsterdam
Pier Afrika,8,"","",1013BK,Amsterdam
Pier Afrika,8,A,"",1013BK,Amsterdam
Pier Afrika,8,A,"",1013BK,Amsterdam
Pier Afrika,8,B,"",1013BK,Amsterdam
Pier Afrika,8,B,"",1013BK,Amsterdam
Pier Afrika,8,C,"",1013BK,Amsterdam
Coenhavenweg,9,"","",1013BK,Amsterdam
Papierweg,1,A,"",1013BL,Amsterdam
Papierweg,1,B,"",1013BL,Amsterdam
Coenhavenweg,10,"","",1013BL,Amsterdam
Coenhavenweg,12,"","",1013BL,Amsterdam
Coenhavenweg,16,"","",1013BL,Amsterdam
Coenhavenweg,18,"","",1013BL,Amsterdam
Coenhavenweg,18,"","",1013BL,Amsterdam
Coenhavenweg,18,"","",1013BL,Amsterdam
Coenhavenweg,2,"","",1013BL,Amsterdam
Coenhavenweg,22,"","",1013BL,Amsterdam
Coenhavenweg,26,"","",1013BL,Amsterdam
Coenhavenweg,28,"","",1013BL,Amsterdam
Coenhavenweg,28,"","",1013BL,Amsterdam
Coenhavenweg,30,"","",1013BL,Amsterdam
Coenhavenweg,32,"","",1013BL,Amsterdam
Coenhavenweg,34,"","",1013BL,Amsterdam
Coenhavenweg,36,"","",1013BL,Amsterdam
Papierweg,5,"","",1013BL,Amsterdam
Coenhavenweg,6,A,"",1013BL,Amsterdam
Coenhavenweg,6,B,"",1013BL,Amsterdam
Papierweg,7,"","",1013BL,Amsterdam
Coenhavenweg,8,"","",1013BL,Amsterdam
Coenhavenweg,8,"","",1013BL,Amsterdam
Coenhavenweg,8,"","",1013BL,Amsterdam
Fosfaatweg,10,"","",1013BM,Amsterdam
Pier Afrika,11,"","",1013BM,Amsterdam
Pier Afrika,11,A,"",1013BM,Amsterdam
Pier Afrika,11,B,"",1013BM,Amsterdam
Pier Afrika,11,C,"",1013BM,Amsterdam
Pier Afrika,11,D,"",1013BM,Amsterdam
Fosfaatweg,48,"","",1013BM,Amsterdam
Fosfaatweg,50,"","",1013BM,Amsterdam
Fosfaatweg,50,A,"",1013BM,Amsterdam
Fosfaatweg,8,"","",1013BM,Amsterdam
Papierweg,8,"","",1013BN,Amsterdam
Westerhoofd,10,"","",1013BS,Amsterdam
Westerhoofd,10,"","",1013BS,Amsterdam
Westerhoofd,11,"","",1013BS,Amsterdam
Westerhoofd,12,"","",1013BS,Amsterdam
Westerhoofd,20,"","",1013BS,Amsterdam
Westerhoofd,200,"","",1013BS,Amsterdam
Westerhoofd,21,"","",1013BS,Amsterdam
Westerhoofd,21,"","",1013BS,Amsterdam
Pier Azië,10,"","",1013BT,Amsterdam
Pier Azië,2,"","",1013BT,Amsterdam
Pier Azië,4,"","",1013BT,Amsterdam
Pier Azië,6,"","",1013BT,Amsterdam
Pier Azië,8,"","",1013BT,Amsterdam
