postcode,straat,huisnummer,huisletter,toevoeging
1013BE,Archangelkade,1,,
1013BE,Archangelkade,5,A,
1013BE,Archangelkade,5,B,
1013BE,Archangelkade,7,,
1013BE,Archangelkade,7,B,
1013BE,Archangelkade,7,C,
1013BE,Archangelkade,9,,
1013BE,Archangelkade,11,,
1013BE,Archangelkade,13,,
1013BE,Archangelkade,15,,
1013BE,Archangelkade,17,,
1013BE,Archangelkade,17,B,
1013BE,Archangelkade,21,,
1013BE,Archangelkade,23,,
1013BE,Archangelkade,25,,
1013BE,Archangelkade,26,,
1013BE,Archangelkade,27,,
1013BE,Archangelkade,29,,
1013BE,Archangelkade,31,,
1013BE,Archangelkade,43,,
1013BD,Haparandaweg,57,,
1013BG,Nieuwe Hemweg,2,,
1013BG,Nieuwe Hemweg,4,A,
1013BG,Nieuwe Hemweg,4,B,
1013BG,Nieuwe Hemweg,4,C,
1013BG,Nieuwe Hemweg,4,D,
1013BG,Nieuwe Hemweg,4,E,
1013BG,Nieuwe Hemweg,4,F,
1013BG,Nieuwe Hemweg,4,G,
1013BG,Nieuwe Hemweg,4,H,
1013BG,Nieuwe Hemweg,4,K,
1013BG,Nieuwe Hemweg,4,L,
1013BG,Nieuwe Hemweg,5,A,
1013BG,Nieuwe Hemweg,5,B,
1013BG,Nieuwe Hemweg,5,C,
1013BG,Nieuwe Hemweg,5,D,
1013BG,Nieuwe Hemweg,5,E,
1013BG,Nieuwe Hemweg,5,F,
1013BG,Nieuwe Hemweg,5,G,
1013BG,Nieuwe Hemweg,5,H,
1013BG,Nieuwe Hemweg,5,K,
1013BG,Nieuwe Hemweg,5,L,
1013BG,Nieuwe Hemweg,6,A,
1013BG,Nieuwe Hemweg,6,B,
1013BG,Nieuwe Hemweg,6,C,
1013BG,Nieuwe Hemweg,6,D,
1013BG,Nieuwe Hemweg,6,E,
1013BG,Nieuwe Hemweg,6,F,
1013BG,Nieuwe Hemweg,6,G,
1013BG,Nieuwe Hemweg,6,K,
1013BG,Nieuwe Hemweg,6,L,
1013BG,Nieuwe Hemweg,6,M,
1013BG,Nieuwe Hemweg,6,N,
1013BG,Nieuwe Hemweg,6,P,
1013BG,Nieuwe Hemweg,7,A,
1013BG,Nieuwe Hemweg,7,B,
1013BG,Nieuwe Hemweg,7,C,
1013BG,Nieuwe Hemweg,7,D,
1013BG,Nieuwe Hemweg,7,E,
1013BG,Nieuwe Hemweg,7,F,
1013BG,Nieuwe Hemweg,7,G,
1013BG,Nieuwe Hemweg,7,H,
1013BG,Nieuwe Hemweg,7,K,
1013BG,Nieuwe Hemweg,7,L,
1013BG,Nieuwe Hemweg,7,M,
1013BG,Nieuwe Hemweg,7,N,
1013BG,Nieuwe Hemweg,7,P,
1013BG,Nieuwe Hemweg,7,R,
1013BG,Nieuwe Hemweg,7,S,
1013BG,Nieuwe Hemweg,8,,
1013BG,Nieuwe Hemweg,9,,
1013BG,Nieuwe Hemweg,10,,
1013BG,Nieuwe Hemweg,6,H,
1013BE,Archangelkade,3,A,
1013BE,Archangelkade,3,D,
1013BE,Archangelkade,17,C,
1013BE,Archangelkade,17,D,
1013BE,Archangelkade,19,A,
1013BE,Archangelkade,19,B,
1013BE,Archangelkade,47,,
1013BE,Archangelkade,49,,
1013BG,Nieuwe Hemweg,3,A,
1013BG,Nieuwe Hemweg,3,B,
1013BG,Nieuwe Hemweg,3,C,
1013BG,Nieuwe Hemweg,3,D,
