straat,huisnummer,huisletter,toevoeging,postcode,plaats
Spaarndammerdijk,579,"","",1014AC,Amsterdam
Spaarndammerdijk,581,"","",1014AC,Amsterdam
Spaarndammerdijk,583,"","",1014AC,Amsterdam
Spaarndammerdijk,585,"","",1014AC,Amsterdam
Spaarndammerdijk,587,"","",1014AD,Amsterdam
Spaarndammerdijk,589,"","",1014AD,Amsterdam
Spaarndammerdijk,591,"","",1014AD,Amsterdam
Spaarndammerdijk,593,"","",1014AD,Amsterdam
Spaarndammerdijk,595,"","",1014AD,Amsterdam
Spaarndammerdijk,597,"","",1014AD,Amsterdam
Spaarndammerdijk,599,"","",1014AD,Amsterdam
Spaarndammerdijk,601,"","",1014AD,Amsterdam
Spaarndammerdijk,635,"","",1014AD,Amsterdam
Spaarndammerdijk,639,"","",1014AD,Amsterdam
Spaarndammerdijk,641,"","",1014AD,Amsterdam
Spaarndammerdijk,643,"","",1014AD,Amsterdam
Spaarndammerdijk,645,"","",1014AD,Amsterdam
Spaarndammerdijk,647,"","",1014AD,Amsterdam
Spaarndammerdijk,649,"","",1014AD,Amsterdam
Spaarndammerdijk,651,"","",1014AD,Amsterdam
Spaarndammerdijk,653,"","",1014AD,Amsterdam
Spaarndammerdijk,657,"","",1014AD,Amsterdam
Spaarndammerdijk,657,A,"",1014AD,Amsterdam
Spaarndammerdijk,659,"","",1014AD,Amsterdam
Spaarndammerdijk,661,"","",1014AD,Amsterdam
Spaarndammerdijk,661,A,"",1014AD,Amsterdam
Spaarndammerdijk,663,"","",1014AD,Amsterdam
Spaarndammerdijk,665,"","",1014AD,Amsterdam
Spaarndammerdijk,667,"","",1014AE,Amsterdam
Spaarndammerdijk,667,"","",1014AE,Amsterdam
Spaarndammerdijk,675,"","",1014AE,Amsterdam
Spaarndammerdijk,677,"","",1014AE,Amsterdam
Spaarndammerdijk,681,"","",1014AE,Amsterdam
Spaarndammerdijk,687,"","",1014AE,Amsterdam
Spaarndammerdijk,687,"","",1014AE,Amsterdam
Spaarndammerdijk,687,"","",1014AE,Amsterdam
Spaarndammerdijk,689,"","",1014AE,Amsterdam
Spaarndammerdijk,689,"","",1014AE,Amsterdam
Spaarndammerdijk,689,"","",1014AE,Amsterdam
Spaarndammerdijk,691,"","",1014AE,Amsterdam
Spaarndammerdijk,693,"","",1014AE,Amsterdam
Spaarndammerdijk,695,"","",1014AE,Amsterdam
Spaarndammerdijk,699,"","",1014AE,Amsterdam
Spaarndammerdijk,701,"","",1014AE,Amsterdam
Spaarndammerdijk,703,"","",1014AE,Amsterdam
Spaarndammerdijk,705,"","",1014AE,Amsterdam
Spaarndammerdijk,707,"","",1014AE,Amsterdam
Spaarndammerdijk,709,"","",1014AE,Amsterdam
Spaarndammerdijk,709,"","",1014AE,Amsterdam
Spaarndammerdijk,709,"",1,1014AE,Amsterdam
Spaarndammerdijk,709,"",H,1014AE,Amsterdam
Spaarndammerdijk,711,"","",1014AE,Amsterdam
Spaarndammerdijk,713,"","",1014AE,Amsterdam
Spaarndammerdijk,715,"","",1014AE,Amsterdam
Molenwerf,1,"","",1014AG,Amsterdam
Molenwerf,2,"","",1014AG,Amsterdam
Molenwerf,4,"","",1014AG,Amsterdam
Molenwerf,4,A,1,1014AG,Amsterdam
Molenwerf,4,A,2,1014AG,Amsterdam
Molenwerf,4,A,3,1014AG,Amsterdam
Molenwerf,4,A,4,1014AG,Amsterdam
Molenwerf,4,A,5,1014AG,Amsterdam
Molenwerf,4,A,6,1014AG,Amsterdam
Molenwerf,4,B,1,1014AG,Amsterdam
Molenwerf,4,B,2,1014AG,Amsterdam
Molenwerf,4,B,3,1014AG,Amsterdam
Molenwerf,4,B,4,1014AG,Amsterdam
Molenwerf,4,B,5,1014AG,Amsterdam
Molenwerf,4,B,6,1014AG,Amsterdam
Molenwerf,4,B,7,1014AG,Amsterdam
Molenwerf,4,B,8,1014AG,Amsterdam
Molenwerf,4,C,1,1014AG,Amsterdam
Molenwerf,4,C,2,1014AG,Amsterdam
Molenwerf,4,C,3,1014AG,Amsterdam
Molenwerf,4,C,4,1014AG,Amsterdam
Molenwerf,4,C,5,1014AG,Amsterdam
Molenwerf,4,C,6,1014AG,Amsterdam
Molenwerf,4,C,7,1014AG,Amsterdam
Molenwerf,4,C,8,1014AG,Amsterdam
Molenwerf,4,D,1,1014AG,Amsterdam
Molenwerf,4,D,2,1014AG,Amsterdam
Molenwerf,4,D,3,1014AG,Amsterdam
Molenwerf,4,D,4,1014AG,Amsterdam
Molenwerf,4,D,5,1014AG,Amsterdam
Molenwerf,4,D,6,1014AG,Amsterdam
Molenwerf,4,D,7,1014AG,Amsterdam
Molenwerf,4,D,8,1014AG,Amsterdam
Molenwerf,4,E,1,1014AG,Amsterdam
Molenwerf,4,E,2,1014AG,Amsterdam
Molenwerf,4,E,3,1014AG,Amsterdam
Molenwerf,4,E,4,1014AG,Amsterdam
Molenwerf,4,E,5,1014AG,Amsterdam
Molenwerf,4,E,6,1014AG,Amsterdam
Molenwerf,4,E,7,1014AG,Amsterdam
Molenwerf,4,E,8,1014AG,Amsterdam
Molenwerf,4,F,1,1014AG,Amsterdam
Molenwerf,4,F,2,1014AG,Amsterdam
Molenwerf,4,F,3,1014AG,Amsterdam
Molenwerf,4,F,4,1014AG,Amsterdam
Molenwerf,4,F,5,1014AG,Amsterdam
Molenwerf,4,F,6,1014AG,Amsterdam
Molenwerf,4,F,7,1014AG,Amsterdam
Molenwerf,4,F,8,1014AG,Amsterdam
Molenwerf,4,G,1,1014AG,Amsterdam
Molenwerf,4,G,2,1014AG,Amsterdam
Molenwerf,4,G,3,1014AG,Amsterdam
Molenwerf,4,G,4,1014AG,Amsterdam
Molenwerf,4,G,5,1014AG,Amsterdam
Molenwerf,6,"","",1014AG,Amsterdam
Molenwerf,6,A,1,1014AG,Amsterdam
Molenwerf,6,A,2,1014AG,Amsterdam
Molenwerf,6,A,3,1014AG,Amsterdam
Molenwerf,6,B,1,1014AG,Amsterdam
Molenwerf,6,B,2,1014AG,Amsterdam
Molenwerf,6,B,3,1014AG,Amsterdam
Molenwerf,6,B,4,1014AG,Amsterdam
Molenwerf,6,B,5,1014AG,Amsterdam
Molenwerf,6,B,6,1014AG,Amsterdam
Molenwerf,6,B,7,1014AG,Amsterdam
Molenwerf,6,C,1,1014AG,Amsterdam
Molenwerf,6,C,2,1014AG,Amsterdam
Molenwerf,6,C,3,1014AG,Amsterdam
Molenwerf,6,C,4,1014AG,Amsterdam
Molenwerf,6,C,5,1014AG,Amsterdam
Molenwerf,6,C,6,1014AG,Amsterdam
Molenwerf,6,C,7,1014AG,Amsterdam
Molenwerf,6,C,8,1014AG,Amsterdam
Molenwerf,6,D,1,1014AG,Amsterdam
Molenwerf,6,D,2,1014AG,Amsterdam
Molenwerf,6,D,3,1014AG,Amsterdam
Molenwerf,6,D,4,1014AG,Amsterdam
Molenwerf,6,D,5,1014AG,Amsterdam
Molenwerf,6,D,6,1014AG,Amsterdam
Molenwerf,6,D,7,1014AG,Amsterdam
Molenwerf,6,D,8,1014AG,Amsterdam
Molenwerf,6,E,1,1014AG,Amsterdam
Molenwerf,6,E,2,1014AG,Amsterdam
Molenwerf,6,E,3,1014AG,Amsterdam
Molenwerf,6,E,4,1014AG,Amsterdam
Molenwerf,6,E,5,1014AG,Amsterdam
Molenwerf,6,E,6,1014AG,Amsterdam
Molenwerf,6,E,7,1014AG,Amsterdam
Molenwerf,6,E,8,1014AG,Amsterdam
Molenwerf,6,F,1,1014AG,Amsterdam
Molenwerf,6,F,2,1014AG,Amsterdam
Molenwerf,6,F,3,1014AG,Amsterdam
Molenwerf,6,F,4,1014AG,Amsterdam
Molenwerf,6,F,5,1014AG,Amsterdam
Molenwerf,6,F,6,1014AG,Amsterdam
Molenwerf,6,F,7,1014AG,Amsterdam
Molenwerf,6,F,8,1014AG,Amsterdam
Molenwerf,6,G,1,1014AG,Amsterdam
Molenwerf,6,G,2,1014AG,Amsterdam
Molenwerf,6,G,3,1014AG,Amsterdam
Molenwerf,6,G,4,1014AG,Amsterdam
Molenwerf,6,G,5,1014AG,Amsterdam
Molenwerf,6,G,6,1014AG,Amsterdam
Molenwerf,8,"","",1014AG,Amsterdam
Molenwerf,8,A,1,1014AG,Amsterdam
Molenwerf,8,A,2,1014AG,Amsterdam
Molenwerf,8,A,3,1014AG,Amsterdam
Molenwerf,8,B,1,1014AG,Amsterdam
Molenwerf,8,B,2,1014AG,Amsterdam
Molenwerf,8,B,3,1014AG,Amsterdam
Molenwerf,8,B,4,1014AG,Amsterdam
Molenwerf,8,B,5,1014AG,Amsterdam
Molenwerf,8,B,6,1014AG,Amsterdam
Molenwerf,8,C,1,1014AG,Amsterdam
Molenwerf,8,C,2,1014AG,Amsterdam
Molenwerf,8,C,3,1014AG,Amsterdam
Molenwerf,8,C,4,1014AG,Amsterdam
Molenwerf,8,C,5,1014AG,Amsterdam
Molenwerf,8,C,6,1014AG,Amsterdam
Molenwerf,8,D,1,1014AG,Amsterdam
Molenwerf,8,D,2,1014AG,Amsterdam
Molenwerf,8,D,3,1014AG,Amsterdam
Molenwerf,8,D,4,1014AG,Amsterdam
Molenwerf,8,D,5,1014AG,Amsterdam
Molenwerf,8,D,6,1014AG,Amsterdam
Molenwerf,8,E,1,1014AG,Amsterdam
Molenwerf,8,E,2,1014AG,Amsterdam
Molenwerf,8,E,3,1014AG,Amsterdam
Molenwerf,8,E,4,1014AG,Amsterdam
Molenwerf,8,E,5,1014AG,Amsterdam
Molenwerf,8,E,6,1014AG,Amsterdam
Molenwerf,8,F,1,1014AG,Amsterdam
Molenwerf,8,F,2,1014AG,Amsterdam
Molenwerf,8,F,3,1014AG,Amsterdam
Molenwerf,8,F,4,1014AG,Amsterdam
