postcode,straat,huisnummer,huisletter,toevoeging
1014AA,Spaarndammerdijk,312,,
1014AA,Spaarndammerdijk,313,,
1014AA,Spaarndammerdijk,314,,
1014AA,Spaarndammerdijk,315,,
1014AA,Spaarndammerdijk,319,,
1014AA,Spaarndammerdijk,320,,
1014AZ,Overbrakerpad,2,,
1014AZ,Overbrakerpad,4,,
1014AZ,Overbrakerpad,10,,
1014AA,Spaarndammerdijk,319,A,
1014AZ,Overbrakerpad,3,,
1014AA,Spaarndammerdijk,318,,
1014AA,Spaarndammerdijk,318,,
1014AA,Spaarndammerdijk,318,,
1014AA,Spaarndammerdijk,316,,
1014AA,Spaarndammerdijk,317,,
