straat,huisnummer,huisletter,toevoeging,postcode,plaats
Transformatorweg,1,"","",1014AJ,Amsterdam
Transformatorweg,29,"","",1014AJ,Amsterdam
Transformatorweg,29,"","",1014AJ,Amsterdam
Transformatorweg,29,A,"",1014AJ,Amsterdam
Transformatorweg,35,"","",1014AJ,Amsterdam
Transformatorweg,35,B,"",1014AJ,Amsterdam
Transformatorweg,37,"","",1014AJ,Amsterdam
Transformatorweg,37,A,"",1014AJ,Amsterdam
Transformatorweg,37,B,"",1014AJ,Amsterdam
Transformatorweg,37,C,"",1014AJ,Amsterdam
Transformatorweg,37,D,"",1014AJ,Amsterdam
Transformatorweg,37,D,"",1014AJ,Amsterdam
Transformatorweg,37,E,"",1014AJ,Amsterdam
Transformatorweg,37,F,"",1014AJ,Amsterdam
Transformatorweg,37,G,"",1014AJ,Amsterdam
Transformatorweg,39,"","",1014AJ,Amsterdam
