straat,huisnummer,huisletter,toevoeging,postcode,plaats
Bos en Lommerweg,138,"",1,1055EE,Amsterdam
Bos en Lommerweg,138,"",2,1055EE,Amsterdam
Bos en Lommerweg,138,"",3,1055EE,Amsterdam
Bos en Lommerweg,138,"",H,1055EE,Amsterdam
Bos en Lommerweg,140,"",1,1055EE,Amsterdam
Bos en Lommerweg,140,"",2,1055EE,Amsterdam
Bos en Lommerweg,140,"",3,1055EE,Amsterdam
Bos en Lommerweg,140,"",H,1055EE,Amsterdam
Bos en Lommerweg,142,"",1,1055EE,Amsterdam
Bos en Lommerweg,142,"",2,1055EE,Amsterdam
Bos en Lommerweg,142,"",3,1055EE,Amsterdam
Bos en Lommerweg,142,"",H,1055EE,Amsterdam
Bos en Lommerweg,144,"",1,1055EE,Amsterdam
Bos en Lommerweg,144,"",2,1055EE,Amsterdam
Bos en Lommerweg,144,"",3,1055EE,Amsterdam
Bos en Lommerweg,144,"",H,1055EE,Amsterdam
Bos en Lommerweg,146,"",1,1055EE,Amsterdam
Bos en Lommerweg,146,"",2,1055EE,Amsterdam
Bos en Lommerweg,146,"",3,1055EE,Amsterdam
Bos en Lommerweg,146,"",H,1055EE,Amsterdam
Bos en Lommerweg,148,"",1,1055EE,Amsterdam
Bos en Lommerweg,148,"",2,1055EE,Amsterdam
Bos en Lommerweg,148,"",3,1055EE,Amsterdam
Bos en Lommerweg,148,"",H,1055EE,Amsterdam
Bos en Lommerweg,150,"",1,1055EE,Amsterdam
Bos en Lommerweg,150,"",2,1055EE,Amsterdam
Bos en Lommerweg,150,"",3,1055EE,Amsterdam
Bos en Lommerweg,152,"","",1055EE,Amsterdam
Bos en Lommerweg,152,"",1,1055EE,Amsterdam
Bos en Lommerweg,152,"",2,1055EE,Amsterdam
Bos en Lommerweg,152,"",3,1055EE,Amsterdam
Bos en Lommerweg,154,"",1,1055EE,Amsterdam
Bos en Lommerweg,154,"",2,1055EE,Amsterdam
Bos en Lommerweg,154,"",3,1055EE,Amsterdam
Bos en Lommerweg,154,"",H,1055EE,Amsterdam
Bos en Lommerweg,156,"","",1055EE,Amsterdam
Bos en Lommerweg,158,"",1,1055EE,Amsterdam
Bos en Lommerweg,158,"",2,1055EE,Amsterdam
Bos en Lommerweg,158,"",3,1055EE,Amsterdam
