straat,huisnummer,huisletter,toevoeging,postcode,plaats
Van Hogendorpstraat,124,"",1,1051BW,Amsterdam
Van Hogendorpstraat,124,"",2,1051BW,Amsterdam
Van Hogendorpstraat,124,"",3,1051BW,Amsterdam
Van Hogendorpstraat,124,"",4,1051BW,Amsterdam
Van Hogendorpstraat,124,"",H,1051BW,Amsterdam
Van Hogendorpstraat,126,"",1,1051BW,Amsterdam
Van Hogendorpstraat,126,"",2,1051BW,Amsterdam
Van Hogendorpstraat,126,"",3,1051BW,Amsterdam
Van Hogendorpstraat,126,"",H,1051BW,Amsterdam
Van Hogendorpstraat,128,"",1,1051BW,Amsterdam
Van Hogendorpstraat,128,"",2,1051BW,Amsterdam
Van Hogendorpstraat,128,"",3,1051BW,Amsterdam
Van Hogendorpstraat,128,"",H,1051BW,Amsterdam
Van Hogendorpstraat,130,"",1,1051BW,Amsterdam
Van Hogendorpstraat,130,"",2,1051BW,Amsterdam
Van Hogendorpstraat,130,"",3,1051BW,Amsterdam
Van Hogendorpstraat,130,"",H,1051BW,Amsterdam
Van Hogendorpstraat,132,"",1,1051BW,Amsterdam
Van Hogendorpstraat,132,"",2,1051BW,Amsterdam
Van Hogendorpstraat,132,"",3,1051BW,Amsterdam
Van Hogendorpstraat,132,"",H,1051BW,Amsterdam
Van Hogendorpstraat,134,"",1,1051BW,Amsterdam
Van Hogendorpstraat,134,"",2,1051BW,Amsterdam
Van Hogendorpstraat,134,"",2,1051BW,Amsterdam
Van Hogendorpstraat,134,"",2,1051BW,Amsterdam
Van Hogendorpstraat,136,"",3,1051BW,Amsterdam
Van Hogendorpstraat,138,"",1,1051BW,Amsterdam
Van Hogendorpstraat,138,"",2,1051BW,Amsterdam
Van Hogendorpstraat,140,"",1,1051BW,Amsterdam
Van Hogendorpstraat,140,"",1,1051BW,Amsterdam
Van Hogendorpstraat,140,"",2,1051BW,Amsterdam
Van Hogendorpstraat,140,"",3,1051BW,Amsterdam
Van Hogendorpstraat,140,"",H,1051BW,Amsterdam
Van Hogendorpstraat,140,"",H,1051BW,Amsterdam
Van Hogendorpstraat,140,Z,98,1051BW,Amsterdam
Van Hogendorpstraat,140,Z,99,1051BW,Amsterdam
Van Hogendorpstraat,142,"",1,1051BW,Amsterdam
Van Hogendorpstraat,142,"",1,1051BW,Amsterdam
Van Hogendorpstraat,142,"",2,1051BW,Amsterdam
Van Hogendorpstraat,142,"",3,1051BW,Amsterdam
Van Hogendorpstraat,142,"",H,1051BW,Amsterdam
Van Hogendorpstraat,142,"",H,1051BW,Amsterdam
Van Hogendorpstraat,142,"",H,1051BW,Amsterdam
Van Hogendorpstraat,142,Z,98,1051BW,Amsterdam
Van Hogendorpstraat,142,Z,99,1051BW,Amsterdam
Van Hogendorpstraat,144,"",1,1051BW,Amsterdam
Van Hogendorpstraat,144,"",3,1051BW,Amsterdam
Van Hogendorpstraat,144,"",H,1051BW,Amsterdam
Van Hogendorpstraat,146,"",2,1051BW,Amsterdam
Van Hogendorpstraat,146,"",3,1051BW,Amsterdam
Van Hogendorpstraat,146,"",H,1051BW,Amsterdam
Van Hogendorpstraat,148,"",1,1051BX,Amsterdam
Van Hogendorpstraat,148,"",2,1051BX,Amsterdam
Van Hogendorpstraat,148,"",H,1051BX,Amsterdam
Van Hogendorpstraat,150,"",2,1051BX,Amsterdam
Van Hogendorpstraat,150,"",3,1051BX,Amsterdam
Van Hogendorpstraat,150,"",H,1051BX,Amsterdam
Van Hogendorpstraat,152,"",H,1051BX,Amsterdam
Van Hogendorpstraat,154,"",1,1051BX,Amsterdam
Van Hogendorpstraat,154,"",2,1051BX,Amsterdam
Van Hogendorpstraat,154,"",3,1051BX,Amsterdam
Van Hogendorpstraat,154,"",H,1051BX,Amsterdam
Van Hogendorpstraat,156,"",1,1051BX,Amsterdam
Van Hogendorpstraat,156,"",3,1051BX,Amsterdam
Van Hogendorpstraat,156,"",H,1051BX,Amsterdam
Van Hogendorpstraat,158,"",1,1051BX,Amsterdam
Van Hogendorpstraat,158,"",2,1051BX,Amsterdam
Van Hogendorpstraat,158,"",3,1051BX,Amsterdam
Van Hogendorpstraat,158,"",H,1051BX,Amsterdam
Van Hogendorpstraat,160,"",1,1051BX,Amsterdam
Van Hogendorpstraat,160,"",2,1051BX,Amsterdam
Van Hogendorpstraat,160,"",3,1051BX,Amsterdam
Van Hogendorpstraat,160,"",H,1051BX,Amsterdam
Van Hogendorpstraat,162,"",1,1051BX,Amsterdam
Van Hogendorpstraat,162,"",2,1051BX,Amsterdam
Van Hogendorpstraat,162,"",3,1051BX,Amsterdam
Van Hogendorpstraat,162,"",H,1051BX,Amsterdam
Van Hogendorpstraat,164,"",1,1051BX,Amsterdam
Van Hogendorpstraat,164,"",2,1051BX,Amsterdam
Van Hogendorpstraat,164,"",3,1051BX,Amsterdam
Van Hogendorpstraat,164,"",H,1051BX,Amsterdam
Van Hogendorpstraat,166,"",1,1051BX,Amsterdam
Van Hogendorpstraat,166,"",2,1051BX,Amsterdam
Van Hogendorpstraat,166,"",3,1051BX,Amsterdam
Van Hogendorpstraat,166,"",H,1051BX,Amsterdam
Van Hogendorpstraat,168,"",1,1051BX,Amsterdam
Van Hogendorpstraat,168,"",3,1051BX,Amsterdam
Van Hogendorpstraat,168,"",4,1051BX,Amsterdam
Van Hogendorpstraat,180,"","",1051BX,Amsterdam
Van Hogendorpstraat,202,"","",1051BX,Amsterdam
Van Hogendorpstraat,175,"",1,1051BZ,Amsterdam
Van Hogendorpstraat,175,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,177,"",1,1051BZ,Amsterdam
Van Hogendorpstraat,177,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,177,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,179,"",1,1051BZ,Amsterdam
Van Hogendorpstraat,179,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,179,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,179,"",H,1051BZ,Amsterdam
Van Hogendorpstraat,181,"",1,1051BZ,Amsterdam
Van Hogendorpstraat,181,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,181,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,181,"",4,1051BZ,Amsterdam
Van Hogendorpstraat,181,"",H,1051BZ,Amsterdam
Van Hogendorpstraat,183,"",1,1051BZ,Amsterdam
Van Hogendorpstraat,183,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,183,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,183,"",4,1051BZ,Amsterdam
Van Hogendorpstraat,183,"",H,1051BZ,Amsterdam
Van Hogendorpstraat,185,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,185,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,185,"",H,1051BZ,Amsterdam
Van Hogendorpstraat,187,"",1,1051BZ,Amsterdam
Van Hogendorpstraat,187,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,187,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,187,"",H,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",1,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",4,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",4,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",4,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",4,1051BZ,Amsterdam
Van Hogendorpstraat,189,"",H,1051BZ,Amsterdam
Van Hogendorpstraat,191,"",2,1051BZ,Amsterdam
Van Hogendorpstraat,191,"",3,1051BZ,Amsterdam
Van Hogendorpstraat,191,"",H,1051BZ,Amsterdam
Van Hogendorpstraat,193,"",1,1051CA,Amsterdam
Van Hogendorpstraat,193,"",2,1051CA,Amsterdam
Van Hogendorpstraat,193,"",3,1051CA,Amsterdam
Van Hogendorpstraat,193,"",4,1051CA,Amsterdam
Van Hogendorpstraat,193,"",H,1051CA,Amsterdam
Van Hogendorpstraat,195,"",1,1051CA,Amsterdam
Van Hogendorpstraat,195,"",2,1051CA,Amsterdam
Van Hogendorpstraat,195,"",3,1051CA,Amsterdam
Van Hogendorpstraat,195,"",4,1051CA,Amsterdam
Van Hogendorpstraat,195,"",H,1051CA,Amsterdam
Van Hogendorpstraat,195,"",H,1051CA,Amsterdam
Van Hogendorpstraat,195,Z,99,1051CA,Amsterdam
Van Hogendorpstraat,197,"",1,1051CA,Amsterdam
Van Hogendorpstraat,197,"",2,1051CA,Amsterdam
Van Hogendorpstraat,197,"",3,1051CA,Amsterdam
Van Hogendorpstraat,197,"",4,1051CA,Amsterdam
Van Hogendorpstraat,197,"",H,1051CA,Amsterdam
Van Hogendorpstraat,199,"",1,1051CA,Amsterdam
Van Hogendorpstraat,199,"",2,1051CA,Amsterdam
Van Hogendorpstraat,199,"",H,1051CA,Amsterdam
Van Hogendorpstraat,201,"",1,1051CA,Amsterdam
Van Hogendorpstraat,201,"",2,1051CA,Amsterdam
Van Hogendorpstraat,201,"",3,1051CA,Amsterdam
Van Hogendorpstraat,201,"",H,1051CA,Amsterdam
Van Hogendorpstraat,203,"",1,1051CA,Amsterdam
Van Hogendorpstraat,203,"",2,1051CA,Amsterdam
Van Hogendorpstraat,203,"",H,1051CA,Amsterdam
Van Hogendorpstraat,205,"",1,1051CA,Amsterdam
Van Hogendorpstraat,205,"",2,1051CA,Amsterdam
Van Hogendorpstraat,205,"",3,1051CA,Amsterdam
Van Hogendorpstraat,205,"",H,1051CA,Amsterdam
Van Hogendorpstraat,207,"",1,1051CA,Amsterdam
Van Hogendorpstraat,207,"",2,1051CA,Amsterdam
Van Hogendorpstraat,207,"",3,1051CA,Amsterdam
Van Hogendorpstraat,751,"","",1051CB,Amsterdam
Van Hogendorpstraat,753,"","",1051CB,Amsterdam
Van Hogendorpstraat,755,"","",1051CB,Amsterdam
Van Hogendorpstraat,757,"","",1051CB,Amsterdam
Van Hogendorpstraat,759,"","",1051CB,Amsterdam
Van Hogendorpstraat,761,"","",1051CB,Amsterdam
Van Hogendorpstraat,763,"","",1051CB,Amsterdam
Van Hogendorpstraat,765,"","",1051CB,Amsterdam
Van Hogendorpstraat,767,"","",1051CB,Amsterdam
Van Hogendorpstraat,769,"","",1051CB,Amsterdam
Van Hogendorpstraat,771,"","",1051CB,Amsterdam
Van Hogendorpstraat,777,"","",1051CB,Amsterdam
Van Hogendorpstraat,779,"","",1051CB,Amsterdam
Van Hogendorpstraat,781,"","",1051CB,Amsterdam
Van Hogendorpstraat,783,"","",1051CB,Amsterdam
Van Hogendorpstraat,785,"","",1051CB,Amsterdam
Van Hogendorpstraat,789,"","",1051CB,Amsterdam
Van Hogendorpstraat,791,"","",1051CB,Amsterdam
Van Hogendorpstraat,793,"","",1051CB,Amsterdam
Van Hogendorpstraat,795,"","",1051CB,Amsterdam
Van Hogendorpstraat,799,"","",1051CC,Amsterdam
Van Hogendorpstraat,801,"","",1051CC,Amsterdam
Van Hogendorpstraat,803,"","",1051CC,Amsterdam
Van Hogendorpstraat,807,"","",1051CC,Amsterdam
Van Hogendorpstraat,809,"","",1051CC,Amsterdam
Van Hogendorpstraat,813,"","",1051CC,Amsterdam
Van Hogendorpstraat,815,"","",1051CC,Amsterdam
Van Hogendorpstraat,817,"","",1051CC,Amsterdam
Van Hogendorpstraat,819,"","",1051CC,Amsterdam
Van Hogendorpstraat,823,"","",1051CC,Amsterdam
Van Hogendorpstraat,825,"","",1051CC,Amsterdam
Van Hogendorpstraat,829,"","",1051CC,Amsterdam
Van Hogendorpstraat,833,"","",1051CC,Amsterdam
Van Hogendorpstraat,835,"","",1051CC,Amsterdam
Van Hogendorpstraat,837,"","",1051CC,Amsterdam
Van Hogendorpstraat,839,"","",1051CC,Amsterdam
Van Hogendorpstraat,841,"","",1051CC,Amsterdam
Van Hogendorpstraat,843,"","",1051CC,Amsterdam
Van Hogendorpstraat,847,"","",1051CD,Amsterdam
Van Hogendorpstraat,849,"","",1051CD,Amsterdam
Van Hogendorpstraat,851,"","",1051CD,Amsterdam
Van Hogendorpstraat,853,"","",1051CD,Amsterdam
Van Hogendorpstraat,855,"","",1051CD,Amsterdam
Van Hogendorpstraat,857,"","",1051CD,Amsterdam
Van Hogendorpstraat,859,"","",1051CD,Amsterdam
Van Hogendorpstraat,861,"","",1051CD,Amsterdam
Van Hogendorpstraat,863,"","",1051CD,Amsterdam
Van Hogendorpstraat,865,"","",1051CD,Amsterdam
Van Hogendorpstraat,867,"","",1051CD,Amsterdam
Van Hogendorpstraat,869,"","",1051CD,Amsterdam
Van Hogendorpstraat,871,"","",1051CD,Amsterdam
Van Hogendorpstraat,873,"","",1051CE,Amsterdam
Van Hogendorpstraat,881,"","",1051CE,Amsterdam
Van Hogendorpstraat,883,"","",1051CE,Amsterdam
Van Hogendorpstraat,885,"","",1051CE,Amsterdam
Van Hogendorpstraat,887,"","",1051CE,Amsterdam
Van Hogendorpstraat,889,"","",1051CE,Amsterdam
Van Hogendorpstraat,889,"","",1051CE,Amsterdam
Van Hogendorpstraat,891,"","",1051CE,Amsterdam
Van Hogendorpstraat,891,"","",1051CE,Amsterdam
Van Hogendorpstraat,893,"","",1051CE,Amsterdam
Van Hogendorpstraat,893,"","",1051CE,Amsterdam
Van Hogendorpstraat,895,"","",1051CE,Amsterdam
Van Hogendorpstraat,897,"","",1051CE,Amsterdam
Van Hogendorpstraat,899,"","",1051CE,Amsterdam
Van Hogendorpstraat,899,"","",1051CE,Amsterdam
Van Hogendorpstraat,901,"","",1051CE,Amsterdam
Van Hogendorpstraat,903,"","",1051CE,Amsterdam
Van Hogendorpstraat,903,"","",1051CE,Amsterdam
Van Hogendorpstraat,905,"","",1051CE,Amsterdam
Van Hogendorpstraat,909,"","",1051CE,Amsterdam
Van Hogendorpstraat,911,"","",1051CE,Amsterdam
Van Hogendorpstraat,913,"","",1051CE,Amsterdam
Van Hogendorpstraat,915,"","",1051CE,Amsterdam
Van Hogendorpstraat,921,"","",1051CE,Amsterdam
Van Hogendorpstraat,923,"","",1051CE,Amsterdam
Van Hogendorpstraat,923,A,"",1051CE,Amsterdam
Van Hogendorpstraat,923,B,"",1051CE,Amsterdam
Van Hogendorpstraat,925,"","",1051CE,Amsterdam
De Kempenaerstraat,1,A,"",1051CJ,Amsterdam
De Kempenaerstraat,1,B,"",1051CJ,Amsterdam
De Kempenaerstraat,1,C,"",1051CJ,Amsterdam
De Kempenaerstraat,11,"","",1051CJ,Amsterdam
De Kempenaerstraat,11,"","",1051CJ,Amsterdam
De Kempenaerstraat,11,"","",1051CJ,Amsterdam
De Kempenaerstraat,13,A,"",1051CJ,Amsterdam
De Kempenaerstraat,13,B,"",1051CJ,Amsterdam
De Kempenaerstraat,13,C,"",1051CJ,Amsterdam
De Kempenaerstraat,13,D,"",1051CJ,Amsterdam
De Kempenaerstraat,3,B,"",1051CJ,Amsterdam
De Kempenaerstraat,3,C,"",1051CJ,Amsterdam
De Kempenaerstraat,3,D,"",1051CJ,Amsterdam
De Kempenaerstraat,5,A,"",1051CJ,Amsterdam
De Kempenaerstraat,5,B,"",1051CJ,Amsterdam
De Kempenaerstraat,5,D,"",1051CJ,Amsterdam
De Kempenaerstraat,7,A,"",1051CJ,Amsterdam
De Kempenaerstraat,7,B,"",1051CJ,Amsterdam
De Kempenaerstraat,7,C,"",1051CJ,Amsterdam
De Kempenaerstraat,9,A,"",1051CJ,Amsterdam
De Kempenaerstraat,9,B,"",1051CJ,Amsterdam
De Kempenaerstraat,9,C,"",1051CJ,Amsterdam
De Kempenaerstraat,9,D,"",1051CJ,Amsterdam
De Kempenaerstraat,15,A,"",1051CK,Amsterdam
De Kempenaerstraat,15,B,"",1051CK,Amsterdam
De Kempenaerstraat,15,C,"",1051CK,Amsterdam
De Kempenaerstraat,17,A,"",1051CK,Amsterdam
De Kempenaerstraat,17,B,"",1051CK,Amsterdam
De Kempenaerstraat,17,D,"",1051CK,Amsterdam
De Kempenaerstraat,19,B,"",1051CK,Amsterdam
De Kempenaerstraat,19,C,"",1051CK,Amsterdam
De Kempenaerstraat,19,D,"",1051CK,Amsterdam
De Kempenaerstraat,21,A,"",1051CK,Amsterdam
De Kempenaerstraat,21,B,"",1051CK,Amsterdam
De Kempenaerstraat,21,C,"",1051CK,Amsterdam
De Kempenaerstraat,10,"",1,1051CN,Amsterdam
De Kempenaerstraat,10,"",2,1051CN,Amsterdam
De Kempenaerstraat,10,"",3,1051CN,Amsterdam
De Kempenaerstraat,10,"",H,1051CN,Amsterdam
De Kempenaerstraat,12,"",1,1051CN,Amsterdam
De Kempenaerstraat,12,"",2,1051CN,Amsterdam
De Kempenaerstraat,12,"",3,1051CN,Amsterdam
De Kempenaerstraat,12,"",H,1051CN,Amsterdam
De Kempenaerstraat,14,"",2,1051CN,Amsterdam
De Kempenaerstraat,14,"",3,1051CN,Amsterdam
De Kempenaerstraat,14,"",H,1051CN,Amsterdam
De Kempenaerstraat,16,"",1,1051CN,Amsterdam
De Kempenaerstraat,16,"",2,1051CN,Amsterdam
De Kempenaerstraat,16,"",3,1051CN,Amsterdam
De Kempenaerstraat,16,"",H,1051CN,Amsterdam
De Kempenaerstraat,18,"",1,1051CN,Amsterdam
De Kempenaerstraat,18,"",2,1051CN,Amsterdam
De Kempenaerstraat,18,"",3,1051CN,Amsterdam
De Kempenaerstraat,18,"",H,1051CN,Amsterdam
De Kempenaerstraat,2,"",1,1051CN,Amsterdam
De Kempenaerstraat,2,"",2,1051CN,Amsterdam
De Kempenaerstraat,2,"",3,1051CN,Amsterdam
De Kempenaerstraat,2,"",4,1051CN,Amsterdam
De Kempenaerstraat,20,"",1,1051CN,Amsterdam
De Kempenaerstraat,20,"",2,1051CN,Amsterdam
De Kempenaerstraat,20,"",3,1051CN,Amsterdam
De Kempenaerstraat,20,"",4,1051CN,Amsterdam
De Kempenaerstraat,20,"",H,1051CN,Amsterdam
De Kempenaerstraat,22,"",1,1051CN,Amsterdam
De Kempenaerstraat,22,"",2,1051CN,Amsterdam
De Kempenaerstraat,22,"",3,1051CN,Amsterdam
De Kempenaerstraat,22,"",H,1051CN,Amsterdam
De Kempenaerstraat,4,"",1,1051CN,Amsterdam
De Kempenaerstraat,4,"",2,1051CN,Amsterdam
De Kempenaerstraat,4,"",3,1051CN,Amsterdam
De Kempenaerstraat,4,"",3,1051CN,Amsterdam
De Kempenaerstraat,4,"",H,1051CN,Amsterdam
De Kempenaerstraat,6,"",1,1051CN,Amsterdam
De Kempenaerstraat,6,"",2,1051CN,Amsterdam
De Kempenaerstraat,6,"",3,1051CN,Amsterdam
De Kempenaerstraat,6,"",H,1051CN,Amsterdam
De Kempenaerstraat,8,"",1,1051CN,Amsterdam
De Kempenaerstraat,8,"",2,1051CN,Amsterdam
De Kempenaerstraat,8,"",3,1051CN,Amsterdam
De Kempenaerstraat,8,"",H,1051CN,Amsterdam
De Kempenaerstraat,8,"",H,1051CN,Amsterdam
De Kempenaerstraat,8,"",H,1051CN,Amsterdam
Van Boetzelaerstraat,39,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,39,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,39,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,39,"",4,1051CZ,Amsterdam
Van Boetzelaerstraat,41,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,41,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,41,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,43,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,43,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,43,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,43,"",H,1051CZ,Amsterdam
Van Boetzelaerstraat,45,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,45,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,45,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,45,"",H,1051CZ,Amsterdam
Van Boetzelaerstraat,47,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,47,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,47,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,47,"",H,1051CZ,Amsterdam
Van Boetzelaerstraat,49,"","",1051CZ,Amsterdam
Van Boetzelaerstraat,51,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,51,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,51,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,53,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,53,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,53,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,53,"",H,1051CZ,Amsterdam
Van Boetzelaerstraat,55,"",1,1051CZ,Amsterdam
Van Boetzelaerstraat,55,"",2,1051CZ,Amsterdam
Van Boetzelaerstraat,55,"",3,1051CZ,Amsterdam
Van Boetzelaerstraat,55,"",H,1051CZ,Amsterdam
Van Boetzelaerstraat,57,"",1,1051EA,Amsterdam
Van Boetzelaerstraat,57,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,57,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,57,"",H,1051EA,Amsterdam
Van Boetzelaerstraat,59,"",1,1051EA,Amsterdam
Van Boetzelaerstraat,59,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,59,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,59,"",H,1051EA,Amsterdam
Van Boetzelaerstraat,61,"",1,1051EA,Amsterdam
Van Boetzelaerstraat,61,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,61,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,61,"",H,1051EA,Amsterdam
Van Boetzelaerstraat,63,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,63,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,63,"",H,1051EA,Amsterdam
Van Boetzelaerstraat,65,"",1,1051EA,Amsterdam
Van Boetzelaerstraat,65,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,65,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,65,"",H,1051EA,Amsterdam
Van Boetzelaerstraat,67,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,67,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,67,"",H,1051EA,Amsterdam
Van Boetzelaerstraat,69,"",1,1051EA,Amsterdam
Van Boetzelaerstraat,69,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,69,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,69,"",H,1051EA,Amsterdam
Van Boetzelaerstraat,71,"",1,1051EA,Amsterdam
Van Boetzelaerstraat,71,"",2,1051EA,Amsterdam
Van Boetzelaerstraat,71,"",3,1051EA,Amsterdam
Van Boetzelaerstraat,71,"",H,1051EA,Amsterdam
