postcode,straat,huisnummer,huisletter,toevoeging
1052KP,Eerste Hugo de Grootstraat,8,,H
1052KP,Eerste Hugo de Grootstraat,8,,1
1052KP,Eerste Hugo de Grootstraat,8,,2
1052KP,Eerste Hugo de Grootstraat,8,,3
1052KP,Eerste Hugo de Grootstraat,10,,H
1052KP,Eerste Hugo de Grootstraat,10,,1
1052KP,Eerste Hugo de Grootstraat,10,,2
1052KP,Eerste Hugo de Grootstraat,10,,3
1052KP,Eerste Hugo de Grootstraat,12,,H
1052KP,Eerste Hugo de Grootstraat,12,,1
1052KP,Eerste Hugo de Grootstraat,12,,1
1052KP,Eerste Hugo de Grootstraat,12,,2
1052KP,Eerste Hugo de Grootstraat,12,,3
1052KP,Eerste Hugo de Grootstraat,14,,H
1052KP,Eerste Hugo de Grootstraat,14,,3
1052KP,Eerste Hugo de Grootstraat,16,,H
1052KP,Eerste Hugo de Grootstraat,16,,3
1052KR,Eerste Hugo de Grootstraat,20,,H
1052KR,Eerste Hugo de Grootstraat,20,,1
1052KR,Eerste Hugo de Grootstraat,20,,2
1052KR,Eerste Hugo de Grootstraat,20,,3
1052KS,Eerste Hugo de Grootstraat,38,,1
1052KS,Eerste Hugo de Grootstraat,38,,2
1052KS,Eerste Hugo de Grootstraat,38,,3
1052KS,Eerste Hugo de Grootstraat,40,,1
1052KS,Eerste Hugo de Grootstraat,40,,2
1052KS,Eerste Hugo de Grootstraat,40,,3
1052KS,Eerste Hugo de Grootstraat,42,,1
1052KS,Eerste Hugo de Grootstraat,42,,2
1052KS,Eerste Hugo de Grootstraat,42,,3
1052KS,Eerste Hugo de Grootstraat,44,,H
1052KS,Eerste Hugo de Grootstraat,44,,1
1052KS,Eerste Hugo de Grootstraat,44,,2
1052KS,Eerste Hugo de Grootstraat,44,,3
1052KS,Eerste Hugo de Grootstraat,46,,H
1052KS,Eerste Hugo de Grootstraat,46,,1
1052KS,Eerste Hugo de Grootstraat,46,,2
1052KS,Eerste Hugo de Grootstraat,46,,3
1052KT,Eerste Hugo de Grootstraat,48,,H
1052KT,Eerste Hugo de Grootstraat,48,,1
1052KT,Eerste Hugo de Grootstraat,48,,2
1052KT,Eerste Hugo de Grootstraat,48,,3
1052KT,Eerste Hugo de Grootstraat,52,,
1052KT,Eerste Hugo de Grootstraat,54,,H
1052KT,Eerste Hugo de Grootstraat,54,,1
1052KT,Eerste Hugo de Grootstraat,54,,2
1052KT,Eerste Hugo de Grootstraat,54,,3
1052KT,Eerste Hugo de Grootstraat,56,,H
1052KT,Eerste Hugo de Grootstraat,56,,1
1052KT,Eerste Hugo de Grootstraat,56,,2
1052KT,Eerste Hugo de Grootstraat,56,,3
1052KT,Eerste Hugo de Grootstraat,58,,H
1052KT,Eerste Hugo de Grootstraat,58,,1
1052KT,Eerste Hugo de Grootstraat,58,,2
1052KT,Eerste Hugo de Grootstraat,58,,3
