straat,huisnummer,huisletter,toevoeging,postcode,plaats
Zaagmolenstraat,11,"",1,1052HB,Amsterdam
Zaagmolenstraat,11,"",2,1052HB,Amsterdam
Zaagmolenstraat,11,"",3,1052HB,Amsterdam
Zaagmolenstraat,11,"",H,1052HB,Amsterdam
Zaagmolenstraat,13,"",1,1052HB,Amsterdam
Zaagmolenstraat,13,"",2,1052HB,Amsterdam
Zaagmolenstraat,13,"",3,1052HB,Amsterdam
Zaagmolenstraat,13,"",H,1052HB,Amsterdam
Zaagmolenstraat,25,A,"",1052HB,Amsterdam
Zaagmolenstraat,25,B,"",1052HB,Amsterdam
Zaagmolenstraat,25,C,"",1052HB,Amsterdam
Zaagmolenstraat,7,"",1,1052HB,Amsterdam
Zaagmolenstraat,7,"",2,1052HB,Amsterdam
Zaagmolenstraat,7,"",3,1052HB,Amsterdam
Zaagmolenstraat,7,"",H,1052HB,Amsterdam
Zaagmolenstraat,9,"",1,1052HB,Amsterdam
Zaagmolenstraat,9,"",2,1052HB,Amsterdam
Zaagmolenstraat,9,"",3,1052HB,Amsterdam
Zaagmolenstraat,9,"",H,1052HB,Amsterdam
Tweede Hugo de Grootstraat,23,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,23,"",2,1052LB,Amsterdam
Tweede Hugo de Grootstraat,23,"",H,1052LB,Amsterdam
Tweede Hugo de Grootstraat,25,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,25,"",2,1052LB,Amsterdam
Tweede Hugo de Grootstraat,25,"",3,1052LB,Amsterdam
Tweede Hugo de Grootstraat,25,"",4,1052LB,Amsterdam
Tweede Hugo de Grootstraat,25,"",H,1052LB,Amsterdam
Tweede Hugo de Grootstraat,27,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,27,"",2,1052LB,Amsterdam
Tweede Hugo de Grootstraat,27,"",3,1052LB,Amsterdam
Tweede Hugo de Grootstraat,27,"",H,1052LB,Amsterdam
Tweede Hugo de Grootstraat,29,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,29,"",2,1052LB,Amsterdam
Tweede Hugo de Grootstraat,29,"",3,1052LB,Amsterdam
Tweede Hugo de Grootstraat,29,"",H,1052LB,Amsterdam
Tweede Hugo de Grootstraat,31,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,31,"",2,1052LB,Amsterdam
Tweede Hugo de Grootstraat,31,"",3,1052LB,Amsterdam
Tweede Hugo de Grootstraat,31,"",3,1052LB,Amsterdam
Tweede Hugo de Grootstraat,31,"",4,1052LB,Amsterdam
Tweede Hugo de Grootstraat,31,"",H,1052LB,Amsterdam
Tweede Hugo de Grootstraat,33,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,33,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,33,"",2,1052LB,Amsterdam
Tweede Hugo de Grootstraat,33,"",3,1052LB,Amsterdam
Tweede Hugo de Grootstraat,35,"","",1052LB,Amsterdam
Tweede Hugo de Grootstraat,37,"",1,1052LB,Amsterdam
Tweede Hugo de Grootstraat,37,"",2,1052LB,Amsterdam
Tweede Hugo de Grootstraat,37,"",3,1052LB,Amsterdam
Tweede Hugo de Grootstraat,37,"",H,1052LB,Amsterdam
Tweede Hugo de Grootstraat,39,"","",1052LB,Amsterdam
Tweede Hugo de Grootstraat,41,"","",1052LB,Amsterdam
Tweede Hugo de Grootstraat,43,"","",1052LB,Amsterdam
Tweede Hugo de Grootstraat,43,A,"",1052LB,Amsterdam
Tweede Hugo de Grootstraat,43,B,"",1052LB,Amsterdam
Tweede Hugo de Grootstraat,45,"","",1052LB,Amsterdam
Tweede Hugo de Grootstraat,45,A,"",1052LB,Amsterdam
Tweede Hugo de Grootstraat,45,A,"",1052LB,Amsterdam
Tweede Hugo de Grootstraat,45,B,"",1052LB,Amsterdam
Tweede Hugo de Grootstraat,45,C,"",1052LB,Amsterdam
Tweede Hugo de Grootstraat,45,D,"",1052LB,Amsterdam
