postcode,straat,huisnummer,huisletter,toevoeging
1057HM,Baarsjesweg,136,,H
1057HM,Baarsjesweg,136,,1
1057HM,Baarsjesweg,154,,1
1057HM,Baarsjesweg,154,,2
1057HM,Baarsjesweg,154,,3
1057HM,Baarsjesweg,154,,4
1057HM,Baarsjesweg,155,,2
1057HM,Baarsjesweg,155,,3
1057HM,Baarsjesweg,155,,4
1057HM,Baarsjesweg,156,,
1057HM,Baarsjesweg,157,,H
1057HM,Baarsjesweg,157,,1
1057HM,Baarsjesweg,157,,2
1057HM,Baarsjesweg,157,,3
1057HM,Baarsjesweg,158,,H
1057HM,Baarsjesweg,158,,1
1057HM,Baarsjesweg,158,,2
1057HM,Baarsjesweg,158,,3
1057HM,Baarsjesweg,159,,H
1057HM,Baarsjesweg,159,,1
1057HM,Baarsjesweg,159,,2
1057HM,Baarsjesweg,159,,3
1057HN,Baarsjesweg,160,,H
1057HN,Baarsjesweg,160,,1
1057HN,Baarsjesweg,160,,2
1057HN,Baarsjesweg,160,,3
1057HN,Baarsjesweg,161,,H
1057HN,Baarsjesweg,161,,1
1057HN,Baarsjesweg,161,,2
1057HN,Baarsjesweg,161,,3
1057HN,Baarsjesweg,162,,H
1057HN,Baarsjesweg,162,,1
1057HN,Baarsjesweg,162,,2
1057HN,Baarsjesweg,162,,3
1057HN,Baarsjesweg,163,,H
1057HN,Baarsjesweg,163,,1
1057HN,Baarsjesweg,163,,2
1057HN,Baarsjesweg,163,,3
1057HN,Baarsjesweg,164,,H
1057HN,Baarsjesweg,165,,H
1057HN,Baarsjesweg,165,,1
1057HN,Baarsjesweg,165,,2
1057HN,Baarsjesweg,165,,3
1057HN,Baarsjesweg,166,,H
1057HN,Baarsjesweg,166,,1
1057HN,Baarsjesweg,166,,2
1057HN,Baarsjesweg,166,,3
1057HN,Baarsjesweg,167,,1
1057HN,Baarsjesweg,167,,2
1057HN,Baarsjesweg,167,,3
1057HN,Baarsjesweg,167,,4
1057HP,Baarsjesweg,174,,H
1057HP,Baarsjesweg,174,,1
1057HP,Baarsjesweg,174,,2
1057HP,Baarsjesweg,174,,3
1057HP,Baarsjesweg,175,,H
