straat,huisnummer,huisletter,toevoeging,postcode,plaats
Bellamyplein,18,"",1,1053AT,Amsterdam
Bellamyplein,18,"",2,1053AT,Amsterdam
Bellamyplein,18,"",3,1053AT,Amsterdam
Bellamyplein,18,"",4,1053AT,Amsterdam
Bellamyplein,18,"",H,1053AT,Amsterdam
Bellamyplein,18,"",H,1053AT,Amsterdam
Bellamyplein,18,A,"",1053AT,Amsterdam
Bellamyplein,20,"",1,1053AT,Amsterdam
Bellamyplein,20,"",2,1053AT,Amsterdam
Bellamyplein,20,"",3,1053AT,Amsterdam
Bellamyplein,20,"",4A,1053AT,Amsterdam
Bellamyplein,20,"",4B,1053AT,Amsterdam
Bellamyplein,20,"",H,1053AT,Amsterdam
Bellamyplein,22,"",1,1053AT,Amsterdam
Bellamyplein,22,"",2,1053AT,Amsterdam
Bellamyplein,22,"",3,1053AT,Amsterdam
Bellamyplein,22,"",4,1053AT,Amsterdam
Bellamyplein,22,"",H,1053AT,Amsterdam
Bellamyplein,24,"",1,1053AT,Amsterdam
Bellamyplein,24,"",2,1053AT,Amsterdam
Bellamyplein,24,"",3,1053AT,Amsterdam
Bellamyplein,24,"",4,1053AT,Amsterdam
Bellamyplein,24,"",H,1053AT,Amsterdam
Bellamyplein,26,"",1,1053AT,Amsterdam
Bellamyplein,26,"",2,1053AT,Amsterdam
Bellamyplein,26,"",3,1053AT,Amsterdam
Bellamyplein,26,"",H,1053AT,Amsterdam
Bellamyplein,28,"",1,1053AT,Amsterdam
Bellamyplein,28,"",2,1053AT,Amsterdam
Bellamyplein,28,"",3,1053AT,Amsterdam
Bellamyplein,28,"",H,1053AT,Amsterdam
Bellamyplein,30,"",1,1053AT,Amsterdam
Bellamyplein,30,"",2,1053AT,Amsterdam
Bellamyplein,30,"",3,1053AT,Amsterdam
Bellamyplein,30,"",4,1053AT,Amsterdam
Bellamyplein,30,"",H,1053AT,Amsterdam
Bellamyplein,32,"",1,1053AT,Amsterdam
Bellamyplein,32,"",2,1053AT,Amsterdam
Bellamyplein,32,"",3,1053AT,Amsterdam
Bellamyplein,32,"",H,1053AT,Amsterdam
Bellamyplein,34,"",1,1053AT,Amsterdam
Bellamyplein,34,"",2,1053AT,Amsterdam
Bellamyplein,34,"",3,1053AT,Amsterdam
Bellamyplein,34,"",H,1053AT,Amsterdam
Bellamyplein,36,"",1,1053AT,Amsterdam
Bellamyplein,36,"",2,1053AT,Amsterdam
Bellamyplein,36,"",H,1053AT,Amsterdam
Bellamyplein,38,"",1,1053AT,Amsterdam
Bellamyplein,38,"",2,1053AT,Amsterdam
Bellamyplein,38,"",3,1053AT,Amsterdam
Bellamyplein,38,"",H,1053AT,Amsterdam
Bellamyplein,40,"","",1053AT,Amsterdam
Bellamyplein,41,"","",1053AT,Amsterdam
Bellamyplein,47,"","",1053AT,Amsterdam
Bellamyplein,47,"","",1053AT,Amsterdam
Bellamyplein,49,"","",1053AT,Amsterdam
Bellamyplein,51,"","",1053AT,Amsterdam
Bellamyplein,51,"","",1053AT,Amsterdam
Bellamyplein,51,"","",1053AT,Amsterdam
Bellamyplein,53,"","",1053AT,Amsterdam
Bellamyplein,55,"","",1053AT,Amsterdam
Bellamyplein,57,"","",1053AT,Amsterdam
Wenslauerstraat,1,"","",1053AV,Amsterdam
Wenslauerstraat,1,A,"",1053AV,Amsterdam
Wenslauerstraat,1,A,1,1053AV,Amsterdam
Wenslauerstraat,1,A,2,1053AV,Amsterdam
Wenslauerstraat,1,A,3,1053AV,Amsterdam
Wenslauerstraat,1,A,H,1053AV,Amsterdam
Wenslauerstraat,1,B,"",1053AV,Amsterdam
Wenslauerstraat,1,C,"",1053AV,Amsterdam
Wenslauerstraat,11,A,"",1053AV,Amsterdam
Wenslauerstraat,11,B,"",1053AV,Amsterdam
Wenslauerstraat,11,C,"",1053AV,Amsterdam
Wenslauerstraat,13,A,"",1053AV,Amsterdam
Wenslauerstraat,13,B,"",1053AV,Amsterdam
Wenslauerstraat,13,C,"",1053AV,Amsterdam
Wenslauerstraat,15,A,"",1053AV,Amsterdam
Wenslauerstraat,15,B,"",1053AV,Amsterdam
Wenslauerstraat,15,C,"",1053AV,Amsterdam
Wenslauerstraat,17,A,"",1053AV,Amsterdam
Wenslauerstraat,17,B,"",1053AV,Amsterdam
