straat,huisnummer,huisletter,toevoeging,postcode,plaats
Kinkerstraat,313,"","",1053EV,Amsterdam
Kinkerstraat,315,"","",1053EV,Amsterdam
Kinkerstraat,317,"","",1053EV,Amsterdam
Kinkerstraat,319,"","",1053EV,Amsterdam
Kinkerstraat,321,"",1,1053EV,Amsterdam
Kinkerstraat,321,"",2,1053EV,Amsterdam
Kinkerstraat,321,"",3,1053EV,Amsterdam
Kinkerstraat,321,"",3,1053EV,Amsterdam
Kinkerstraat,321,"",4,1053EV,Amsterdam
Kinkerstraat,321,"",4,1053EV,Amsterdam
Kinkerstraat,321,"",H,1053EV,Amsterdam
Kinkerstraat,323,"",1,1053EV,Amsterdam
Kinkerstraat,323,"",2,1053EV,Amsterdam
Kinkerstraat,323,"",3,1053EV,Amsterdam
Kinkerstraat,323,"",H,1053EV,Amsterdam
Kinkerstraat,325,"",1,1053EV,Amsterdam
Kinkerstraat,325,"",2,1053EV,Amsterdam
Kinkerstraat,325,"",3,1053EV,Amsterdam
Kinkerstraat,325,"",H,1053EV,Amsterdam
Kinkerstraat,327,"",1,1053EV,Amsterdam
Kinkerstraat,327,"",2,1053EV,Amsterdam
Kinkerstraat,327,"",3,1053EV,Amsterdam
Kinkerstraat,327,"",H,1053EV,Amsterdam
Kinkerstraat,329,"",1,1053EV,Amsterdam
Kinkerstraat,329,"",2,1053EV,Amsterdam
Kinkerstraat,329,"",3,1053EV,Amsterdam
Kinkerstraat,331,"",1,1053EW,Amsterdam
Kinkerstraat,331,"",2,1053EW,Amsterdam
Kinkerstraat,331,"",3,1053EW,Amsterdam
Kinkerstraat,333,"",1,1053EW,Amsterdam
Kinkerstraat,333,"",2,1053EW,Amsterdam
Kinkerstraat,333,"",3,1053EW,Amsterdam
Kinkerstraat,333,"",H,1053EW,Amsterdam
Kinkerstraat,335,"",1,1053EW,Amsterdam
Kinkerstraat,335,"",2,1053EW,Amsterdam
Kinkerstraat,335,"",3,1053EW,Amsterdam
Kinkerstraat,335,"",H,1053EW,Amsterdam
Kinkerstraat,337,"",1,1053EW,Amsterdam
Kinkerstraat,337,"",2,1053EW,Amsterdam
Kinkerstraat,337,"",3,1053EW,Amsterdam
Kinkerstraat,337,"",H,1053EW,Amsterdam
Kinkerstraat,339,"",1,1053EW,Amsterdam
Kinkerstraat,339,"",2,1053EW,Amsterdam
Kinkerstraat,339,"",3,1053EW,Amsterdam
Kinkerstraat,339,"",H,1053EW,Amsterdam
Kinkerstraat,341,"",1,1053EW,Amsterdam
Kinkerstraat,341,"",2,1053EW,Amsterdam
Kinkerstraat,341,"",3,1053EW,Amsterdam
Kinkerstraat,341,"",H,1053EW,Amsterdam
Kinkerstraat,343,"",1,1053EW,Amsterdam
Kinkerstraat,343,"",2,1053EW,Amsterdam
Kinkerstraat,343,"",3,1053EW,Amsterdam
Kinkerstraat,343,"",H,1053EW,Amsterdam
Kinkerstraat,345,"",1,1053EW,Amsterdam
Kinkerstraat,345,"",2,1053EW,Amsterdam
Kinkerstraat,345,"",3,1053EW,Amsterdam
Kinkerstraat,345,"",H,1053EW,Amsterdam
Kinkerstraat,347,"",1,1053EW,Amsterdam
Kinkerstraat,347,"",2,1053EW,Amsterdam
Kinkerstraat,347,"",3,1053EW,Amsterdam
Kinkerstraat,347,"",H,1053EW,Amsterdam
Kinkerstraat,349,"",1,1053EW,Amsterdam
Kinkerstraat,349,"",2,1053EW,Amsterdam
Kinkerstraat,349,"",3,1053EW,Amsterdam
Kinkerstraat,351,"",1,1053EX,Amsterdam
Kinkerstraat,351,"",2,1053EX,Amsterdam
Kinkerstraat,351,"",3,1053EX,Amsterdam
Kinkerstraat,351,"",H,1053EX,Amsterdam
Kinkerstraat,353,"",1,1053EX,Amsterdam
Kinkerstraat,353,"",2,1053EX,Amsterdam
Kinkerstraat,353,"",3,1053EX,Amsterdam
Kinkerstraat,353,"",H,1053EX,Amsterdam
Kinkerstraat,355,"",1,1053EX,Amsterdam
Kinkerstraat,355,"",2,1053EX,Amsterdam
Kinkerstraat,355,"",3,1053EX,Amsterdam
Kinkerstraat,355,"",H,1053EX,Amsterdam
Kinkerstraat,357,"",1,1053EX,Amsterdam
Kinkerstraat,357,"",2,1053EX,Amsterdam
Kinkerstraat,357,"",3,1053EX,Amsterdam
Kinkerstraat,359,"",1,1053EX,Amsterdam
Kinkerstraat,359,"",2,1053EX,Amsterdam
Kinkerstraat,359,"",3,1053EX,Amsterdam
Kinkerstraat,359,"",H,1053EX,Amsterdam
Kinkerstraat,363,"","",1053EX,Amsterdam
Kinkerstraat,365,A,"",1053EX,Amsterdam
Kinkerstraat,365,B,"",1053EX,Amsterdam
Kinkerstraat,365,C,"",1053EX,Amsterdam
Kinkerstraat,365,D,"",1053EX,Amsterdam
Kinkerstraat,367,"",1,1053EX,Amsterdam
