postcode,straat,huisnummer,huisletter,toevoeging
1063HB,Anton Struikstraat,1,,H
1063HB,Anton Struikstraat,1,,1
1063HB,Anton Struikstraat,2,,H
1063HB,Anton Struikstraat,2,,1
1063HB,Anton Struikstraat,3,,H
1063HB,Anton Struikstraat,3,,1
1063HB,Anton Struikstraat,4,,H
1063HB,Anton Struikstraat,4,,1
1063HB,Anton Struikstraat,5,,H
1063HB,Anton Struikstraat,5,,1
1063HB,Anton Struikstraat,6,,H
1063HB,Anton Struikstraat,6,,1
1063HB,Anton Struikstraat,7,,H
1063HB,Anton Struikstraat,7,,1
1063HB,Anton Struikstraat,8,,H
1063HB,Anton Struikstraat,8,,1
1063HB,Anton Struikstraat,9,,
1063HB,Anton Struikstraat,10,,
1063HB,Anton Struikstraat,11,,
1063HB,Anton Struikstraat,12,,
1063HB,Anton Struikstraat,13,,H
1063HB,Anton Struikstraat,13,,1
1063HB,Anton Struikstraat,14,,H
1063HB,Anton Struikstraat,14,,1
1063HB,Anton Struikstraat,15,,H
1063HB,Anton Struikstraat,15,,1
1063HB,Anton Struikstraat,16,,H
1063HB,Anton Struikstraat,16,,1
1063HC,Anton Struikstraat,17,,H
1063HC,Anton Struikstraat,17,,1
1063HC,Anton Struikstraat,18,,H
1063HC,Anton Struikstraat,18,,1
1063HC,Anton Struikstraat,19,,H
1063HC,Anton Struikstraat,19,,1
1063HC,Anton Struikstraat,20,,H
1063HC,Anton Struikstraat,20,,1
1063HC,Anton Struikstraat,21,,
1063HC,Anton Struikstraat,22,,
1063HC,Anton Struikstraat,23,,
1063HC,Anton Struikstraat,24,,
1063HC,Anton Struikstraat,25,,H
1063HC,Anton Struikstraat,25,,1
1063HC,Anton Struikstraat,26,,H
1063HC,Anton Struikstraat,26,,1
1063HC,Anton Struikstraat,27,,H
1063HC,Anton Struikstraat,27,,1
1063HC,Anton Struikstraat,28,,H
1063HC,Anton Struikstraat,28,,1
1063HC,Anton Struikstraat,29,,H
1063HC,Anton Struikstraat,29,,1
1063HC,Anton Struikstraat,30,,H
1063HC,Anton Struikstraat,30,,1
1063HC,Anton Struikstraat,31,,H
1063HC,Anton Struikstraat,31,,1
1063HC,Anton Struikstraat,32,,H
1063HC,Anton Struikstraat,32,,1
1063HC,Anton Struikstraat,33,,
1063HC,Anton Struikstraat,34,,
1063HC,Anton Struikstraat,35,,
1063HC,Anton Struikstraat,36,,
1063HD,Anton Struikstraat,37,,H
1063HD,Anton Struikstraat,37,,1
1063HD,Anton Struikstraat,38,,H
1063HD,Anton Struikstraat,38,,1
1063HD,Anton Struikstraat,39,,H
1063HD,Anton Struikstraat,39,,1
1063HD,Anton Struikstraat,40,,H
1063HD,Anton Struikstraat,40,,1
1063HD,Anton Struikstraat,41,,H
1063HD,Anton Struikstraat,41,,1
1063HD,Anton Struikstraat,42,,H
1063HD,Anton Struikstraat,42,,1
1063HD,Anton Struikstraat,43,,H
1063HD,Anton Struikstraat,43,,1
1063HD,Anton Struikstraat,44,,H
1063HD,Anton Struikstraat,44,,1
1063HD,Anton Struikstraat,45,,
1063HD,Anton Struikstraat,46,,
1063HD,Anton Struikstraat,47,,
1063HD,Anton Struikstraat,48,,
1063HD,Anton Struikstraat,49,,
1063HD,Anton Struikstraat,50,,
1063HD,Anton Struikstraat,51,,
1063HD,Anton Struikstraat,52,,
1063HD,Anton Struikstraat,53,,
1063HD,Anton Struikstraat,54,,
1063HD,Anton Struikstraat,55,,
1063HD,Anton Struikstraat,56,,
1063GB,Arondeusstraat,1,,
1063GB,Arondeusstraat,5,,
1063GB,Arondeusstraat,7,,
1063GB,Arondeusstraat,9,,
1063GB,Arondeusstraat,11,,
1063GB,Arondeusstraat,13,,
1063GB,Arondeusstraat,15,,
1063GB,Arondeusstraat,17,,
1063GB,Arondeusstraat,19,,
1063GB,Arondeusstraat,21,,
1063GB,Arondeusstraat,23,,
1063GB,Arondeusstraat,25,,
1063GB,Arondeusstraat,27,,
1063GC,Arondeusstraat,2,,
1063GC,Arondeusstraat,4,,
1063GC,Arondeusstraat,6,,
1063GC,Arondeusstraat,8,,
1063GC,Arondeusstraat,10,,
1063GC,Arondeusstraat,12,,
1063GC,Arondeusstraat,14,,
1063GC,Arondeusstraat,16,,
1063GC,Arondeusstraat,18,,
1063GC,Arondeusstraat,20,,
1063GC,Arondeusstraat,22,,
1063GC,Arondeusstraat,24,,
1063GC,Arondeusstraat,26,,
1063GC,Arondeusstraat,28,,
1063GC,Arondeusstraat,34,,
1063GC,Arondeusstraat,36,,
1063GC,Arondeusstraat,38,,
1063GC,Arondeusstraat,40,,
1063GC,Arondeusstraat,42,,
1063GD,Arondeusstraat,44,,H
1063GD,Arondeusstraat,44,,1
1063GD,Arondeusstraat,46,,H
1063GD,Arondeusstraat,46,,1
1063GD,Arondeusstraat,48,,H
1063GD,Arondeusstraat,48,,1
1063GD,Arondeusstraat,50,,H
1063GD,Arondeusstraat,50,,1
1063GD,Arondeusstraat,52,,H
1063GD,Arondeusstraat,52,,1
1063GD,Arondeusstraat,54,,H
1063GD,Arondeusstraat,54,,1
1063GD,Arondeusstraat,56,,H
1063GD,Arondeusstraat,56,,1
1063GD,Arondeusstraat,58,,H
1063GD,Arondeusstraat,58,,1
1063HH,Böhlerpad,1,,
1063HH,Böhlerpad,2,,
1063HH,Böhlerpad,3,,
1063BS,Burgemeester De Vlugtlaan,156,,
1063BS,Burgemeester De Vlugtlaan,160,,
1063BS,Burgemeester De Vlugtlaan,164,,
1063BS,Burgemeester De Vlugtlaan,166,,
1063BS,Burgemeester De Vlugtlaan,166,,
1063BS,Burgemeester De Vlugtlaan,168,,
1063BS,Burgemeester De Vlugtlaan,168,,
1063BS,Burgemeester De Vlugtlaan,186,,
1063BS,Burgemeester De Vlugtlaan,188,,
1063BS,Burgemeester De Vlugtlaan,190,,
1063EV,Burgemeester Eliasstraat,25,,H
1063EV,Burgemeester Eliasstraat,25,,1
1063EV,Burgemeester Eliasstraat,25,,2
1063EV,Burgemeester Eliasstraat,27,,H
1063EV,Burgemeester Eliasstraat,27,,1
1063EV,Burgemeester Eliasstraat,27,,2
1063EV,Burgemeester Eliasstraat,29,,H
1063EV,Burgemeester Eliasstraat,29,,1
1063EV,Burgemeester Eliasstraat,29,,2
1063EV,Burgemeester Eliasstraat,31,,H
1063EV,Burgemeester Eliasstraat,31,,1
1063EV,Burgemeester Eliasstraat,31,,2
1063EV,Burgemeester Eliasstraat,33,,H
1063EV,Burgemeester Eliasstraat,33,,1
