straat,huisnummer,huisletter,toevoeging,postcode,plaats
Maroastraat,10,"","",1060LG,Amsterdam
Maroastraat,103,"","",1060LG,Amsterdam
Maroastraat,11,"","",1060LG,Amsterdam
Maroastraat,113,"","",1060LG,Amsterdam
Maroastraat,12,"","",1060LG,Amsterdam
Maroastraat,13,"","",1060LG,Amsterdam
Maroastraat,14,"","",1060LG,Amsterdam
Maroastraat,15,"","",1060LG,Amsterdam
Maroastraat,16,"","",1060LG,Amsterdam
Maroastraat,17,"","",1060LG,Amsterdam
Maroastraat,18,"","",1060LG,Amsterdam
Maroastraat,19,"","",1060LG,Amsterdam
Maroastraat,2,"","",1060LG,Amsterdam
Maroastraat,20,"","",1060LG,Amsterdam
Maroastraat,21,"","",1060LG,Amsterdam
Maroastraat,22,"","",1060LG,Amsterdam
Maroastraat,23,"","",1060LG,Amsterdam
Maroastraat,24,"","",1060LG,Amsterdam
Maroastraat,25,"","",1060LG,Amsterdam
Maroastraat,26,"","",1060LG,Amsterdam
Maroastraat,27,"","",1060LG,Amsterdam
Maroastraat,29,"","",1060LG,Amsterdam
Maroastraat,3,"","",1060LG,Amsterdam
Maroastraat,31,"","",1060LG,Amsterdam
Maroastraat,33,"","",1060LG,Amsterdam
Maroastraat,35,"","",1060LG,Amsterdam
Maroastraat,37,"","",1060LG,Amsterdam
Maroastraat,39,"","",1060LG,Amsterdam
Maroastraat,4,"","",1060LG,Amsterdam
Maroastraat,43,"","",1060LG,Amsterdam
Maroastraat,5,"","",1060LG,Amsterdam
Maroastraat,50,"","",1060LG,Amsterdam
Maroastraat,6,"","",1060LG,Amsterdam
Maroastraat,7,"","",1060LG,Amsterdam
Maroastraat,75,"","",1060LG,Amsterdam
Maroastraat,77,"","",1060LG,Amsterdam
Maroastraat,79,"","",1060LG,Amsterdam
Maroastraat,8,"","",1060LG,Amsterdam
Maroastraat,80,"","",1060LG,Amsterdam
Maroastraat,80,A,"",1060LG,Amsterdam
Maroastraat,81,"","",1060LG,Amsterdam
Maroastraat,83,"","",1060LG,Amsterdam
Maroastraat,9,"","",1060LG,Amsterdam
Maroastraat,93,"","",1060LG,Amsterdam
Etnastraat,30,"","",1060LH,Amsterdam
Etnastraat,31,"","",1060LH,Amsterdam
Fogostraat,1,"","",1060LJ,Amsterdam
Fogostraat,10,"","",1060LJ,Amsterdam
Fogostraat,10,A,"",1060LJ,Amsterdam
Fogostraat,12,"","",1060LJ,Amsterdam
Fogostraat,13,"","",1060LJ,Amsterdam
Fogostraat,3,"","",1060LJ,Amsterdam
Fogostraat,8,"","",1060LJ,Amsterdam
Ookmeerweg,501,"","",1067MP,Amsterdam
Ookmeerweg,269,"","",1067SP,Amsterdam
Ookmeerweg,271,"","",1067SP,Amsterdam
Ookmeerweg,271,A,"",1067SP,Amsterdam
Ookmeerweg,273,"","",1067SP,Amsterdam
Ookmeerweg,273,"","",1067SP,Amsterdam
Ookmeerweg,274,"","",1067SP,Amsterdam
Ookmeerweg,274,"","",1067SP,Amsterdam
Ookmeerweg,274,A,"",1067SP,Amsterdam
Ookmeerweg,275,"","",1067SP,Amsterdam
Ookmeerweg,276,"","",1067SP,Amsterdam
Ookmeerweg,277,"","",1067SP,Amsterdam
Ookmeerweg,278,"","",1067SP,Amsterdam
Ookmeerweg,279,"","",1067SP,Amsterdam
Bromostraat,10,"","",1067TG,Amsterdam
Bromostraat,15,"","",1067TG,Amsterdam
Bromostraat,17,"","",1067TG,Amsterdam
Bromostraat,18,"","",1067TG,Amsterdam
Bromostraat,19,"","",1067TG,Amsterdam
Bromostraat,21,"","",1067TG,Amsterdam
Bromostraat,22,"","",1067TG,Amsterdam
Bromostraat,24,"","",1067TG,Amsterdam
Bromostraat,27,"","",1067TG,Amsterdam
Bromostraat,33,"","",1067TG,Amsterdam
Bromostraat,35,"","",1067TG,Amsterdam
Bromostraat,37,"","",1067TG,Amsterdam
Bromostraat,39,"","",1067TG,Amsterdam
Bromostraat,41,"","",1067TG,Amsterdam
Bromostraat,43,"","",1067TG,Amsterdam
Bromostraat,45,"","",1067TG,Amsterdam
Bromostraat,47,"","",1067TG,Amsterdam
Lutkemeerweg,154,A,"",1067TH,Amsterdam
Lutkemeerweg,154,B,"",1067TH,Amsterdam
Lutkemeerweg,154,C,"",1067TH,Amsterdam
Lutkemeerweg,154,D,"",1067TH,Amsterdam
Lutkemeerweg,154,E,"",1067TH,Amsterdam
Lutkemeerweg,154,F,"",1067TH,Amsterdam
Lutkemeerweg,180,"","",1067TH,Amsterdam
Lutkemeerweg,186,"","",1067TH,Amsterdam
Lutkemeerweg,188,"","",1067TH,Amsterdam
Lutkemeerweg,190,"","",1067TH,Amsterdam
Lutkemeerweg,192,"","",1067TH,Amsterdam
Lutkemeerweg,194,"","",1067TH,Amsterdam
Lutkemeerweg,2,"","",1067TH,Amsterdam
Lutkemeerweg,20,"","",1067TH,Amsterdam
Lutkemeerweg,208,"","",1067TH,Amsterdam
Lutkemeerweg,212,"","",1067TH,Amsterdam
Lutkemeerweg,214,"","",1067TH,Amsterdam
Lutkemeerweg,214,"","",1067TH,Amsterdam
Lutkemeerweg,218,"","",1067TH,Amsterdam
