straat,huisnummer,huisletter,toevoeging,postcode,plaats
Jan Tooropstraat,1001,"","",1061AE,Amsterdam
Jan Tooropstraat,107,"","",1061AE,Amsterdam
Jan Tooropstraat,109,"","",1061AE,Amsterdam
Jan Tooropstraat,111,"","",1061AE,Amsterdam
Jan Tooropstraat,113,"","",1061AE,Amsterdam
Jan Tooropstraat,115,"","",1061AE,Amsterdam
Jan Tooropstraat,117,"","",1061AE,Amsterdam
Jan Tooropstraat,119,"","",1061AE,Amsterdam
Jan Tooropstraat,119,"","",1061AE,Amsterdam
Jan Tooropstraat,121,"","",1061AE,Amsterdam
Jan Tooropstraat,121,"","",1061AE,Amsterdam
Jan Tooropstraat,123,"","",1061AE,Amsterdam
Jan Tooropstraat,123,"","",1061AE,Amsterdam
Jan Tooropstraat,125,"","",1061AE,Amsterdam
Jan Tooropstraat,125,"","",1061AE,Amsterdam
Jan Tooropstraat,127,"","",1061AE,Amsterdam
Jan Tooropstraat,127,"","",1061AE,Amsterdam
Jan Tooropstraat,129,"","",1061AE,Amsterdam
Jan Tooropstraat,129,"","",1061AE,Amsterdam
Jan Tooropstraat,131,"","",1061AE,Amsterdam
Jan Tooropstraat,131,"","",1061AE,Amsterdam
Jan Tooropstraat,133,"","",1061AE,Amsterdam
Jan Tooropstraat,133,"","",1061AE,Amsterdam
Jan Tooropstraat,135,"","",1061AE,Amsterdam
Jan Tooropstraat,135,"","",1061AE,Amsterdam
Jan Tooropstraat,137,"","",1061AE,Amsterdam
Jan Tooropstraat,137,"","",1061AE,Amsterdam
Jan Tooropstraat,139,"","",1061AE,Amsterdam
Jan Tooropstraat,141,"","",1061AE,Amsterdam
Jan Tooropstraat,142,A,"",1061AE,Amsterdam
Jan Tooropstraat,142,B,"",1061AE,Amsterdam
Jan Tooropstraat,142,C,"",1061AE,Amsterdam
Jan Tooropstraat,142,D,"",1061AE,Amsterdam
Jan Tooropstraat,142,E,"",1061AE,Amsterdam
Jan Tooropstraat,142,F,"",1061AE,Amsterdam
Jan Tooropstraat,142,G,"",1061AE,Amsterdam
Jan Tooropstraat,142,H,"",1061AE,Amsterdam
Jan Tooropstraat,142,K,"",1061AE,Amsterdam
Jan Tooropstraat,142,L,"",1061AE,Amsterdam
Jan Tooropstraat,142,M,"",1061AE,Amsterdam
Jan Tooropstraat,142,N,"",1061AE,Amsterdam
Jan Tooropstraat,142,P,"",1061AE,Amsterdam
Jan Tooropstraat,142,R,"",1061AE,Amsterdam
Jan Tooropstraat,142,S,"",1061AE,Amsterdam
Jan Tooropstraat,142,T,"",1061AE,Amsterdam
Jan Tooropstraat,142,U,"",1061AE,Amsterdam
Jan Tooropstraat,142,V,"",1061AE,Amsterdam
Jan Tooropstraat,142,W,"",1061AE,Amsterdam
Jan Tooropstraat,142,X,"",1061AE,Amsterdam
Jan Tooropstraat,142,Y,"",1061AE,Amsterdam
Jan Tooropstraat,164,"","",1061AE,Amsterdam
Jan Tooropstraat,164,B,"",1061AE,Amsterdam
Jan Tooropstraat,164,C,"",1061AE,Amsterdam
Jan Tooropstraat,170,"","",1061AE,Amsterdam
Jan Tooropstraat,172,"","",1061AE,Amsterdam
Jan Tooropstraat,401,"","",1061AE,Amsterdam
Jan Tooropstraat,403,A,"",1061AE,Amsterdam
Jan Tooropstraat,403,B,"",1061AE,Amsterdam
Jan Tooropstraat,403,C,"",1061AE,Amsterdam
Jan Tooropstraat,403,D,"",1061AE,Amsterdam
Jan Tooropstraat,403,E,"",1061AE,Amsterdam
Jan Tooropstraat,403,F,"",1061AE,Amsterdam
Jan Tooropstraat,403,G,"",1061AE,Amsterdam
Jan Tooropstraat,411,A,"",1061AE,Amsterdam
Jan Tooropstraat,411,B,"",1061AE,Amsterdam
Jan Tooropstraat,411,C,"",1061AE,Amsterdam
Jan Tooropstraat,411,D,"",1061AE,Amsterdam
Jan Tooropstraat,411,E,"",1061AE,Amsterdam
Jan Tooropstraat,411,F,"",1061AE,Amsterdam
Jan Tooropstraat,411,G,"",1061AE,Amsterdam
Jan Tooropstraat,419,A,"",1061AE,Amsterdam
Jan Tooropstraat,419,B,"",1061AE,Amsterdam
Jan Tooropstraat,419,C,"",1061AE,Amsterdam
Jan Tooropstraat,419,D,"",1061AE,Amsterdam
Jan Tooropstraat,419,E,"",1061AE,Amsterdam
Jan Tooropstraat,419,F,"",1061AE,Amsterdam
Jan Tooropstraat,419,G,"",1061AE,Amsterdam
Jan Tooropstraat,427,A,"",1061AE,Amsterdam
Jan Tooropstraat,427,B,"",1061AE,Amsterdam
Jan Tooropstraat,427,C,"",1061AE,Amsterdam
Jan Tooropstraat,427,D,"",1061AE,Amsterdam
Jan Tooropstraat,427,E,"",1061AE,Amsterdam
Jan Tooropstraat,427,F,"",1061AE,Amsterdam
Jan Tooropstraat,427,G,"",1061AE,Amsterdam
Jan Tooropstraat,435,"","",1061AE,Amsterdam
Jan Tooropstraat,437,"","",1061AE,Amsterdam
Jan Tooropstraat,439,"","",1061AE,Amsterdam
Jan Tooropstraat,441,"","",1061AE,Amsterdam
Jan Tooropstraat,443,"","",1061AE,Amsterdam
Jan Tooropstraat,445,"","",1061AE,Amsterdam
Jan Tooropstraat,447,"","",1061AE,Amsterdam
Jan Tooropstraat,449,"","",1061AE,Amsterdam
Jan Tooropstraat,451,"","",1061AE,Amsterdam
Jan Tooropstraat,453,"","",1061AE,Amsterdam
Jan Tooropstraat,455,"","",1061AE,Amsterdam
Jan Tooropstraat,457,"","",1061AE,Amsterdam
Jan Tooropstraat,459,"","",1061AE,Amsterdam
Jan Tooropstraat,461,"","",1061AE,Amsterdam
Jan Tooropstraat,463,"","",1061AE,Amsterdam
Jan Tooropstraat,465,"","",1061AE,Amsterdam
Jan Tooropstraat,467,"","",1061AE,Amsterdam
Jan Tooropstraat,469,"","",1061AE,Amsterdam
Jan Tooropstraat,471,"","",1061AE,Amsterdam
Jan Tooropstraat,473,"","",1061AE,Amsterdam
Jan Tooropstraat,475,"","",1061AE,Amsterdam
Jan Tooropstraat,477,"","",1061AE,Amsterdam
Jan Tooropstraat,479,"","",1061AE,Amsterdam
Jan Tooropstraat,481,"","",1061AE,Amsterdam
Jan Tooropstraat,483,"","",1061AE,Amsterdam
Jan Tooropstraat,483,"","",1061AE,Amsterdam
Jan Tooropstraat,485,"","",1061AE,Amsterdam
Jan Tooropstraat,487,"","",1061AE,Amsterdam
Jan Tooropstraat,489,"","",1061AE,Amsterdam
