straat,huisnummer,huisletter,toevoeging,postcode,plaats
Plesmanlaan,121,"","",1066CX,Amsterdam
Plesmanlaan,121,A,"",1066CX,Amsterdam
Plesmanlaan,121,T,"",1066CX,Amsterdam
Plesmanlaan,121,U,"",1066CX,Amsterdam
Plesmanlaan,123,"","",1066CX,Amsterdam
Plesmanlaan,123,B,"",1066CX,Amsterdam
Plesmanlaan,125,"","",1066CX,Amsterdam
Plesmanlaan,125,C,"",1066CX,Amsterdam
Plesmanlaan,125,C,"",1066CX,Amsterdam
Plesmanlaan,125,C,"",1066CX,Amsterdam
Plesmanlaan,125,H,"",1066CX,Amsterdam
Plesmanlaan,125,H,"",1066CX,Amsterdam
Plesmanlaan,125,H,"",1066CX,Amsterdam
Plesmanlaan,125,Y,"",1066CX,Amsterdam
Plesmanlaan,128,"","",1066CX,Amsterdam
Plesmanlaan,129,"","",1066CX,Amsterdam
Plesmanlaan,130,"","",1066CX,Amsterdam
Plesmanlaan,131,"","",1066CX,Amsterdam
Plesmanlaan,131,A,"",1066CX,Amsterdam
Plesmanlaan,131,B,"",1066CX,Amsterdam
Plesmanlaan,132,"","",1066CX,Amsterdam
Plesmanlaan,133,"","",1066CX,Amsterdam
Plesmanlaan,134,"","",1066CX,Amsterdam
Plesmanlaan,135,"","",1066CX,Amsterdam
Plesmanlaan,137,A,"",1066CX,Amsterdam
Plesmanlaan,137,B,"",1066CX,Amsterdam
Plesmanlaan,137,C,"",1066CX,Amsterdam
Plesmanlaan,137,C,"",1066CX,Amsterdam
Plesmanlaan,137,C,"",1066CX,Amsterdam
Plesmanlaan,139,"","",1066CX,Amsterdam
Plesmanlaan,140,"","",1066CX,Amsterdam
Plesmanlaan,141,"","",1066CX,Amsterdam
Plesmanlaan,141,"","",1066CX,Amsterdam
Plesmanlaan,142,"","",1066CX,Amsterdam
Plesmanlaan,144,"","",1066CX,Amsterdam
Plesmanlaan,145,"","",1066CX,Amsterdam
Louweshoek,1,"","",1066DM,Amsterdam
Louweshoek,10,"","",1066DM,Amsterdam
Louweshoek,11,"","",1066DM,Amsterdam
Louweshoek,12,"","",1066DM,Amsterdam
Louweshoek,13,"","",1066DM,Amsterdam
Louweshoek,14,"","",1066DM,Amsterdam
Louweshoek,15,"","",1066DM,Amsterdam
Louweshoek,16,"","",1066DM,Amsterdam
Louweshoek,17,"","",1066DM,Amsterdam
Louweshoek,18,"","",1066DM,Amsterdam
Louweshoek,19,"","",1066DM,Amsterdam
Louweshoek,2,"","",1066DM,Amsterdam
Louweshoek,3,"","",1066DM,Amsterdam
Louweshoek,4,"","",1066DM,Amsterdam
Louweshoek,5,"","",1066DM,Amsterdam
Louweshoek,6,"","",1066DM,Amsterdam
Louweshoek,7,"","",1066DM,Amsterdam
Louweshoek,8,"","",1066DM,Amsterdam
Louweshoek,9,"","",1066DM,Amsterdam
Louweshoek,20,"","",1066DN,Amsterdam
Louweshoek,21,"","",1066DN,Amsterdam
Louweshoek,22,"","",1066DN,Amsterdam
Louweshoek,23,"","",1066DN,Amsterdam
Louweshoek,24,"","",1066DN,Amsterdam
Louweshoek,25,"","",1066DN,Amsterdam
Louweshoek,26,"","",1066DN,Amsterdam
Louweshoek,27,"","",1066DN,Amsterdam
Louweshoek,28,"","",1066DN,Amsterdam
Louweshoek,29,"","",1066DN,Amsterdam
Louweshoek,30,"","",1066DN,Amsterdam
Louweshoek,31,"","",1066DN,Amsterdam
Louweshoek,32,"","",1066DN,Amsterdam
Louweshoek,33,"","",1066DN,Amsterdam
Louweshoek,34,"","",1066DN,Amsterdam
Louweshoek,35,"","",1066DN,Amsterdam
Louweshoek,36,"","",1066DN,Amsterdam
Louweshoek,37,"","",1066DN,Amsterdam
Louweshoek,39,"","",1066DN,Amsterdam
Louweshoek,101,"","",1066DP,Amsterdam
Louweshoek,102,"","",1066DP,Amsterdam
Louweshoek,103,"","",1066DP,Amsterdam
Louweshoek,104,"","",1066DP,Amsterdam
Louweshoek,105,"","",1066DP,Amsterdam
Louweshoek,106,"","",1066DP,Amsterdam
Louweshoek,107,"","",1066DP,Amsterdam
Louweshoek,108,"","",1066DP,Amsterdam
Louweshoek,109,"","",1066DP,Amsterdam
Louweshoek,110,"","",1066DP,Amsterdam
Louweshoek,111,"","",1066DP,Amsterdam
Louweshoek,112,"","",1066DP,Amsterdam
Louweshoek,113,"","",1066DP,Amsterdam
Louweshoek,114,"","",1066DP,Amsterdam
Louweshoek,115,"","",1066DP,Amsterdam
Louweshoek,116,"","",1066DP,Amsterdam
Louweshoek,117,"","",1066DP,Amsterdam
Louweshoek,118,"","",1066DP,Amsterdam
Louweshoek,119,"","",1066DP,Amsterdam
Louweshoek,120,"","",1066DP,Amsterdam
Louweshoek,121,"","",1066DP,Amsterdam
Louweshoek,122,"","",1066DR,Amsterdam
Louweshoek,123,"","",1066DR,Amsterdam
Louweshoek,124,"","",1066DR,Amsterdam
Louweshoek,125,"","",1066DR,Amsterdam
Louweshoek,126,"","",1066DR,Amsterdam
Louweshoek,127,"","",1066DR,Amsterdam
Louweshoek,128,"","",1066DR,Amsterdam
Louweshoek,129,"","",1066DR,Amsterdam
Louweshoek,130,"","",1066DR,Amsterdam
Louweshoek,131,"","",1066DR,Amsterdam
Louweshoek,132,"","",1066DR,Amsterdam
Louweshoek,133,"","",1066DR,Amsterdam
Louweshoek,134,"","",1066DR,Amsterdam
Louweshoek,135,"","",1066DR,Amsterdam
