straat,huisnummer,huisletter,toevoeging,postcode,plaats
Pieter Lastmankade,211,"","",1075KA,Amsterdam
Pieter Lastmankade,212,"","",1075KA,Amsterdam
Pieter Lastmankade,232,"","",1075KA,Amsterdam
Pieter Lastmankade,233,"","",1075KA,Amsterdam
Pieter Lastmankade,213,"","",1075KH,Amsterdam
Pieter Lastmankade,214,"","",1075KH,Amsterdam
Pieter Lastmankade,215,"","",1075KH,Amsterdam
Pieter Lastmankade,216,"","",1075KH,Amsterdam
Pieter Lastmankade,217,"","",1075KH,Amsterdam
Pieter Lastmankade,218,"","",1075KH,Amsterdam
Pieter Lastmankade,219,"","",1075KH,Amsterdam
Pieter Lastmankade,220,"","",1075KH,Amsterdam
Pieter Lastmankade,221,"","",1075KH,Amsterdam
Pieter Lastmankade,222,"","",1075KH,Amsterdam
Pieter Lastmankade,223,"","",1075KH,Amsterdam
Pieter Lastmankade,224,"","",1075KH,Amsterdam
Pieter Lastmankade,225,"","",1075KH,Amsterdam
Pieter Lastmankade,226,"","",1075KH,Amsterdam
Pieter Lastmankade,227,"","",1075KH,Amsterdam
Pieter Lastmankade,228,"","",1075KH,Amsterdam
Pieter Lastmankade,229,"","",1075KH,Amsterdam
Pieter Lastmankade,230,"","",1075KH,Amsterdam
Pieter Lastmankade,231,"","",1075KH,Amsterdam
Karperstraat,1,"",1,1075KV,Amsterdam
Karperstraat,1,"",2,1075KV,Amsterdam
Karperstraat,1,"",3,1075KV,Amsterdam
Karperstraat,1,"",H,1075KV,Amsterdam
Karperstraat,1,"",H,1075KV,Amsterdam
Karperstraat,3,"",1,1075KV,Amsterdam
Karperstraat,3,"",2,1075KV,Amsterdam
Karperstraat,3,"",3,1075KV,Amsterdam
Karperstraat,3,"",H,1075KV,Amsterdam
Karperstraat,3,"",H,1075KV,Amsterdam
Karperstraat,5,"",1,1075KV,Amsterdam
Karperstraat,5,"",2,1075KV,Amsterdam
Karperstraat,5,"",3,1075KV,Amsterdam
Karperstraat,7,"",1,1075KV,Amsterdam
Karperstraat,7,"",2,1075KV,Amsterdam
Karperstraat,7,"",3,1075KV,Amsterdam
Karperstraat,7,"",H,1075KV,Amsterdam
Karperstraat,9,"",1,1075KV,Amsterdam
Karperstraat,9,"",2,1075KV,Amsterdam
Karperstraat,9,"",3,1075KV,Amsterdam
Karperstraat,11,"",1,1075KW,Amsterdam
Karperstraat,11,"",2,1075KW,Amsterdam
Karperstraat,11,"",3,1075KW,Amsterdam
Karperstraat,11,"",H,1075KW,Amsterdam
Karperstraat,13,"",1,1075KW,Amsterdam
Karperstraat,13,"",2,1075KW,Amsterdam
Karperstraat,13,"",3,1075KW,Amsterdam
Karperstraat,15,"",1,1075KW,Amsterdam
Karperstraat,15,"",2,1075KW,Amsterdam
Karperstraat,15,"",3,1075KW,Amsterdam
Karperstraat,17,"",1,1075KW,Amsterdam
Karperstraat,17,"",2,1075KW,Amsterdam
Karperstraat,17,"",3,1075KW,Amsterdam
Karperstraat,17,"",H,1075KW,Amsterdam
Karperstraat,17,"",H,1075KW,Amsterdam
Karperstraat,19,"",1,1075KW,Amsterdam
Karperstraat,19,"",2,1075KW,Amsterdam
Karperstraat,19,"",3,1075KW,Amsterdam
Karperstraat,19,"",H,1075KW,Amsterdam
Karperstraat,19,"",H,1075KW,Amsterdam
Karperstraat,19,A,"",1075KW,Amsterdam
Karperstraat,19,B,"",1075KW,Amsterdam
Karperstraat,21,"",1,1075KW,Amsterdam
Karperstraat,21,"",2,1075KW,Amsterdam
Karperstraat,21,"",3,1075KW,Amsterdam
Karperstraat,17,"",H,1075KX,Amsterdam
Karperstraat,19,"",H,1075KX,Amsterdam
Karperstraat,23,"",1,1075KX,Amsterdam
Karperstraat,23,"",2,1075KX,Amsterdam
Karperstraat,23,"",3,1075KX,Amsterdam
Karperstraat,25,"",1,1075KX,Amsterdam
Karperstraat,25,"",2,1075KX,Amsterdam
Karperstraat,25,"",3,1075KX,Amsterdam
Karperstraat,25,"",H,1075KX,Amsterdam
Karperstraat,25,A,"",1075KX,Amsterdam
Karperstraat,27,"",1,1075KX,Amsterdam
Karperstraat,27,"",2,1075KX,Amsterdam
Karperstraat,27,"",3,1075KX,Amsterdam
Karperstraat,27,"",H,1075KX,Amsterdam
Karperstraat,29,"",1,1075KX,Amsterdam
Karperstraat,29,"",2,1075KX,Amsterdam
Karperstraat,29,"",3,1075KX,Amsterdam
Karperstraat,29,"",H,1075KX,Amsterdam
Karperstraat,10,"","",1075KZ,Amsterdam
Karperstraat,10,"","",1075KZ,Amsterdam
Karperstraat,2,"","",1075KZ,Amsterdam
Karperstraat,4,"","",1075KZ,Amsterdam
Karperstraat,6,A,"",1075KZ,Amsterdam
Karperstraat,6,B,"",1075KZ,Amsterdam
Karperstraat,6,C,"",1075KZ,Amsterdam
Karperstraat,8,"","",1075KZ,Amsterdam
Karperweg,1,"","",1075LA,Amsterdam
Karperweg,11,"",1,1075LA,Amsterdam
Karperweg,11,"",2,1075LA,Amsterdam
Karperweg,11,"",3,1075LA,Amsterdam
Karperweg,11,"",H,1075LA,Amsterdam
Karperweg,3,"",1,1075LA,Amsterdam
Karperweg,3,"",2,1075LA,Amsterdam
Karperweg,3,"",3,1075LA,Amsterdam
Karperweg,3,"",H,1075LA,Amsterdam
Karperweg,3,"",H,1075LA,Amsterdam
Karperweg,3,"",H,1075LA,Amsterdam
Karperweg,5,"",1,1075LA,Amsterdam
Karperweg,5,"",1,1075LA,Amsterdam
Karperweg,5,"",2,1075LA,Amsterdam
Karperweg,5,"",3,1075LA,Amsterdam
Karperweg,5,"",H,1075LA,Amsterdam
Karperweg,5,"",H,1075LA,Amsterdam
Karperweg,5,A,"",1075LA,Amsterdam
Karperweg,5,B,"",1075LA,Amsterdam
Karperweg,7,"",1,1075LA,Amsterdam
Karperweg,7,"",2,1075LA,Amsterdam
Karperweg,7,"",3,1075LA,Amsterdam
Karperweg,7,"",H,1075LA,Amsterdam
Karperweg,7,A,"",1075LA,Amsterdam
Karperweg,7,B,"",1075LA,Amsterdam
Karperweg,9,"",1,1075LA,Amsterdam
Karperweg,9,"",2,1075LA,Amsterdam
Karperweg,9,"",3,1075LA,Amsterdam
Karperweg,9,"",4,1075LA,Amsterdam
Karperweg,9,"",H,1075LA,Amsterdam
Karperweg,15,"","",1075LB,Amsterdam
Karperweg,15,A,"",1075LB,Amsterdam
Karperweg,15,B,"",1075LB,Amsterdam
Karperweg,17,"","",1075LB,Amsterdam
Karperweg,17,A,"",1075LB,Amsterdam
Karperweg,17,B,"",1075LB,Amsterdam
Karperweg,19,"","",1075LB,Amsterdam
Karperweg,21,"","",1075LB,Amsterdam
Karperweg,23,"","",1075LB,Amsterdam
Karperweg,25,"","",1075LB,Amsterdam
Karperweg,27,"","",1075LB,Amsterdam
