postcode,straat,huisnummer,huisletter,toevoeging
1071XZ,Hobbemastraat,1,,
1071XZ,Hobbemastraat,13,,
1071XZ,Hobbemastraat,19,,
1071XZ,Hobbemastraat,19,,A
1071XZ,Hobbemastraat,21,,
1071XZ,Hobbemastraat,25,,
1071ZB,Hobbemastraat,10,B,
1071ZB,Hobbemastraat,12,,
1071ZB,Hobbemastraat,14,,
1071ZB,Hobbemastraat,16,,
1071DE,Honthorststraat,14,,
1071DE,Honthorststraat,16,,H
1071DE,Honthorststraat,16,,2
1071DE,Honthorststraat,20,,
1071DJ,Museumplein,1,,
1071DJ,Museumplein,4,,
1071DJ,Museumplein,5,,
1071DJ,Museumplein,9,,
1071DJ,Museumplein,11,,
1071DJ,Museumplein,13,,
1071DJ,Museumplein,15,,
1071DJ,Museumplein,17,,
1071DJ,Museumplein,19,,
1071CX,Paulus Potterstraat,5,,H
1071CX,Paulus Potterstraat,5,,1
1071CX,Paulus Potterstraat,5,,2
1071CX,Paulus Potterstraat,5,,3
1071CX,Paulus Potterstraat,5,,4
1071CX,Paulus Potterstraat,7,,
1071DB,Paulus Potterstraat,32,,H
1071DB,Paulus Potterstraat,32,,3
1071DB,Paulus Potterstraat,34,,
1071DB,Paulus Potterstraat,36,,
1071DB,Paulus Potterstraat,38,,
1071DB,Paulus Potterstraat,40,,H
1071DB,Paulus Potterstraat,42,,H
1071DB,Paulus Potterstraat,44,,
1071ZD,Stadhouderskade,25,,
1071ZD,Stadhouderskade,25,A,
1071ZD,Stadhouderskade,29,A,H
1071ZD,Stadhouderskade,29,A,3
1071ZD,Stadhouderskade,29,A,4
1071ZD,Stadhouderskade,30,,H
1071ZD,Stadhouderskade,30,,3
1071ZD,Stadhouderskade,31,,
1071ZD,Stadhouderskade,32,,
1071ZD,Stadhouderskade,33,,
1071ZD,Stadhouderskade,34,,
1071AN,Van Baerlestraat,19,,H
1071AN,Van Baerlestraat,19,,2
1071AN,Van Baerlestraat,19,,3
1071AN,Van Baerlestraat,21,,H
1071AN,Van Baerlestraat,21,,1
1071AN,Van Baerlestraat,21,,2
1071AN,Van Baerlestraat,21,,3
1071AN,Van Baerlestraat,23,,
1071AN,Van Baerlestraat,27,,
1071AP,Van Baerlestraat,35,,H
1071AP,Van Baerlestraat,35,,1
1071AP,Van Baerlestraat,39,,H
1071AP,Van Baerlestraat,39,,1
1071AP,Van Baerlestraat,41,,H
1071AP,Van Baerlestraat,41,,1
1071AP,Van Baerlestraat,43,,H
1071AP,Van Baerlestraat,43,,1
1071AP,Van Baerlestraat,45,,H
1071AP,Van Baerlestraat,45,,1
1071AP,Van Baerlestraat,47,,H
1071AP,Van Baerlestraat,47,,1
1071AP,Van Baerlestraat,49,,H
1071AP,Van Baerlestraat,49,,1
1071AP,Van Baerlestraat,51,,H
1071AP,Van Baerlestraat,51,,1
1071DJ,Museumplein,7,,1
1071DJ,Museumplein,7,,2
1071DJ,Museumplein,7,,3
1071DB,Paulus Potterstraat,42,,3
1071ZD,Stadhouderskade,30,,4
1071ZD,Stadhouderskade,42,,
1071AP,Van Baerlestraat,37,,
1071DE,Honthorststraat,12,,
1071ZB,Hobbemastraat,18,,
1071CX,Paulus Potterstraat,1,,
1071CX,Paulus Potterstraat,3,,
1071AP,Van Baerlestraat,33,A,
1071AP,Van Baerlestraat,33,B,
1071DB,Willem Sandbergplein,1,,
1071CX,Paulus Potterstraat,3,A,
1071CX,Paulus Potterstraat,3,B,
1071CX,Paulus Potterstraat,3,C,
1071CX,Paulus Potterstraat,3,D,
1071CX,Paulus Potterstraat,3,E,
1071ZD,Stadhouderskade,40,,
1071ZD,Stadhouderskade,41,,
1071ZD,Stadhouderskade,35,,
1071ZB,Hobbemastraat,10,A,
1071DB,Paulus Potterstraat,40,,3
1071DB,Paulus Potterstraat,40,,4
1071AN,Van Baerlestraat,25,,
1071XZ,Hobbemastraat,15,,
1071DJ,Museumplein,10,,
1071DJ,Museumplein,5,A,
1071DJ,Museumplein,5,B,
1071DJ,Museumplein,5,C,
1071DJ,Museumplein,5,D,
1071DJ,Museumplein,5,E,
1071DJ,Museumplein,5,F,
1071CX,Paulus Potterstraat,13,,
1071AN,Van Baerlestraat,27,Z,99
1071AN,Van Baerlestraat,27,,
1071DE,Honthorststraat,16,,H
1071DB,Paulus Potterstraat,50,,
