straat,huisnummer,huisletter,toevoeging,postcode,plaats
Van Baerlestraat,101,"",1,1071AV,Amsterdam
Van Baerlestraat,101,"",2,1071AV,Amsterdam
Van Baerlestraat,101,"",3,1071AV,Amsterdam
Van Baerlestraat,101,"",H,1071AV,Amsterdam
Van Baerlestraat,103,"",1,1071AV,Amsterdam
Van Baerlestraat,103,"",2,1071AV,Amsterdam
Van Baerlestraat,103,"",3,1071AV,Amsterdam
Van Baerlestraat,103,"",4,1071AV,Amsterdam
Van Baerlestraat,97,"",1,1071AV,Amsterdam
Van Baerlestraat,97,"",2,1071AV,Amsterdam
Van Baerlestraat,97,"",3,1071AV,Amsterdam
Van Baerlestraat,97,"",H,1071AV,Amsterdam
Van Baerlestraat,99,"",1,1071AV,Amsterdam
Van Baerlestraat,99,"",2,1071AV,Amsterdam
Van Baerlestraat,99,"",3,1071AV,Amsterdam
Van Baerlestraat,99,"",H,1071AV,Amsterdam
Roelof Hartplein,1,"","",1071TR,Amsterdam
Roelof Hartplein,11,"",2,1071TR,Amsterdam
Roelof Hartplein,11,"",3,1071TR,Amsterdam
Roelof Hartplein,11,"",H,1071TR,Amsterdam
Roelof Hartplein,5,"",1,1071TR,Amsterdam
Roelof Hartplein,5,"",2,1071TR,Amsterdam
Roelof Hartplein,5,"",3,1071TR,Amsterdam
Roelof Hartplein,7,"",1,1071TR,Amsterdam
Roelof Hartplein,7,"",2,1071TR,Amsterdam
Roelof Hartplein,7,"",3,1071TR,Amsterdam
Roelof Hartplein,7,"",H,1071TR,Amsterdam
Roelof Hartplein,9,"",1,1071TR,Amsterdam
Roelof Hartplein,9,"",2,1071TR,Amsterdam
Roelof Hartplein,9,"",3,1071TR,Amsterdam
Roelof Hartplein,9,"",H,1071TR,Amsterdam
Roelof Hartplein,13,"",2,1071TS,Amsterdam
Roelof Hartplein,13,"",3,1071TS,Amsterdam
Roelof Hartplein,13,"",H,1071TS,Amsterdam
Roelof Hartplein,15,"",1,1071TS,Amsterdam
Roelof Hartplein,15,"",2,1071TS,Amsterdam
Roelof Hartplein,15,"",3,1071TS,Amsterdam
Roelof Hartplein,15,"",H,1071TS,Amsterdam
Roelof Hartplein,17,"",1,1071TS,Amsterdam
Roelof Hartplein,17,"",2,1071TS,Amsterdam
Roelof Hartplein,17,"",H,1071TS,Amsterdam
Roelof Hartplein,19,"",1,1071TS,Amsterdam
Roelof Hartplein,19,"",2,1071TS,Amsterdam
Roelof Hartplein,19,"",H,1071TS,Amsterdam
Roelof Hartplein,21,"",1,1071TS,Amsterdam
Roelof Hartplein,21,"",2,1071TS,Amsterdam
Roelof Hartplein,21,"",H,1071TS,Amsterdam
