postcode,straat,huisnummer,huisletter,toevoeging
1072NA,Eerste Jan Steenstraat,3,,H
1072NA,Eerste Jan Steenstraat,3,,1
1072NA,Eerste Jan Steenstraat,3,,3
1072NA,Eerste Jan Steenstraat,5,,H
1072NA,Eerste Jan Steenstraat,5,,2
1072NA,Eerste Jan Steenstraat,7,,H
1072NA,Eerste Jan Steenstraat,7,,2
1072NA,Eerste Jan Steenstraat,9,,H
1072NA,Eerste Jan Steenstraat,11,,H
1072NA,Eerste Jan Steenstraat,11,,1
1072NA,Eerste Jan Steenstraat,11,,2
1072NA,Eerste Jan Steenstraat,11,,3
1072NA,Eerste Jan Steenstraat,13,,H
1072NA,Eerste Jan Steenstraat,13,,1
1072NA,Eerste Jan Steenstraat,13,,2
1072NA,Eerste Jan Steenstraat,13,,3
1072NA,Eerste Jan Steenstraat,15,,H
1072NA,Eerste Jan Steenstraat,15,,1
1072NA,Eerste Jan Steenstraat,15,,2
1072NA,Eerste Jan Steenstraat,15,,3
1072NB,Eerste Jan Steenstraat,35,,
1072NB,Eerste Jan Steenstraat,37,,
1072NB,Eerste Jan Steenstraat,39,A,
1072NB,Eerste Jan Steenstraat,39,B,
1072NB,Eerste Jan Steenstraat,39,C,
1072NB,Eerste Jan Steenstraat,41,A,
1072NB,Eerste Jan Steenstraat,41,B,
1072NB,Eerste Jan Steenstraat,41,C,
1072NB,Eerste Jan Steenstraat,43,A,
1072NB,Eerste Jan Steenstraat,43,B,
1072NB,Eerste Jan Steenstraat,43,C,
1072NB,Eerste Jan Steenstraat,43,D,
1072NB,Eerste Jan Steenstraat,43,E,
1072NB,Eerste Jan Steenstraat,45,A,
1072NB,Eerste Jan Steenstraat,45,B,
1072NB,Eerste Jan Steenstraat,45,C,
1072NB,Eerste Jan Steenstraat,45,D,
1072NB,Eerste Jan Steenstraat,45,E,
1072NB,Eerste Jan Steenstraat,47,A,
1072NB,Eerste Jan Steenstraat,47,B,
1072NB,Eerste Jan Steenstraat,47,C,
1072NB,Eerste Jan Steenstraat,47,D,
1072NB,Eerste Jan Steenstraat,47,E,
1072NB,Eerste Jan Steenstraat,49,A,
1072NB,Eerste Jan Steenstraat,49,B,
1072NB,Eerste Jan Steenstraat,49,C,
1072NB,Eerste Jan Steenstraat,49,D,
1072NB,Eerste Jan Steenstraat,49,E,
1072NB,Eerste Jan Steenstraat,51,A,
1072NB,Eerste Jan Steenstraat,51,B,
1072NB,Eerste Jan Steenstraat,51,C,
1072NB,Eerste Jan Steenstraat,51,D,
1072NB,Eerste Jan Steenstraat,51,E,
1072NB,Eerste Jan Steenstraat,53,,
1072NC,Eerste Jan Steenstraat,55,,
1072NC,Eerste Jan Steenstraat,55,A,
1072NC,Eerste Jan Steenstraat,57,,
1072NC,Eerste Jan Steenstraat,57,A,
1072NC,Eerste Jan Steenstraat,57,B,
1072NC,Eerste Jan Steenstraat,59,,
1072NC,Eerste Jan Steenstraat,59,A,
1072NC,Eerste Jan Steenstraat,61,,
1072NC,Eerste Jan Steenstraat,61,A,
1072NC,Eerste Jan Steenstraat,63,,
1072NC,Eerste Jan Steenstraat,63,A,
1072NC,Eerste Jan Steenstraat,63,B,
1072NC,Eerste Jan Steenstraat,65,,
1072NC,Eerste Jan Steenstraat,65,A,
1072ND,Eerste Jan Steenstraat,67,,
1072ND,Eerste Jan Steenstraat,67,A,
1072ND,Eerste Jan Steenstraat,69,,
1072ND,Eerste Jan Steenstraat,69,A,
1072ND,Eerste Jan Steenstraat,69,B,
1072ND,Eerste Jan Steenstraat,71,,
1072ND,Eerste Jan Steenstraat,71,A,
1072ND,Eerste Jan Steenstraat,73,,
1072ND,Eerste Jan Steenstraat,73,A,
1072ND,Eerste Jan Steenstraat,75,,
1072ND,Eerste Jan Steenstraat,75,A,
1072ND,Eerste Jan Steenstraat,75,B,
1072ND,Eerste Jan Steenstraat,77,,
1072ND,Eerste Jan Steenstraat,77,A,
1072NE,Eerste Jan Steenstraat,79,,H
1072NE,Eerste Jan Steenstraat,79,,1A
1072NE,Eerste Jan Steenstraat,79,,1A
1072NE,Eerste Jan Steenstraat,79,,1A
1072NE,Eerste Jan Steenstraat,79,,1V
