straat,huisnummer,huisletter,toevoeging,postcode,plaats
Olympiaplein,136,"","",1076AL,Amsterdam
Olympiaplein,138,"",2,1076AL,Amsterdam
Olympiaplein,138,"",3,1076AL,Amsterdam
Olympiaplein,140,"",1,1076AL,Amsterdam
Olympiaplein,140,"",2,1076AL,Amsterdam
Olympiaplein,140,"",3,1076AL,Amsterdam
Olympiaplein,144,"",2,1076AL,Amsterdam
Olympiaplein,144,"",3,1076AL,Amsterdam
Olympiaplein,144,"",H,1076AL,Amsterdam
Olympiaplein,146,"","",1076AL,Amsterdam
Olympiaplein,148,"","",1076AL,Amsterdam
Olympiaplein,150,"","",1076AL,Amsterdam
Olympiaplein,152,"",1,1076AL,Amsterdam
Olympiaplein,152,"",2,1076AL,Amsterdam
Olympiaplein,152,"",3,1076AL,Amsterdam
Olympiaplein,152,"",4,1076AL,Amsterdam
Olympiaplein,154,"","",1076AL,Amsterdam
Olympiaplein,156,"",1,1076AL,Amsterdam
Olympiaplein,156,"",2,1076AL,Amsterdam
Olympiaplein,156,"",3,1076AL,Amsterdam
Olympiaplein,158,"",1,1076AL,Amsterdam
Olympiaplein,158,"",2,1076AL,Amsterdam
Olympiaplein,158,"",3,1076AL,Amsterdam
Olympiaplein,160,"","",1076AM,Amsterdam
Olympiaplein,160,"","",1076AM,Amsterdam
Olympiaplein,162,"","",1076AM,Amsterdam
Olympiaplein,164,"",1,1076AM,Amsterdam
Olympiaplein,164,"",2,1076AM,Amsterdam
Olympiaplein,164,"",3,1076AM,Amsterdam
Olympiaplein,166,"",1,1076AM,Amsterdam
Olympiaplein,166,"",2,1076AM,Amsterdam
Olympiaplein,166,"",3,1076AM,Amsterdam
Olympiaplein,168,"","",1076AM,Amsterdam
Olympiaplein,170,"","",1076AM,Amsterdam
Olympiaplein,170,"","",1076AM,Amsterdam
Olympiaplein,172,"",1,1076AM,Amsterdam
Olympiaplein,172,"",2,1076AM,Amsterdam
Olympiaplein,172,"",3,1076AM,Amsterdam
Olympiaplein,172,"",H,1076AM,Amsterdam
Olympiaplein,172,H,"",1076AM,Amsterdam
Olympiaplein,174,"",1,1076AM,Amsterdam
Olympiaplein,174,"",2,1076AM,Amsterdam
Olympiaplein,174,"",3,1076AM,Amsterdam
Olympiaplein,176,"","",1076AM,Amsterdam
Parnassusweg,10,"",1,1076AN,Amsterdam
Parnassusweg,10,"",2,1076AN,Amsterdam
Parnassusweg,10,"",3,1076AN,Amsterdam
Parnassusweg,10,"",4,1076AN,Amsterdam
Parnassusweg,10,"",H,1076AN,Amsterdam
Parnassusweg,12,"",1,1076AN,Amsterdam
Parnassusweg,12,"",2,1076AN,Amsterdam
Parnassusweg,12,"",3,1076AN,Amsterdam
Parnassusweg,12,"",4,1076AN,Amsterdam
Parnassusweg,12,"",H,1076AN,Amsterdam
Parnassusweg,14,"",1,1076AN,Amsterdam
Parnassusweg,14,"",2,1076AN,Amsterdam
Parnassusweg,14,"",3,1076AN,Amsterdam
Parnassusweg,14,"",H,1076AN,Amsterdam
Parnassusweg,8,"",1,1076AN,Amsterdam
Parnassusweg,8,"",2,1076AN,Amsterdam
Parnassusweg,8,"",3,1076AN,Amsterdam
Parnassusweg,8,"",H,1076AN,Amsterdam
Parnassusweg,16,"",1,1076AP,Amsterdam
Parnassusweg,16,"",2,1076AP,Amsterdam
Parnassusweg,16,"",3,1076AP,Amsterdam
Parnassusweg,16,"",H,1076AP,Amsterdam
Parnassusweg,18,"",1,1076AP,Amsterdam
Parnassusweg,18,"",2,1076AP,Amsterdam
Parnassusweg,18,"",3,1076AP,Amsterdam
Parnassusweg,18,"",H,1076AP,Amsterdam
Parnassusweg,20,"",1,1076AP,Amsterdam
Parnassusweg,20,"",2,1076AP,Amsterdam
Parnassusweg,20,"",3,1076AP,Amsterdam
Parnassusweg,20,"",H,1076AP,Amsterdam
Parnassusweg,22,"",1,1076AP,Amsterdam
Parnassusweg,22,"",2,1076AP,Amsterdam
Parnassusweg,22,"",3,1076AP,Amsterdam
Parnassusweg,22,"",H,1076AP,Amsterdam
Parnassusweg,24,"",1,1076AR,Amsterdam
Parnassusweg,24,"",2,1076AR,Amsterdam
Parnassusweg,24,"",3,1076AR,Amsterdam
Parnassusweg,24,"",H,1076AR,Amsterdam
Parnassusweg,26,"",1,1076AR,Amsterdam
Parnassusweg,26,"",2,1076AR,Amsterdam
Parnassusweg,26,"",3,1076AR,Amsterdam
Parnassusweg,26,"",H,1076AR,Amsterdam
Parnassusweg,28,"",1,1076AR,Amsterdam
Parnassusweg,28,"",2,1076AR,Amsterdam
Parnassusweg,28,"",3,1076AR,Amsterdam
Parnassusweg,28,"",H,1076AR,Amsterdam
Parnassusweg,30,"",1,1076AR,Amsterdam
Parnassusweg,30,"",2,1076AR,Amsterdam
Parnassusweg,30,"",3,1076AR,Amsterdam
Parnassusweg,30,"",H,1076AR,Amsterdam
Parnassusweg,32,"",1,1076AS,Amsterdam
Parnassusweg,32,"",2,1076AS,Amsterdam
Parnassusweg,32,"",3,1076AS,Amsterdam
Parnassusweg,32,"",H,1076AS,Amsterdam
Parnassusweg,34,"",1,1076AS,Amsterdam
Parnassusweg,34,"",2,1076AS,Amsterdam
Parnassusweg,34,"",3,1076AS,Amsterdam
Parnassusweg,34,"",4,1076AS,Amsterdam
Parnassusweg,34,"",H,1076AS,Amsterdam
Parnassusweg,36,"",1,1076AS,Amsterdam
