straat,huisnummer,huisletter,toevoeging,postcode,plaats
Michelangelostraat,29,"","",1077BR,Amsterdam
Michelangelostraat,31,"",2,1077BR,Amsterdam
Michelangelostraat,31,"",H,1077BR,Amsterdam
Michelangelostraat,33,"",2,1077BR,Amsterdam
Michelangelostraat,33,"",H,1077BR,Amsterdam
Michelangelostraat,35,"",2,1077BR,Amsterdam
Michelangelostraat,35,"",H,1077BR,Amsterdam
Michelangelostraat,37,"",2,1077BR,Amsterdam
Michelangelostraat,37,"",H,1077BR,Amsterdam
Michelangelostraat,39,A,"",1077BR,Amsterdam
Michelangelostraat,39,B,"",1077BR,Amsterdam
Michelangelostraat,41,"",2,1077BR,Amsterdam
Michelangelostraat,41,"",H,1077BR,Amsterdam
Michelangelostraat,43,"",2,1077BS,Amsterdam
Michelangelostraat,43,"",H,1077BS,Amsterdam
Michelangelostraat,45,"",2,1077BS,Amsterdam
Michelangelostraat,45,"",H,1077BS,Amsterdam
Michelangelostraat,47,"",2,1077BS,Amsterdam
Michelangelostraat,47,"",H,1077BS,Amsterdam
Michelangelostraat,49,"",2,1077BS,Amsterdam
Michelangelostraat,49,"",H,1077BS,Amsterdam
Michelangelostraat,51,"",2,1077BS,Amsterdam
Michelangelostraat,51,"",H,1077BS,Amsterdam
Michelangelostraat,53,"",2,1077BS,Amsterdam
Michelangelostraat,53,"",2,1077BS,Amsterdam
Michelangelostraat,53,"",3,1077BS,Amsterdam
Michelangelostraat,53,"",H,1077BS,Amsterdam
Michelangelostraat,55,"",2,1077BT,Amsterdam
Michelangelostraat,55,"",H,1077BT,Amsterdam
Michelangelostraat,57,"",2,1077BT,Amsterdam
Michelangelostraat,57,"",H,1077BT,Amsterdam
Michelangelostraat,59,"",1,1077BT,Amsterdam
Michelangelostraat,59,"",2,1077BT,Amsterdam
Michelangelostraat,59,"",3,1077BT,Amsterdam
Michelangelostraat,59,"",H,1077BT,Amsterdam
Michelangelostraat,61,"",1,1077BT,Amsterdam
Michelangelostraat,61,"",2,1077BT,Amsterdam
