postcode,straat,huisnummer,huisletter,toevoeging
1079LK,Amsteldijk,196,,
1079LK,Amsteldijk,196,,
1079LK,Amsteldijk,216,,
1079LK,Amsteldijk,217,,
1079LK,Amsteldijk,218,,
1079LK,Amsteldijk,220,,
1079LK,Amsteldijk,223,,
1079LK,Amsteldijk,271,,
1079LK,Amsteldijk,272,,
1079SR,Boterdiepstraat,1,,
1079SR,Boterdiepstraat,1,,
1079SR,Boterdiepstraat,1,,
1079SR,Boterdiepstraat,3,,1
1079SR,Boterdiepstraat,3,,2
1079SR,Boterdiepstraat,5,,H
1079SR,Boterdiepstraat,5,,1
1079SR,Boterdiepstraat,5,,2
1079SR,Boterdiepstraat,7,,H
1079SR,Boterdiepstraat,7,,1
1079SR,Boterdiepstraat,7,,2
1079SR,Boterdiepstraat,9,,H
1079SR,Boterdiepstraat,9,,1
1079SR,Boterdiepstraat,9,,2
1079SR,Boterdiepstraat,11,,H
1079SR,Boterdiepstraat,11,,1
1079SR,Boterdiepstraat,11,,2
1079SR,Boterdiepstraat,13,,H
1079SR,Boterdiepstraat,13,,1
1079SR,Boterdiepstraat,13,,2
1079SR,Boterdiepstraat,15,,H
1079SR,Boterdiepstraat,15,,1
1079SR,Boterdiepstraat,15,,2
1079SR,Boterdiepstraat,17,,H
1079SR,Boterdiepstraat,17,,1
1079SR,Boterdiepstraat,17,,2
1079SR,Boterdiepstraat,19,,H
1079SR,Boterdiepstraat,19,,1
1079SR,Boterdiepstraat,19,,2
1079ST,Boterdiepstraat,21,,H
1079ST,Boterdiepstraat,21,,1
1079ST,Boterdiepstraat,21,,2
1079ST,Boterdiepstraat,21,,3
1079ST,Boterdiepstraat,25,,H
1079ST,Boterdiepstraat,25,,1
1079ST,Boterdiepstraat,25,,2
1079ST,Boterdiepstraat,27,,H
1079ST,Boterdiepstraat,27,,1
1079ST,Boterdiepstraat,27,,2
1079ST,Boterdiepstraat,29,,H
1079ST,Boterdiepstraat,29,,1
1079ST,Boterdiepstraat,29,,2
1079ST,Boterdiepstraat,31,,H
1079ST,Boterdiepstraat,31,,1
1079ST,Boterdiepstraat,31,,2
1079ST,Boterdiepstraat,33,,H
1079ST,Boterdiepstraat,33,,1
1079ST,Boterdiepstraat,33,,2
1079ST,Boterdiepstraat,35,,H
1079ST,Boterdiepstraat,35,,1
1079ST,Boterdiepstraat,35,,2
1079ST,Boterdiepstraat,37,,H
1079ST,Boterdiepstraat,37,,1
1079ST,Boterdiepstraat,37,,2
1079ST,Boterdiepstraat,39,,H
1079ST,Boterdiepstraat,39,,1
1079ST,Boterdiepstraat,39,,2
1079SV,Boterdiepstraat,41,,H
1079SV,Boterdiepstraat,41,,1
1079SV,Boterdiepstraat,41,,2
1079SV,Boterdiepstraat,43,,H
1079SV,Boterdiepstraat,43,,1
1079SV,Boterdiepstraat,43,,2
1079SV,Boterdiepstraat,45,,H
1079SV,Boterdiepstraat,45,,1
1079SV,Boterdiepstraat,45,,2
1079SV,Boterdiepstraat,47,,H
1079SV,Boterdiepstraat,47,,1
1079SV,Boterdiepstraat,47,,2
1079SV,Boterdiepstraat,49,,H
1079SV,Boterdiepstraat,49,,1
1079SV,Boterdiepstraat,49,,2
1079SV,Boterdiepstraat,51,,H
1079SV,Boterdiepstraat,51,,1
1079SV,Boterdiepstraat,51,,2
1079SV,Boterdiepstraat,53,,H
1079SV,Boterdiepstraat,53,,1
1079SV,Boterdiepstraat,53,,2
1079SV,Boterdiepstraat,55,,H
1079SV,Boterdiepstraat,55,,1
