postcode,straat,huisnummer,huisletter,toevoeging
1077KS,Anton Verheijstraat,1,,2
1077KS,Anton Verheijstraat,1,,3
1077KS,Anton Verheijstraat,1,,4
1077KT,Anton Verheijstraat,6,,
1077KT,Anton Verheijstraat,8,,
1077KT,Anton Verheijstraat,10,,
1077KT,Anton Verheijstraat,12,,
1077KT,Anton Verheijstraat,14,,
1077KT,Anton Verheijstraat,16,,
1077KT,Anton Verheijstraat,18,,
1077JA,Beethovenstraat,121,,
1077JD,Beethovenstraat,147,,
1077JD,Beethovenstraat,157,,
1077JD,Beethovenstraat,159,,
1077JD,Beethovenstraat,161,,
1077JD,Beethovenstraat,163,,
1077JD,Beethovenstraat,165,,
1077JD,Beethovenstraat,167,,
1077JD,Beethovenstraat,169,,
1077JD,Beethovenstraat,171,,
1077JD,Beethovenstraat,173,,
1077JD,Beethovenstraat,175,,
1077JD,Beethovenstraat,177,,
1077JD,Beethovenstraat,179,,
1077JD,Beethovenstraat,181,,
1077JD,Beethovenstraat,183,,
1077JD,Beethovenstraat,185,,
1077JD,Beethovenstraat,187,,
1077JD,Beethovenstraat,189,,
1077JD,Beethovenstraat,191,,
1077JD,Beethovenstraat,193,,
1077JD,Beethovenstraat,195,,
1077JE,Beethovenstraat,197,,
1077JE,Beethovenstraat,199,,
1077JE,Beethovenstraat,201,,
1077JE,Beethovenstraat,203,,
1077JE,Beethovenstraat,205,,
1077JE,Beethovenstraat,207,,
1077JE,Beethovenstraat,209,,
1077JE,Beethovenstraat,211,,
1077JE,Beethovenstraat,213,,
1077JE,Beethovenstraat,215,,
1077JE,Beethovenstraat,217,,
1077JE,Beethovenstraat,219,,
1077JE,Beethovenstraat,221,,
1077JE,Beethovenstraat,223,,
1077JE,Beethovenstraat,225,,
1077JE,Beethovenstraat,227,,
1077JE,Beethovenstraat,229,,
1077JE,Beethovenstraat,231,,
1077JE,Beethovenstraat,233,,
1077JE,Beethovenstraat,235,,
1077JE,Beethovenstraat,237,,
1077JE,Beethovenstraat,239,,
1077JE,Beethovenstraat,241,,
1077JE,Beethovenstraat,243,,
1077JE,Beethovenstraat,245,,
1077JE,Beethovenstraat,247,,
1077JE,Beethovenstraat,249,,
1077JE,Beethovenstraat,251,,
1077JE,Beethovenstraat,253,,
1077JE,Beethovenstraat,255,,
1077JE,Beethovenstraat,257,,
1077JE,Beethovenstraat,259,,
1077JE,Beethovenstraat,261,,
1077JE,Beethovenstraat,263,,
1077JE,Beethovenstraat,265,,
1077JX,Beethovenstraat,170,,
1077JX,Beethovenstraat,176,,
1077JX,Beethovenstraat,178,,
1077JX,Beethovenstraat,180,,
1077JX,Beethovenstraat,182,,
1077JX,Beethovenstraat,186,,1
1077JX,Beethovenstraat,186,,2
