straat,huisnummer,huisletter,toevoeging,postcode,plaats
Diepenbrockstraat,1,"","",1077VX,Amsterdam
Diepenbrockstraat,11,"","",1077VX,Amsterdam
Diepenbrockstraat,15,"","",1077VX,Amsterdam
Diepenbrockstraat,17,"","",1077VX,Amsterdam
Diepenbrockstraat,19,"","",1077VX,Amsterdam
Diepenbrockstraat,21,"","",1077VX,Amsterdam
Diepenbrockstraat,23,"","",1077VX,Amsterdam
Diepenbrockstraat,25,"","",1077VX,Amsterdam
Diepenbrockstraat,3,"","",1077VX,Amsterdam
Diepenbrockstraat,5,"","",1077VX,Amsterdam
Diepenbrockstraat,7,"","",1077VX,Amsterdam
Zuidplein,70,"","",1077VX,Amsterdam
Diepenbrockstraat,9,"","",1077VX,Amsterdam
Beatrixpark,1,"","",1077XN,Amsterdam
