straat,huisnummer,huisletter,toevoeging,postcode,plaats
Van der Boechorststraat,1,"","",1081BT,Amsterdam
Van der Boechorststraat,13,"","",1081BT,Amsterdam
Van der Boechorststraat,26,"","",1081BT,Amsterdam
Van der Boechorststraat,28,"","",1081BT,Amsterdam
Van der Boechorststraat,3,"","",1081BT,Amsterdam
Van der Boechorststraat,30,"","",1081BT,Amsterdam
Van der Boechorststraat,32,"","",1081BT,Amsterdam
Van der Boechorststraat,34,"","",1081BT,Amsterdam
Van der Boechorststraat,38,"","",1081BT,Amsterdam
Van der Boechorststraat,4,"","",1081BT,Amsterdam
Van der Boechorststraat,5,"","",1081BT,Amsterdam
Van der Boechorststraat,6,"","",1081BT,Amsterdam
Van der Boechorststraat,6,A,"",1081BT,Amsterdam
Van der Boechorststraat,6,B,"",1081BT,Amsterdam
Van der Boechorststraat,7,"","",1081BT,Amsterdam
Van der Boechorststraat,8,"","",1081BT,Amsterdam
Van der Boechorststraat,9,"","",1081BT,Amsterdam
De Boelelaan,1077,"","",1081HV,Amsterdam
De Boelelaan,1077,A,"",1081HV,Amsterdam
De Boelelaan,1079,"","",1081HV,Amsterdam
De Boelelaan,1081,"","",1081HV,Amsterdam
De Boelelaan,1081,"","",1081HV,Amsterdam
De Boelelaan,1081,A,"",1081HV,Amsterdam
De Boelelaan,1081,C,"",1081HV,Amsterdam
De Boelelaan,1083,"","",1081HV,Amsterdam
De Boelelaan,1083,"","",1081HV,Amsterdam
De Boelelaan,1083,A,"",1081HV,Amsterdam
De Boelelaan,1083,C,"",1081HV,Amsterdam
De Boelelaan,1085,"","",1081HV,Amsterdam
De Boelelaan,1085,"","",1081HV,Amsterdam
De Boelelaan,1085,"","",1081HV,Amsterdam
De Boelelaan,1085,A,"",1081HV,Amsterdam
De Boelelaan,1085,C,"",1081HV,Amsterdam
De Boelelaan,1087,"","",1081HV,Amsterdam
De Boelelaan,1087,B,"",1081HV,Amsterdam
De Boelelaan,1089,"","",1081HV,Amsterdam
De Boelelaan,1089,A,"",1081HV,Amsterdam
De Boelelaan,1091,"","",1081HV,Amsterdam
De Boelelaan,1093,"","",1081HV,Amsterdam
De Boelelaan,1095,"","",1081HV,Amsterdam
De Boelelaan,1095,A,"",1081HV,Amsterdam
De Boelelaan,1097,"","",1081HV,Amsterdam
De Boelelaan,1101,"","",1081HV,Amsterdam
De Boelelaan,1103,"","",1081HV,Amsterdam
De Boelelaan,1105,"","",1081HV,Amsterdam
De Boelelaan,1107,"","",1081HV,Amsterdam
De Boelelaan,1109,"","",1081HV,Amsterdam
De Boelelaan,1109,B,"",1081HV,Amsterdam
De Boelelaan,1111,"","",1081HV,Amsterdam
De Boelelaan,1111,A,"",1081HV,Amsterdam
De Boelelaan,1111,C,"",1081HV,Amsterdam
De Boelelaan,1111,E,"",1081HV,Amsterdam
De Boelelaan,1111,G,"",1081HV,Amsterdam
