straat,huisnummer,huisletter,toevoeging,postcode,plaats
Van Leijenberghlaan,116,"","",1082DB,Amsterdam
Van Leijenberghlaan,116,"","",1082DB,Amsterdam
Van Leijenberghlaan,116,"","",1082DB,Amsterdam
Van Leijenberghlaan,124,"","",1082DB,Amsterdam
Van Leijenberghlaan,124,"","",1082DB,Amsterdam
Van Leijenberghlaan,126,"","",1082DB,Amsterdam
Van Leijenberghlaan,126,"","",1082DB,Amsterdam
Van Leijenberghlaan,130,"","",1082DB,Amsterdam
Van Leijenberghlaan,134,"","",1082DB,Amsterdam
Van Leijenberghlaan,134,"","",1082DB,Amsterdam
Van Leijenberghlaan,140,"","",1082DC,Amsterdam
Van Leijenberghlaan,142,"","",1082DC,Amsterdam
Van Leijenberghlaan,144,"","",1082DC,Amsterdam
Van Leijenberghlaan,144,"","",1082DC,Amsterdam
Van Leijenberghlaan,146,"","",1082DC,Amsterdam
Van Leijenberghlaan,146,"","",1082DC,Amsterdam
Van Leijenberghlaan,148,"","",1082DC,Amsterdam
Van Leijenberghlaan,148,"","",1082DC,Amsterdam
Van Leijenberghlaan,150,"","",1082DC,Amsterdam
Van Leijenberghlaan,150,"","",1082DC,Amsterdam
Van Leijenberghlaan,152,"","",1082DC,Amsterdam
Van Leijenberghlaan,152,"","",1082DC,Amsterdam
Van Leijenberghlaan,154,"","",1082DC,Amsterdam
Van Leijenberghlaan,154,"","",1082DC,Amsterdam
Van Leijenberghlaan,156,"","",1082DC,Amsterdam
Van Leijenberghlaan,156,"","",1082DC,Amsterdam
Van Leijenberghlaan,158,"","",1082DC,Amsterdam
Van Leijenberghlaan,158,"","",1082DC,Amsterdam
Van Leijenberghlaan,160,"","",1082DC,Amsterdam
Van Leijenberghlaan,160,"","",1082DC,Amsterdam
Van Leijenberghlaan,162,"","",1082DC,Amsterdam
Van Leijenberghlaan,162,"","",1082DC,Amsterdam
Van Leijenberghlaan,164,"","",1082DC,Amsterdam
Van Leijenberghlaan,164,"","",1082DC,Amsterdam
Van Leijenberghlaan,166,"","",1082DC,Amsterdam
Van Leijenberghlaan,166,"","",1082DC,Amsterdam
Van Leijenberghlaan,168,"","",1082DC,Amsterdam
Van Leijenberghlaan,168,"","",1082DC,Amsterdam
Van Leijenberghlaan,170,"","",1082DC,Amsterdam
Van Leijenberghlaan,170,"","",1082DC,Amsterdam
Van Leijenberghlaan,178,"","",1082DC,Amsterdam
Van Leijenberghlaan,178,"","",1082DC,Amsterdam
Van Leijenberghlaan,178,A,"",1082DC,Amsterdam
Van Leijenberghlaan,178,A,"",1082DC,Amsterdam
Van Leijenberghlaan,180,"","",1082DC,Amsterdam
Van Leijenberghlaan,180,"","",1082DC,Amsterdam
Van Leijenberghlaan,182,"","",1082DC,Amsterdam
Van Leijenberghlaan,182,"","",1082DC,Amsterdam
Van Leijenberghlaan,184,"","",1082DC,Amsterdam
Van Leijenberghlaan,184,"","",1082DC,Amsterdam
Van Leijenberghlaan,186,"","",1082DC,Amsterdam
Van Leijenberghlaan,186,"","",1082DC,Amsterdam
Van Leijenberghlaan,188,"","",1082DC,Amsterdam
Van Leijenberghlaan,188,"","",1082DC,Amsterdam
Van Leijenberghlaan,190,"","",1082DC,Amsterdam
Van Leijenberghlaan,190,"","",1082DC,Amsterdam
Van Leijenberghlaan,192,"","",1082DC,Amsterdam
Van Leijenberghlaan,192,"","",1082DC,Amsterdam
Van Leijenberghlaan,194,"","",1082DC,Amsterdam
Van Leijenberghlaan,194,"","",1082DC,Amsterdam
Van Leijenberghlaan,196,"","",1082DC,Amsterdam
Van Leijenberghlaan,196,"","",1082DC,Amsterdam
Van Leijenberghlaan,198,"","",1082DC,Amsterdam
Van Leijenberghlaan,198,"","",1082DC,Amsterdam
Van Leijenberghlaan,200,"","",1082DC,Amsterdam
Van Leijenberghlaan,200,"","",1082DC,Amsterdam
Van Leijenberghlaan,202,"","",1082DC,Amsterdam
Van Leijenberghlaan,202,"","",1082DC,Amsterdam
Van Leijenberghlaan,204,"","",1082DC,Amsterdam
Van Leijenberghlaan,204,"","",1082DC,Amsterdam
Van Leijenberghlaan,206,"","",1082DC,Amsterdam
Van Leijenberghlaan,206,"","",1082DC,Amsterdam
