postcode,straat,huisnummer,huisletter,toevoeging
1019BJ,Sumatrakade,13,,
1019BJ,Sumatrakade,17,,
1019BJ,Sumatrakade,19,,
1019BJ,Sumatrakade,21,,
1019BJ,Sumatrakade,23,,
1019BJ,Sumatrakade,25,,
1019PH,Sumatrakade,31,,
1019PH,Sumatrakade,33,,
1019PH,Sumatrakade,35,,
1019PH,Sumatrakade,37,,
1019PH,Sumatrakade,39,,
1019PH,Sumatrakade,41,,
1019PH,Sumatrakade,43,,
1019PH,Sumatrakade,45,,
1019PH,Sumatrakade,47,,
1019PH,Sumatrakade,49,,
1019PH,Sumatrakade,51,,
1019BJ,Sumatrakade,27,,
1019BJ,Sumatrakade,29,,
1019PH,Sumatrakade,53,,
1019PH,Sumatrakade,55,,
1019PH,Sumatrakade,57,,
1019PH,Sumatrakade,59,,
1019PH,Sumatrakade,61,,
1019PH,Sumatrakade,63,,
1019PE,Bogortuin,1,,
1019PA,Azartplein,1,,
1019PA,Azartplein,3,,
1019PA,Azartplein,5,,
1019PA,Azartplein,7,,
1019PA,Azartplein,9,,
1019PA,Azartplein,11,,
1019PA,Azartplein,13,,
1019PA,Azartplein,15,,
1019PA,Azartplein,17,,
1019PA,Azartplein,19,,
1019PA,Azartplein,21,,
1019PA,Azartplein,23,,
1019PA,Azartplein,25,,
1019PA,Azartplein,27,,
1019PA,Azartplein,29,,
1019PA,Azartplein,31,,
1019PA,Azartplein,33,,
1019PA,Azartplein,35,,
1019PA,Azartplein,37,,
1019PA,Azartplein,39,,
1019PA,Azartplein,41,,
1019PA,Azartplein,43,,
1019PA,Azartplein,45,,
1019PA,Azartplein,47,,
1019PW,Majanggracht,1,,
1019PV,Kratontuin,2,,
1019PV,Kratontuin,4,,
1019PV,Kratontuin,6,,
1019PV,Kratontuin,8,,
1019PV,Kratontuin,10,,
1019PV,Kratontuin,12,,
1019PV,Kratontuin,14,,
1019PV,Kratontuin,16,,
1019PM,Seranggracht,2,,
1019PG,Bogortuin,2,,
1019PG,Bogortuin,4,,
1019PG,Bogortuin,6,,
1019PG,Bogortuin,8,,
1019PG,Bogortuin,10,,
1019PG,Bogortuin,12,,
1019PG,Bogortuin,14,,
1019PG,Bogortuin,16,,
1019PG,Bogortuin,18,,
1019PG,Bogortuin,20,,
1019PB,Azartplein,51,,
1019PB,Azartplein,53,,
1019PB,Azartplein,55,,
1019PB,Azartplein,57,,
1019PB,Azartplein,59,,
1019PB,Azartplein,61,,
1019PB,Azartplein,63,,
1019PB,Azartplein,65,,
1019PB,Azartplein,67,,
1019PB,Azartplein,71,,
1019PB,Azartplein,73,,
1019PB,Azartplein,75,,
1019PB,Azartplein,77,,
1019PB,Azartplein,79,,
1019PB,Azartplein,81,,
1019PB,Azartplein,83,,
1019PB,Azartplein,85,,
1019PB,Azartplein,87,,
1019PB,Azartplein,91,,
1019PB,Azartplein,93,,
1019PB,Azartplein,95,,
1019PB,Azartplein,97,,
1019PB,Azartplein,99,,
1019PB,Azartplein,101,,
1019PB,Azartplein,103,,
1019PB,Azartplein,105,,
1019PB,Azartplein,107,,
1019PC,Azartplein,111,,
1019PC,Azartplein,113,,
1019PC,Azartplein,115,,
1019PC,Azartplein,117,,
1019PC,Azartplein,119,,
1019PC,Azartplein,121,,
1019PC,Azartplein,123,,
1019PC,Azartplein,125,,
1019PC,Azartplein,127,,
1019PC,Azartplein,129,,
1019PC,Azartplein,131,,
1019PC,Azartplein,133,,
1019PC,Azartplein,135,,
1019PC,Azartplein,137,,
1019PC,Azartplein,139,,
1019PC,Azartplein,141,,
1019PC,Azartplein,143,,
1019PC,Azartplein,145,,
1019PC,Azartplein,147,,
1019PC,Azartplein,149,,
1019PC,Azartplein,151,,
1019PC,Azartplein,153,,
1019PC,Azartplein,155,,
1019PC,Azartplein,157,,
1019PC,Azartplein,159,,
1019PC,Azartplein,161,,
1019PC,Azartplein,163,,
1019PC,Azartplein,165,,
1019PC,Azartplein,167,,
1019PC,Azartplein,169,,
1019PC,Azartplein,171,,
1019PC,Azartplein,173,,
1019PC,Azartplein,175,,
1019PC,Azartplein,177,,
1019PC,Azartplein,179,,
1019PC,Azartplein,181,,
1019PC,Azartplein,183,,
1019PC,Azartplein,185,,
1019PC,Azartplein,187,,
1019PC,Azartplein,189,,
1019PC,Azartplein,191,,
1019PC,Azartplein,193,,
1019PC,Azartplein,195,,
1019PC,Azartplein,197,,
1019PC,Azartplein,199,,
1019BJ,Sumatrakade,1,,
1019BJ,Sumatrakade,3,,
1019BJ,Sumatrakade,5,,
1019BJ,Sumatrakade,7,,
1019BJ,Sumatrakade,9,,
1019BJ,Sumatrakade,11,,
1019PH,Sumatrakade,65,,
1019PH,Sumatrakade,67,,
1019PH,Sumatrakade,69,,
1019PH,Sumatrakade,71,,
1019PH,Sumatrakade,73,,
1019PH,Sumatrakade,75,,
1019PH,Sumatrakade,77,,
1019PH,Sumatrakade,79,,
1019PH,Sumatrakade,81,,
1019PH,Sumatrakade,83,,
1019PH,Sumatrakade,85,,
1019PH,Sumatrakade,87,,
1019PH,Sumatrakade,89,,
1019PH,Sumatrakade,91,,
1019PH,Sumatrakade,93,,
1019PJ,Sumatrakade,95,,
1019PJ,Sumatrakade,97,,
1019PJ,Sumatrakade,99,,
1019PJ,Sumatrakade,101,,
1019PJ,Sumatrakade,103,,
1019PJ,Sumatrakade,105,,
1019PJ,Sumatrakade,107,,
1019PJ,Sumatrakade,109,,
1019PJ,Sumatrakade,111,,
1019PJ,Sumatrakade,113,,
1019PJ,Sumatrakade,115,,
1019PJ,Sumatrakade,117,,
1019PJ,Sumatrakade,119,,
1019PJ,Sumatrakade,121,,
1019PJ,Sumatrakade,123,,
1019PJ,Sumatrakade,125,,
1019PJ,Sumatrakade,127,,
1019PJ,Sumatrakade,129,,
1019PJ,Sumatrakade,131,,
1019PJ,Sumatrakade,133,,
1019PJ,Sumatrakade,135,,
1019PJ,Sumatrakade,137,,
1019PJ,Sumatrakade,139,,
1019PJ,Sumatrakade,141,,
1019PJ,Sumatrakade,143,,
1019PJ,Sumatrakade,145,,
1019PJ,Sumatrakade,147,,
1019PJ,Sumatrakade,149,,
1019PJ,Sumatrakade,151,,
1019PJ,Sumatrakade,153,,
1019PJ,Sumatrakade,155,,
1019PJ,Sumatrakade,157,,
1019PJ,Sumatrakade,159,,
1019PJ,Sumatrakade,161,,
1019PJ,Sumatrakade,163,,
1019PJ,Sumatrakade,165,,
1019PJ,Sumatrakade,167,,
1019PJ,Sumatrakade,169,,
1019PJ,Sumatrakade,171,,
1019PJ,Sumatrakade,173,,
1019PJ,Sumatrakade,175,,
1019PJ,Sumatrakade,177,,
1019PJ,Sumatrakade,179,,
1019PJ,Sumatrakade,181,,
1019PJ,Sumatrakade,183,,
1019PJ,Sumatrakade,185,,
1019PJ,Sumatrakade,187,,
