straat,huisnummer,huisletter,toevoeging,postcode,plaats
Ruyschstraat,1,"",2,1091BP,Amsterdam
Ruyschstraat,1,"",3,1091BP,Amsterdam
Ruyschstraat,11,"",1,1091BP,Amsterdam
Ruyschstraat,11,"",2,1091BP,Amsterdam
Ruyschstraat,11,"",3,1091BP,Amsterdam
Ruyschstraat,11,"",H,1091BP,Amsterdam
Ruyschstraat,13,"",1,1091BP,Amsterdam
Ruyschstraat,13,"",2,1091BP,Amsterdam
Ruyschstraat,13,"",3,1091BP,Amsterdam
Ruyschstraat,13,"",H,1091BP,Amsterdam
Ruyschstraat,13,A,"",1091BP,Amsterdam
Ruyschstraat,3,"",2,1091BP,Amsterdam
Ruyschstraat,3,"",H,1091BP,Amsterdam
Ruyschstraat,5,"",2,1091BP,Amsterdam
Ruyschstraat,5,"",3,1091BP,Amsterdam
Ruyschstraat,5,"",4,1091BP,Amsterdam
Ruyschstraat,5,"",H,1091BP,Amsterdam
Ruyschstraat,7,"",2,1091BP,Amsterdam
Ruyschstraat,7,"",3,1091BP,Amsterdam
Ruyschstraat,7,"",4,1091BP,Amsterdam
Ruyschstraat,7,"",H,1091BP,Amsterdam
Ruyschstraat,9,A,"",1091BP,Amsterdam
Ruyschstraat,9,B,"",1091BP,Amsterdam
Ruyschstraat,9,C,"",1091BP,Amsterdam
Ruyschstraat,15,"",1,1091BR,Amsterdam
Ruyschstraat,15,"",3,1091BR,Amsterdam
Ruyschstraat,15,"",H,1091BR,Amsterdam
Ruyschstraat,17,"",1,1091BR,Amsterdam
Ruyschstraat,17,"",2,1091BR,Amsterdam
Ruyschstraat,17,"",3,1091BR,Amsterdam
Ruyschstraat,19,"",1,1091BR,Amsterdam
Ruyschstraat,19,"",3,1091BR,Amsterdam
Ruyschstraat,21,"",1,1091BR,Amsterdam
Ruyschstraat,21,"",3,1091BR,Amsterdam
Ruyschstraat,21,"",H,1091BR,Amsterdam
Ruyschstraat,23,"",2,1091BR,Amsterdam
Ruyschstraat,23,"",H,1091BR,Amsterdam
Ruyschstraat,25,"",2,1091BR,Amsterdam
Ruyschstraat,25,"",H,1091BR,Amsterdam
Ruyschstraat,27,"",2,1091BR,Amsterdam
Ruyschstraat,27,"",H,1091BR,Amsterdam
Ruyschstraat,29,"",2,1091BR,Amsterdam
Ruyschstraat,29,"",H,1091BR,Amsterdam
Ruyschstraat,31,A,"",1091BS,Amsterdam
Ruyschstraat,31,B,"",1091BS,Amsterdam
Ruyschstraat,31,C,"",1091BS,Amsterdam
Ruyschstraat,33,"",2,1091BS,Amsterdam
Ruyschstraat,33,"",H,1091BS,Amsterdam
Ruyschstraat,35,"",1,1091BS,Amsterdam
Ruyschstraat,35,"",2,1091BS,Amsterdam
Ruyschstraat,35,"",3,1091BS,Amsterdam
Ruyschstraat,35,"",H,1091BS,Amsterdam
Ruyschstraat,35,"",H,1091BS,Amsterdam
Ruyschstraat,35,"",O,1091BS,Amsterdam
Ruyschstraat,37,A,"",1091BS,Amsterdam
Ruyschstraat,37,B,"",1091BS,Amsterdam
Ruyschstraat,39,"",1,1091BS,Amsterdam
Ruyschstraat,39,"",2,1091BS,Amsterdam
Ruyschstraat,39,"",H,1091BS,Amsterdam
Ruyschstraat,41,"",1,1091BS,Amsterdam
Ruyschstraat,41,"",2,1091BS,Amsterdam
Ruyschstraat,41,"",H,1091BS,Amsterdam
Ruyschstraat,41,"",O,1091BS,Amsterdam
Ruyschstraat,43,"",1,1091BS,Amsterdam
Ruyschstraat,43,"",2,1091BS,Amsterdam
Ruyschstraat,43,"",3,1091BS,Amsterdam
Ruyschstraat,43,"",H,1091BS,Amsterdam
Ruyschstraat,45,"",1,1091BS,Amsterdam
Ruyschstraat,45,"",2,1091BS,Amsterdam
Ruyschstraat,45,"",3,1091BS,Amsterdam
Ruyschstraat,45,"",H,1091BS,Amsterdam
Ruyschstraat,10,"",2,1091CB,Amsterdam
Ruyschstraat,10,"",3,1091CB,Amsterdam
Ruyschstraat,10,"",4,1091CB,Amsterdam
Ruyschstraat,10,"",H,1091CB,Amsterdam
Ruyschstraat,12,"",1,1091CB,Amsterdam
Ruyschstraat,12,"",2,1091CB,Amsterdam
Ruyschstraat,12,"",H,1091CB,Amsterdam
Ruyschstraat,12,A,"",1091CB,Amsterdam
Ruyschstraat,12,B,"",1091CB,Amsterdam
Ruyschstraat,14,A,"",1091CB,Amsterdam
Ruyschstraat,14,B,"",1091CB,Amsterdam
Ruyschstraat,14,C,"",1091CB,Amsterdam
Ruyschstraat,14,D,"",1091CB,Amsterdam
Ruyschstraat,14,E,"",1091CB,Amsterdam
Ruyschstraat,14,F,"",1091CB,Amsterdam
Ruyschstraat,16,"","",1091CB,Amsterdam
Ruyschstraat,18,"",2,1091CB,Amsterdam
Ruyschstraat,18,"",H,1091CB,Amsterdam
Ruyschstraat,20,"",1,1091CB,Amsterdam
Ruyschstraat,20,"",2,1091CB,Amsterdam
Ruyschstraat,20,"",3,1091CB,Amsterdam
Ruyschstraat,20,"",3,1091CB,Amsterdam
Ruyschstraat,20,"",4,1091CB,Amsterdam
Ruyschstraat,20,"",H,1091CB,Amsterdam
Ruyschstraat,4,"",2,1091CB,Amsterdam
Ruyschstraat,4,"",3,1091CB,Amsterdam
Ruyschstraat,4,"",H,1091CB,Amsterdam
Ruyschstraat,6,"",2,1091CB,Amsterdam
Ruyschstraat,6,"",3,1091CB,Amsterdam
Ruyschstraat,6,"",4A,1091CB,Amsterdam
Ruyschstraat,6,"",H,1091CB,Amsterdam
Ruyschstraat,8,"",2,1091CB,Amsterdam
Ruyschstraat,8,"",H,1091CB,Amsterdam
Ruyschstraat,22,"",2,1091CC,Amsterdam
Ruyschstraat,22,"",3,1091CC,Amsterdam
Ruyschstraat,22,"",H,1091CC,Amsterdam
Ruyschstraat,24,"",2,1091CC,Amsterdam
Ruyschstraat,24,"",H,1091CC,Amsterdam
Ruyschstraat,26,"",2,1091CC,Amsterdam
Ruyschstraat,26,"",3,1091CC,Amsterdam
Ruyschstraat,26,"",H,1091CC,Amsterdam
Ruyschstraat,28,"",2,1091CC,Amsterdam
Ruyschstraat,28,"",3,1091CC,Amsterdam
Ruyschstraat,28,"",H,1091CC,Amsterdam
Ruyschstraat,30,"",1,1091CC,Amsterdam
Ruyschstraat,30,"",2,1091CC,Amsterdam
Ruyschstraat,30,"",3,1091CC,Amsterdam
Ruyschstraat,30,"",H,1091CC,Amsterdam
Ruyschstraat,30,"",O,1091CC,Amsterdam
Ruyschstraat,32,"",1,1091CC,Amsterdam
Ruyschstraat,32,"",2,1091CC,Amsterdam
Ruyschstraat,32,"",3,1091CC,Amsterdam
Ruyschstraat,32,"",H,1091CC,Amsterdam
Ruyschstraat,34,"",1,1091CC,Amsterdam
Ruyschstraat,34,"",2,1091CC,Amsterdam
Ruyschstraat,34,"",3,1091CC,Amsterdam
Ruyschstraat,34,"",H,1091CC,Amsterdam
Ruyschstraat,36,"",1,1091CD,Amsterdam
Ruyschstraat,36,"",2,1091CD,Amsterdam
Ruyschstraat,36,"",3,1091CD,Amsterdam
Ruyschstraat,36,"",H,1091CD,Amsterdam
Ruyschstraat,38,"",1,1091CD,Amsterdam
Ruyschstraat,38,"",2,1091CD,Amsterdam
Ruyschstraat,38,"",3,1091CD,Amsterdam
Ruyschstraat,38,"",H,1091CD,Amsterdam
Ruyschstraat,40,"",2,1091CD,Amsterdam
Ruyschstraat,40,"",H,1091CD,Amsterdam
Ruyschstraat,42,"",1,1091CD,Amsterdam
Ruyschstraat,42,"",2,1091CD,Amsterdam
Ruyschstraat,42,"",3,1091CD,Amsterdam
Ruyschstraat,42,"",H,1091CD,Amsterdam
Ruyschstraat,44,"",2,1091CD,Amsterdam
Ruyschstraat,44,"",3,1091CD,Amsterdam
Ruyschstraat,44,"",H,1091CD,Amsterdam
Ruyschstraat,46,"",2,1091CD,Amsterdam
Ruyschstraat,46,"",H,1091CD,Amsterdam
Ruyschstraat,48,"",1,1091CD,Amsterdam
Ruyschstraat,48,"",2,1091CD,Amsterdam
Ruyschstraat,48,"",3,1091CD,Amsterdam
Ruyschstraat,48,"",4A,1091CD,Amsterdam
Ruyschstraat,48,"",4B,1091CD,Amsterdam
Ruyschstraat,48,"",H,1091CD,Amsterdam
Ruyschstraat,50,"",1,1091CD,Amsterdam
Ruyschstraat,50,"",2,1091CD,Amsterdam
Ruyschstraat,50,"",3,1091CD,Amsterdam
Ruyschstraat,50,"",H,1091CD,Amsterdam
Ruyschstraat,52,"",1,1091CD,Amsterdam
Ruyschstraat,52,"",2,1091CD,Amsterdam
Ruyschstraat,52,"",3,1091CD,Amsterdam
Ruyschstraat,52,"",4,1091CD,Amsterdam
Ruyschstraat,52,"",H,1091CD,Amsterdam
Blasiusstraat,1,"",2,1091CJ,Amsterdam
Blasiusstraat,1,"",3,1091CJ,Amsterdam
Blasiusstraat,1,"",H,1091CJ,Amsterdam
Blasiusstraat,11,"",1,1091CJ,Amsterdam
Blasiusstraat,11,"",2,1091CJ,Amsterdam
Blasiusstraat,11,"",3,1091CJ,Amsterdam
Blasiusstraat,11,"",H,1091CJ,Amsterdam
Blasiusstraat,13,"",1,1091CJ,Amsterdam
Blasiusstraat,13,"",2,1091CJ,Amsterdam
Blasiusstraat,13,"",3,1091CJ,Amsterdam
Blasiusstraat,13,"",4,1091CJ,Amsterdam
Blasiusstraat,13,A,"",1091CJ,Amsterdam
Blasiusstraat,15,"",1,1091CJ,Amsterdam
Blasiusstraat,15,"",2,1091CJ,Amsterdam
Blasiusstraat,15,"",3,1091CJ,Amsterdam
Blasiusstraat,15,"",4,1091CJ,Amsterdam
Blasiusstraat,15,A,"",1091CJ,Amsterdam
Blasiusstraat,15,A,"",1091CJ,Amsterdam
Blasiusstraat,3,"",2,1091CJ,Amsterdam
Blasiusstraat,3,"",H,1091CJ,Amsterdam
Blasiusstraat,5,"",1,1091CJ,Amsterdam
Blasiusstraat,5,"",2,1091CJ,Amsterdam
Blasiusstraat,5,"",3,1091CJ,Amsterdam
Blasiusstraat,5,"",H,1091CJ,Amsterdam
Blasiusstraat,7,"",2,1091CJ,Amsterdam
Blasiusstraat,7,"",H,1091CJ,Amsterdam
Blasiusstraat,9,"",2,1091CJ,Amsterdam
Blasiusstraat,9,"",3,1091CJ,Amsterdam
Blasiusstraat,9,"",H,1091CJ,Amsterdam
Blasiusstraat,9,H,"",1091CJ,Amsterdam
Blasiusstraat,17,"",1,1091CK,Amsterdam
Blasiusstraat,17,"",2,1091CK,Amsterdam
Blasiusstraat,17,"",3,1091CK,Amsterdam
Blasiusstraat,17,"",4,1091CK,Amsterdam
Blasiusstraat,17,A,"",1091CK,Amsterdam
Blasiusstraat,19,"",1,1091CK,Amsterdam
Blasiusstraat,19,"",2,1091CK,Amsterdam
Blasiusstraat,19,"",3,1091CK,Amsterdam
Blasiusstraat,19,"",4,1091CK,Amsterdam
Blasiusstraat,31,"","",1091CK,Amsterdam
Blasiusstraat,33,A,"",1091CK,Amsterdam
Blasiusstraat,33,B,"",1091CK,Amsterdam
Blasiusstraat,35,A,"",1091CK,Amsterdam
Blasiusstraat,35,B,"",1091CK,Amsterdam
Blasiusstraat,37,"",1,1091CK,Amsterdam
Blasiusstraat,37,"",2,1091CK,Amsterdam
Blasiusstraat,37,"",3,1091CK,Amsterdam
Blasiusstraat,37,"",4,1091CK,Amsterdam
Blasiusstraat,37,"",H,1091CK,Amsterdam
Blasiusstraat,39,"",1,1091CK,Amsterdam
Blasiusstraat,39,"",2,1091CK,Amsterdam
Blasiusstraat,39,"",3,1091CK,Amsterdam
Blasiusstraat,39,"",H,1091CK,Amsterdam
Blasiusstraat,41,"",1,1091CK,Amsterdam
Blasiusstraat,41,"",2,1091CK,Amsterdam
Blasiusstraat,41,"",3,1091CK,Amsterdam
Blasiusstraat,41,"",4,1091CK,Amsterdam
Blasiusstraat,41,"",H,1091CK,Amsterdam
Blasiusstraat,43,"",1,1091CK,Amsterdam
Blasiusstraat,43,"",2,1091CK,Amsterdam
Blasiusstraat,43,"",3,1091CK,Amsterdam
Blasiusstraat,43,"",4,1091CK,Amsterdam
Blasiusstraat,43,"",H,1091CK,Amsterdam
Blasiusstraat,45,"",1,1091CL,Amsterdam
Blasiusstraat,45,"",2,1091CL,Amsterdam
Blasiusstraat,45,"",3,1091CL,Amsterdam
Blasiusstraat,45,"",4,1091CL,Amsterdam
Blasiusstraat,45,"",H,1091CL,Amsterdam
Blasiusstraat,47,"",1,1091CL,Amsterdam
Blasiusstraat,47,"",2,1091CL,Amsterdam
Blasiusstraat,47,"",3,1091CL,Amsterdam
Blasiusstraat,47,"",H,1091CL,Amsterdam
Blasiusstraat,49,"",2,1091CL,Amsterdam
Blasiusstraat,49,"",3,1091CL,Amsterdam
