straat,huisnummer,huisletter,toevoeging,postcode,plaats
Oosterpark,10,"",1,1092AE,Amsterdam
Oosterpark,10,"",2,1092AE,Amsterdam
Oosterpark,10,"",H,1092AE,Amsterdam
Oosterpark,11,"",2,1092AE,Amsterdam
Oosterpark,11,"",3,1092AE,Amsterdam
Oosterpark,11,"",H,1092AE,Amsterdam
Oosterpark,12,"",1,1092AE,Amsterdam
Oosterpark,12,"",2,1092AE,Amsterdam
Oosterpark,12,"",H,1092AE,Amsterdam
Oosterpark,13,A,"",1092AE,Amsterdam
Oosterpark,13,B,"",1092AE,Amsterdam
Oosterpark,13,C,"",1092AE,Amsterdam
Oosterpark,13,D,"",1092AE,Amsterdam
Oosterpark,14,"","",1092AE,Amsterdam
Oosterpark,15,A,"",1092AE,Amsterdam
Oosterpark,15,B,"",1092AE,Amsterdam
Oosterpark,15,C,"",1092AE,Amsterdam
Oosterpark,15,D,"",1092AE,Amsterdam
Oosterpark,16,"","",1092AG,Amsterdam
Oosterpark,17,"",2,1092AG,Amsterdam
Oosterpark,17,"",H,1092AG,Amsterdam
Oosterpark,18,"",2,1092AG,Amsterdam
Oosterpark,18,"",H,1092AG,Amsterdam
Oosterpark,19,"",2,1092AG,Amsterdam
Oosterpark,19,"",2,1092AG,Amsterdam
Oosterpark,19,"",3,1092AG,Amsterdam
Oosterpark,19,"",H,1092AG,Amsterdam
Oosterpark,20,"",2,1092AG,Amsterdam
Oosterpark,20,"",H,1092AG,Amsterdam
Oosterpark,21,"",2,1092AH,Amsterdam
Oosterpark,21,"",3,1092AH,Amsterdam
Oosterpark,21,"",H,1092AH,Amsterdam
Oosterpark,21,A,"",1092AH,Amsterdam
Oosterpark,21,B,"",1092AH,Amsterdam
Oosterpark,21,B,"",1092AH,Amsterdam
Oosterpark,21,B,"",1092AH,Amsterdam
Oosterpark,22,A,"",1092AH,Amsterdam
Oosterpark,22,B,"",1092AH,Amsterdam
Oosterpark,22,B,"",1092AH,Amsterdam
Oosterpark,23,"",2,1092AH,Amsterdam
Oosterpark,23,"",H,1092AH,Amsterdam
Oosterpark,24,"",2,1092AH,Amsterdam
Oosterpark,24,"",H,1092AH,Amsterdam
Oosterpark,25,"",2,1092AH,Amsterdam
Oosterpark,25,"",H,1092AH,Amsterdam
Oosterpark,26,"",1,1092AJ,Amsterdam
Oosterpark,26,"",2,1092AJ,Amsterdam
Oosterpark,26,"",H,1092AJ,Amsterdam
Oosterpark,27,"",2,1092AJ,Amsterdam
Oosterpark,27,"",3,1092AJ,Amsterdam
Oosterpark,27,"",H,1092AJ,Amsterdam
Oosterpark,28,"",2,1092AJ,Amsterdam
Oosterpark,28,"",H,1092AJ,Amsterdam
Oosterpark,29,"",2,1092AJ,Amsterdam
Oosterpark,29,"",H,1092AJ,Amsterdam
Oosterpark,30,"",2,1092AJ,Amsterdam
Oosterpark,30,"",3,1092AJ,Amsterdam
Oosterpark,30,"",H,1092AJ,Amsterdam
Oosterpark,31,"",1,1092AK,Amsterdam
Oosterpark,31,"",2,1092AK,Amsterdam
Oosterpark,31,"",H,1092AK,Amsterdam
Oosterpark,32,"",2,1092AK,Amsterdam
Oosterpark,32,"",3,1092AK,Amsterdam
Oosterpark,32,"",H,1092AK,Amsterdam
Oosterpark,33,"",2,1092AK,Amsterdam
Oosterpark,33,"",H,1092AK,Amsterdam
Oosterpark,33,A,"",1092AK,Amsterdam
Oosterpark,33,B,"",1092AK,Amsterdam
