straat,huisnummer,huisletter,toevoeging,postcode,plaats
Maritzstraat,10,"",1,1091KW,Amsterdam
Maritzstraat,10,"",2,1091KW,Amsterdam
Maritzstraat,10,"",3,1091KW,Amsterdam
Maritzstraat,10,"",H,1091KW,Amsterdam
Maritzstraat,12,"",1,1091KW,Amsterdam
Maritzstraat,12,"",2,1091KW,Amsterdam
Maritzstraat,12,"",3,1091KW,Amsterdam
Maritzstraat,12,"",H,1091KW,Amsterdam
Maritzstraat,14,"",1,1091KW,Amsterdam
Maritzstraat,14,"",2,1091KW,Amsterdam
Maritzstraat,14,"",3,1091KW,Amsterdam
Maritzstraat,14,"",H,1091KW,Amsterdam
Maritzstraat,16,"","",1091KW,Amsterdam
Maritzstraat,16,"","",1091KW,Amsterdam
Maritzstraat,18,"",1,1091KW,Amsterdam
Maritzstraat,18,"",2,1091KW,Amsterdam
Maritzstraat,18,"",3,1091KW,Amsterdam
Maritzstraat,2,"","",1091KW,Amsterdam
Maritzstraat,20,"",1,1091KW,Amsterdam
Maritzstraat,20,"",2,1091KW,Amsterdam
Maritzstraat,20,"",3,1091KW,Amsterdam
Maritzstraat,22,"","",1091KW,Amsterdam
Maritzstraat,24,"",1,1091KW,Amsterdam
Maritzstraat,24,"",2,1091KW,Amsterdam
Maritzstraat,24,"",3,1091KW,Amsterdam
Maritzstraat,24,"",H,1091KW,Amsterdam
Maritzstraat,26,"",1,1091KW,Amsterdam
Maritzstraat,26,"",2,1091KW,Amsterdam
Maritzstraat,26,"",3,1091KW,Amsterdam
Maritzstraat,26,"",H,1091KW,Amsterdam
Maritzstraat,28,"",1,1091KW,Amsterdam
Maritzstraat,28,"",2,1091KW,Amsterdam
Maritzstraat,28,"",3,1091KW,Amsterdam
Maritzstraat,28,"",H,1091KW,Amsterdam
Maritzstraat,30,"",1,1091KW,Amsterdam
Maritzstraat,30,"",2,1091KW,Amsterdam
Maritzstraat,30,"",3,1091KW,Amsterdam
Maritzstraat,32,"","",1091KW,Amsterdam
Maritzstraat,4,"",1,1091KW,Amsterdam
Maritzstraat,4,"",2,1091KW,Amsterdam
Maritzstraat,4,"",3,1091KW,Amsterdam
Maritzstraat,4,"",H,1091KW,Amsterdam
