postcode,straat,huisnummer,huisletter,toevoeging
1097ST,Gooiseweg,10,,
1097ST,Gooiseweg,11,,
1097GA,Kruislaan,124,,
1097GA,Kruislaan,126,,
1097GA,Kruislaan,128,,
1097GA,Kruislaan,130,,
1097GA,Kruislaan,132,,
1097GA,Kruislaan,134,,
1097GA,Kruislaan,229,,
1097GA,Kruislaan,231,,
1097GA,Kruislaan,235,,
1097GA,Kruislaan,237,,H
1097GA,Kruislaan,237,,1
1097GA,Kruislaan,239,,H
1097GA,Kruislaan,239,,1
1097GA,Kruislaan,239,,2
1097ST,Zaaiersweg,2,,
1097ST,Zaaiersweg,139,,
1097ST,Zaaiersweg,141,,
1097ST,Zaaiersweg,143,,
1097ST,Zaaiersweg,145,,
1097ST,Zaaiersweg,147,,
1097ST,Zaaiersweg,149,,
1097ST,Zaaiersweg,151,,
1097ST,Zaaiersweg,153,,
1097ST,Zaaiersweg,155,,
1097ST,Zaaiersweg,157,,
1097ST,Zaaiersweg,159,,
1097ST,Zaaiersweg,161,,
1097ST,Zaaiersweg,163,,
1097ST,Zaaiersweg,165,,
1097ST,Zaaiersweg,167,,
1097ST,Zaaiersweg,169,,
1097ST,Zaaiersweg,171,,
1097ST,Zaaiersweg,173,,
1097ST,Zaaiersweg,175,,
1097ST,Zaaiersweg,177,,
1097ST,Zaaiersweg,179,,
1097ST,Zaaiersweg,180,,
1097ST,Zaaiersweg,181,,
1097ST,Zaaiersweg,182,,
1097ST,Zaaiersweg,183,,
1097GA,Rozenburglaan,3,,
1097GA,Rozenburglaan,7,,
1097GA,Rozenburglaan,5,,
1097GA,Rozenburglaan,5,A,
1097GA,Rozenburglaan,9,,
1097GA,Kruislaan,124,,
1097GA,Kruislaan,124,A,
1097GA,Kruislaan,233,,
