straat,huisnummer,huisletter,toevoeging,postcode,plaats
Rozenburglaan,8,"","",1097HV,Amsterdam
Zaaiersweg,11,A,"",1097SM,Amsterdam
Zaaiersweg,11,B,"",1097SM,Amsterdam
Zaaiersweg,11,C,"",1097SM,Amsterdam
Zaaiersweg,11,D,"",1097SM,Amsterdam
Zaaiersweg,11,E,"",1097SM,Amsterdam
Zaaiersweg,13,A,"",1097SM,Amsterdam
Zaaiersweg,13,B,"",1097SM,Amsterdam
Zaaiersweg,15,"","",1097SM,Amsterdam
Zaaiersweg,15,A,"",1097SM,Amsterdam
Zaaiersweg,15,B,"",1097SM,Amsterdam
Zaaiersweg,15,B,"",1097SM,Amsterdam
Zaaiersweg,17,"","",1097SM,Amsterdam
Zaaiersweg,3,"",1,1097SM,Amsterdam
Zaaiersweg,3,"",H,1097SM,Amsterdam
Zaaiersweg,5,"",1,1097SM,Amsterdam
Zaaiersweg,5,"",H,1097SM,Amsterdam
Zaaiersweg,7,"",1,1097SM,Amsterdam
Zaaiersweg,7,"",H,1097SM,Amsterdam
Zaaiersweg,9,"",1,1097SM,Amsterdam
Zaaiersweg,9,"",H,1097SM,Amsterdam
Zaaiersweg,39,"","",1097SN,Amsterdam
Zaaiersweg,41,"",1,1097SN,Amsterdam
Zaaiersweg,41,"",H,1097SN,Amsterdam
Zaaiersweg,43,"","",1097SN,Amsterdam
Zaaiersweg,45,"","",1097SN,Amsterdam
Zaaiersweg,47,"",1,1097SN,Amsterdam
Zaaiersweg,47,"",H,1097SN,Amsterdam
Zaaiersweg,49,"",1,1097SN,Amsterdam
Zaaiersweg,49,"",H,1097SN,Amsterdam
Zaaiersweg,51,"",1,1097SN,Amsterdam
Zaaiersweg,51,"",H,1097SN,Amsterdam
Zaaiersweg,53,"",1,1097SN,Amsterdam
Zaaiersweg,53,"",H,1097SN,Amsterdam
Zaaiersweg,55,"",1,1097SN,Amsterdam
Zaaiersweg,55,"",H,1097SN,Amsterdam
Zaaiersweg,57,"",1,1097SN,Amsterdam
Zaaiersweg,57,"",H,1097SN,Amsterdam
Zaaiersweg,59,"","",1097SN,Amsterdam
Zaaiersweg,61,"","",1097SN,Amsterdam
Zaaiersweg,63,"","",1097SP,Amsterdam
Zaaiersweg,65,"","",1097SP,Amsterdam
Zaaiersweg,67,"",1,1097SP,Amsterdam
Zaaiersweg,67,"",H,1097SP,Amsterdam
Zaaiersweg,69,"","",1097SP,Amsterdam
Zaaiersweg,71,"","",1097SP,Amsterdam
Zaaiersweg,73,"",1,1097SP,Amsterdam
Zaaiersweg,73,"",H,1097SP,Amsterdam
Zaaiersweg,75,"",1,1097SP,Amsterdam
Zaaiersweg,75,"",H,1097SP,Amsterdam
Zaaiersweg,77,"",1,1097SP,Amsterdam
Zaaiersweg,77,"",H,1097SP,Amsterdam
Zaaiersweg,79,"",1,1097SP,Amsterdam
Zaaiersweg,79,"",H,1097SP,Amsterdam
Zaaiersweg,81,"",1,1097SP,Amsterdam
Zaaiersweg,81,"",H,1097SP,Amsterdam
Zaaiersweg,83,"",1,1097SP,Amsterdam
Zaaiersweg,83,"",H,1097SP,Amsterdam
Zaaiersweg,85,"",1,1097SP,Amsterdam
Zaaiersweg,85,"",H,1097SP,Amsterdam
Zaaiersweg,87,"",1,1097SP,Amsterdam
Zaaiersweg,87,"",H,1097SP,Amsterdam
Zaaiersweg,89,"","",1097SP,Amsterdam
Zaaiersweg,107,"","",1097SR,Amsterdam
Zaaiersweg,109,"","",1097SR,Amsterdam
Zaaiersweg,111,"","",1097SR,Amsterdam
Zaaiersweg,113,"","",1097SR,Amsterdam
Zaaiersweg,115,"","",1097SR,Amsterdam
Zaaiersweg,117,"","",1097SR,Amsterdam
Zaaiersweg,119,"","",1097SR,Amsterdam
Zaaiersweg,121,"","",1097SR,Amsterdam
Zaaiersweg,123,"","",1097SR,Amsterdam
Zaaiersweg,125,"","",1097SR,Amsterdam
Zaaiersweg,127,"","",1097SR,Amsterdam
Zaaiersweg,129,"","",1097SR,Amsterdam
Zaaiersweg,131,"","",1097SR,Amsterdam
Zaaiersweg,133,"","",1097SR,Amsterdam
Zaaiersweg,135,"","",1097SR,Amsterdam
Zaaiersweg,137,"","",1097SR,Amsterdam
Zaaiersweg,91,"","",1097SR,Amsterdam
Zaaiersweg,93,"",1,1097SR,Amsterdam
Zaaiersweg,93,"",H,1097SR,Amsterdam
Zaaiersweg,95,"","",1097SR,Amsterdam
Zaaiersweg,97,"","",1097SR,Amsterdam
Zaaiersweg,99,"","",1097SR,Amsterdam
Gooiseweg,10,"","",1097ST,Amsterdam
Gooiseweg,11,"","",1097ST,Amsterdam
Zaaiersweg,139,"","",1097ST,Amsterdam
Zaaiersweg,141,"","",1097ST,Amsterdam
Zaaiersweg,143,"","",1097ST,Amsterdam
Zaaiersweg,145,"","",1097ST,Amsterdam
Zaaiersweg,147,"","",1097ST,Amsterdam
Zaaiersweg,149,"","",1097ST,Amsterdam
Zaaiersweg,151,"","",1097ST,Amsterdam
Zaaiersweg,153,"","",1097ST,Amsterdam
Zaaiersweg,155,"","",1097ST,Amsterdam
Zaaiersweg,157,"","",1097ST,Amsterdam
Zaaiersweg,159,"","",1097ST,Amsterdam
Zaaiersweg,161,"","",1097ST,Amsterdam
Zaaiersweg,163,"","",1097ST,Amsterdam
Zaaiersweg,165,"","",1097ST,Amsterdam
Zaaiersweg,167,"","",1097ST,Amsterdam
Zaaiersweg,169,"","",1097ST,Amsterdam
Zaaiersweg,171,"","",1097ST,Amsterdam
Zaaiersweg,173,"","",1097ST,Amsterdam
Zaaiersweg,175,"","",1097ST,Amsterdam
Zaaiersweg,177,"","",1097ST,Amsterdam
Zaaiersweg,179,"","",1097ST,Amsterdam
Zaaiersweg,180,"","",1097ST,Amsterdam
Zaaiersweg,181,"","",1097ST,Amsterdam
Zaaiersweg,182,"","",1097ST,Amsterdam
Zaaiersweg,183,"","",1097ST,Amsterdam
Zaaiersweg,2,"","",1097ST,Amsterdam
Egstraat,1,"","",1097SV,Amsterdam
Egstraat,11,"","",1097SV,Amsterdam
Egstraat,13,"","",1097SV,Amsterdam
Egstraat,15,"","",1097SV,Amsterdam
Egstraat,17,"","",1097SV,Amsterdam
Egstraat,19,"","",1097SV,Amsterdam
Egstraat,21,"","",1097SV,Amsterdam
Egstraat,23,"","",1097SV,Amsterdam
Egstraat,3,"","",1097SV,Amsterdam
Egstraat,5,"","",1097SV,Amsterdam
Egstraat,7,"","",1097SV,Amsterdam
Egstraat,9,"","",1097SV,Amsterdam
Egstraat,25,"","",1097SW,Amsterdam
Egstraat,27,"","",1097SW,Amsterdam
Egstraat,29,"","",1097SW,Amsterdam
Egstraat,31,"","",1097SW,Amsterdam
Egstraat,33,"","",1097SW,Amsterdam
Egstraat,35,"","",1097SW,Amsterdam
Egstraat,37,"","",1097SW,Amsterdam
Egstraat,39,"","",1097SW,Amsterdam
Egstraat,41,"","",1097SW,Amsterdam
Egstraat,43,"","",1097SW,Amsterdam
Egstraat,45,"","",1097SW,Amsterdam
Egstraat,47,"","",1097SW,Amsterdam
Egstraat,49,"","",1097SW,Amsterdam
Egstraat,51,"","",1097SW,Amsterdam
Egstraat,53,"","",1097SW,Amsterdam
Egstraat,10,"","",1097SX,Amsterdam
Egstraat,12,"","",1097SX,Amsterdam
Egstraat,14,"","",1097SX,Amsterdam
Egstraat,16,"","",1097SX,Amsterdam
Egstraat,18,"","",1097SX,Amsterdam
