straat,huisnummer,huisletter,toevoeging,postcode,plaats
Sportpark Oostzanerwerf,1,"","",1035EW,Amsterdam
Sportpark Oostzanerwerf,1,A,"",1035EW,Amsterdam
Sportpark Oostzanerwerf,1,A,"",1035EW,Amsterdam
Sportpark Oostzanerwerf,2,"","",1035EW,Amsterdam
Sportpark Oostzanerwerf,3,"","",1035EW,Amsterdam
Sportpark Oostzanerwerf,4,"","",1035EW,Amsterdam
Oostzanerdijk,139,"","",1035EX,Amsterdam
Oostzanerdijk,141,A,"",1035EX,Amsterdam
Oostzanerdijk,141,B,"",1035EX,Amsterdam
Oostzanerdijk,141,C,"",1035EX,Amsterdam
Oostzanerdijk,141,D,"",1035EX,Amsterdam
Oostzanerdijk,141,E,"",1035EX,Amsterdam
Oostzanerdijk,143,A,"",1035EX,Amsterdam
Oostzanerdijk,143,B,"",1035EX,Amsterdam
Oostzanerdijk,143,C,"",1035EX,Amsterdam
Oostzanerdijk,143,D,"",1035EX,Amsterdam
Oostzanerdijk,143,E,"",1035EX,Amsterdam
Oostzanerdijk,143,F,"",1035EX,Amsterdam
Oostzanerdijk,143,G,"",1035EX,Amsterdam
Oostzanerdijk,143,H,"",1035EX,Amsterdam
Oostzanerdijk,143,K,"",1035EX,Amsterdam
Oostzanerdijk,145,A,"",1035EX,Amsterdam
Oostzanerdijk,145,B,"",1035EX,Amsterdam
Oostzanerdijk,145,C,"",1035EX,Amsterdam
Oostzanerdijk,145,D,"",1035EX,Amsterdam
Oostzanerdijk,145,E,"",1035EX,Amsterdam
Oostzanerdijk,147,A,"",1035EX,Amsterdam
Oostzanerdijk,147,B,"",1035EX,Amsterdam
Oostzanerdijk,147,C,"",1035EX,Amsterdam
Oostzanerdijk,147,D,"",1035EX,Amsterdam
Oostzanerdijk,147,E,"",1035EX,Amsterdam
Oostzanerdijk,147,F,"",1035EX,Amsterdam
Oostzanerdijk,147,G,"",1035EX,Amsterdam
Oostzanerdijk,147,H,"",1035EX,Amsterdam
Oostzanerdijk,147,K,"",1035EX,Amsterdam
Oostzanerdijk,151,"","",1035EX,Amsterdam
Oostzanerdijk,153,"","",1035EX,Amsterdam
Oostzanerdijk,155,"","",1035EX,Amsterdam
Oostzanerdijk,157,"","",1035EX,Amsterdam
Oostzanerdijk,159,"","",1035EX,Amsterdam
Oostzanerdijk,161,"","",1035EX,Amsterdam
Oostzanerdijk,163,"","",1035EX,Amsterdam
Oostzanerdijk,165,"","",1035EX,Amsterdam
Oostzanerdijk,167,"","",1035EX,Amsterdam
Oostzanerdijk,169,"","",1035EX,Amsterdam
Oostzanerdijk,171,"","",1035EX,Amsterdam
Oostzanerdijk,173,"","",1035EX,Amsterdam
Oostzanerdijk,177,"","",1035EX,Amsterdam
Oostzanerdijk,181,"","",1035EX,Amsterdam
Oostzanerdijk,183,"","",1035EX,Amsterdam
Oostzanerdijk,187,"","",1035EX,Amsterdam
Oostzanerdijk,191,"","",1035EX,Amsterdam
Oostzanerdijk,205,"","",1035EX,Amsterdam
Meteorenweg,212,A,"",1035RN,Amsterdam
Meteorenweg,212,C,"",1035RN,Amsterdam
Meteorenweg,212,D,"",1035RN,Amsterdam
Meteorenweg,212,E,"",1035RN,Amsterdam
Meteorenweg,212,F,"",1035RN,Amsterdam
Meteorenweg,212,G,"",1035RN,Amsterdam
Meteorenweg,266,"","",1035RN,Amsterdam
Meteorenweg,268,"","",1035RN,Amsterdam
Meteorenweg,270,"","",1035RN,Amsterdam
Meteorenweg,272,"","",1035RN,Amsterdam
Meteorenweg,274,"","",1035RN,Amsterdam
Meteorenweg,276,"","",1035RN,Amsterdam
Meteorenweg,276,"","",1035RN,Amsterdam
Meteorenweg,278,"","",1035RN,Amsterdam
Meteorenweg,280,"","",1035RN,Amsterdam
Meteorenweg,280,A,"",1035RN,Amsterdam
Meteorenweg,280,B,"",1035RN,Amsterdam
Meteorenweg,280,C,"",1035RN,Amsterdam
Meteorenweg,280,D,"",1035RN,Amsterdam
Meteorenweg,280,E,"",1035RN,Amsterdam
Meteorenweg,280,F,"",1035RN,Amsterdam
Meteorenweg,280,G,"",1035RN,Amsterdam
Meteorenweg,282,"","",1035RN,Amsterdam
Meteorenweg,284,A,1,1035RN,Amsterdam
Meteorenweg,284,A,10,1035RN,Amsterdam
Meteorenweg,284,A,11,1035RN,Amsterdam
Meteorenweg,284,A,12,1035RN,Amsterdam
Meteorenweg,284,A,13,1035RN,Amsterdam
Meteorenweg,284,A,14,1035RN,Amsterdam
Meteorenweg,284,A,2,1035RN,Amsterdam
Meteorenweg,284,A,3,1035RN,Amsterdam
Meteorenweg,284,A,4,1035RN,Amsterdam
Meteorenweg,284,A,5,1035RN,Amsterdam
Meteorenweg,284,A,6,1035RN,Amsterdam
Meteorenweg,284,A,7,1035RN,Amsterdam
Meteorenweg,284,A,8,1035RN,Amsterdam
Meteorenweg,284,A,9,1035RN,Amsterdam
Meteorenweg,284,B,1,1035RN,Amsterdam
Meteorenweg,284,B,10,1035RN,Amsterdam
Meteorenweg,284,B,11,1035RN,Amsterdam
Meteorenweg,284,B,12,1035RN,Amsterdam
Meteorenweg,284,B,13,1035RN,Amsterdam
Meteorenweg,284,B,14,1035RN,Amsterdam
Meteorenweg,284,B,2,1035RN,Amsterdam
Meteorenweg,284,B,3,1035RN,Amsterdam
Meteorenweg,284,B,4,1035RN,Amsterdam
Meteorenweg,284,B,5,1035RN,Amsterdam
Meteorenweg,284,B,6,1035RN,Amsterdam
Meteorenweg,284,B,7,1035RN,Amsterdam
Meteorenweg,284,B,8,1035RN,Amsterdam
Meteorenweg,284,B,9,1035RN,Amsterdam
Meteorenweg,284,C,1,1035RN,Amsterdam
Meteorenweg,284,C,10,1035RN,Amsterdam
Meteorenweg,284,C,11,1035RN,Amsterdam
Meteorenweg,284,C,12,1035RN,Amsterdam
Meteorenweg,284,C,13,1035RN,Amsterdam
Meteorenweg,284,C,14,1035RN,Amsterdam
Meteorenweg,284,C,2,1035RN,Amsterdam
Meteorenweg,284,C,3,1035RN,Amsterdam
Meteorenweg,284,C,4,1035RN,Amsterdam
Meteorenweg,284,C,5,1035RN,Amsterdam
Meteorenweg,284,C,6,1035RN,Amsterdam
Meteorenweg,284,C,7,1035RN,Amsterdam
Meteorenweg,284,C,8,1035RN,Amsterdam
Meteorenweg,284,C,9,1035RN,Amsterdam
Meteorenweg,286,A,1,1035RN,Amsterdam
Meteorenweg,286,A,2,1035RN,Amsterdam
