postcode,straat,huisnummer,huisletter,toevoeging
1023VW,Andijkstraat,1,,
1023VW,Andijkstraat,2,,
1023VW,Andijkstraat,3,,
1023VW,Andijkstraat,4,,
1023VW,Andijkstraat,5,,
1023VW,Andijkstraat,6,,
1023VW,Andijkstraat,7,,
1023VW,Andijkstraat,8,,
1023VW,Andijkstraat,9,,
1023VW,Andijkstraat,10,,
1023VW,Andijkstraat,11,,
1023VW,Andijkstraat,12,,
1023VW,Andijkstraat,13,,
1023VW,Andijkstraat,14,,
1023VW,Andijkstraat,15,,
1023VW,Andijkstraat,16,,
1023VW,Andijkstraat,17,,
1023VW,Andijkstraat,18,,
1023VV,Berkhouthof,1,,
1023VV,Berkhouthof,2,,
1023VV,Berkhouthof,3,,
1023VV,Berkhouthof,4,,
1023VV,Berkhouthof,5,,
1023VV,Berkhouthof,6,,
1023VV,Berkhouthof,7,,
1023VV,Berkhouthof,8,,
1023VV,Berkhouthof,9,,
1023VV,Berkhouthof,10,,
1023VV,Berkhouthof,11,,
1023VV,Berkhouthof,12,,
1023VV,Berkhouthof,13,,
1023VV,Berkhouthof,14,,
1023VV,Berkhouthof,15,,
1023VV,Berkhouthof,16,,
1023BH,Brede Kerkepad,1,,
1023BH,Brede Kerkepad,3,,
1023BH,Brede Kerkepad,6,,
1023BH,Brede Kerkepad,8,,
1023XX,Dirkshornplantsoen,1,,
1023XX,Dirkshornplantsoen,2,,
1023XX,Dirkshornplantsoen,3,,
1023XX,Dirkshornplantsoen,4,,
1023XX,Dirkshornplantsoen,5,,
1023XX,Dirkshornplantsoen,6,,
1023XX,Dirkshornplantsoen,7,,
1023XX,Dirkshornplantsoen,8,,
1023XX,Dirkshornplantsoen,9,,
1023XX,Dirkshornplantsoen,10,,
1023XX,Dirkshornplantsoen,11,,
1023XX,Dirkshornplantsoen,12,,
1023XZ,Dirkshornplantsoen,13,,
1023XZ,Dirkshornplantsoen,14,,
1023XZ,Dirkshornplantsoen,15,,
1023XZ,Dirkshornplantsoen,16,,
1023XZ,Dirkshornplantsoen,17,,
1023XZ,Dirkshornplantsoen,18,,
1023XZ,Dirkshornplantsoen,19,,
1023XZ,Dirkshornplantsoen,20,,
1023XZ,Dirkshornplantsoen,21,,
1023XZ,Dirkshornplantsoen,22,,
1023XZ,Dirkshornplantsoen,23,,
1023XZ,Dirkshornplantsoen,24,,
1023XZ,Dirkshornplantsoen,25,,
1023VS,Enkhuizerplein,1,,
1023VS,Enkhuizerplein,3,,
1023VS,Enkhuizerplein,5,,
1023VS,Enkhuizerplein,7,,
1023VS,Enkhuizerplein,9,,
1023VS,Enkhuizerplein,11,,
1023VS,Enkhuizerplein,13,,
1023VS,Enkhuizerplein,15,,
1023VT,Enkhuizerplein,2,,
1023VT,Enkhuizerplein,8,,H
1023VT,Enkhuizerplein,8,,H
1023VT,Enkhuizerplein,8,,1
1023VT,Enkhuizerplein,8,,1
1023VT,Enkhuizerplein,20,,H
1023VT,Enkhuizerplein,20,,1
1023VP,Enkhuizerstraat,1,,
1023VP,Enkhuizerstraat,3,,
1023VP,Enkhuizerstraat,5,,
1023VP,Enkhuizerstraat,7,,
1023VP,Enkhuizerstraat,9,,
1023VP,Enkhuizerstraat,11,,
1023VP,Enkhuizerstraat,13,,
1023VP,Enkhuizerstraat,15,,
1023VP,Enkhuizerstraat,17,,
1023VP,Enkhuizerstraat,19,,
1023VP,Enkhuizerstraat,21,,
1023VR,Enkhuizerstraat,2,,
