postcode,straat,huisnummer,huisletter,toevoeging
1028BJ,Bloemendalergouw,8,,
1028BJ,Bloemendalergouw,16,,
1028BJ,Bloemendalergouw,26,,
1028BJ,Bloemendalergouw,42,,
1028BJ,Bloemendalergouw,52,,
1028BJ,Bloemendalergouw,72,,
1028BJ,Bloemendalergouw,90,,
1028BJ,Bloemendalergouw,92,,
1028BJ,Bloemendalergouw,94,,
1028BT,Durgerdammergouw,2,,
1028BT,Durgerdammergouw,10,,
1028BT,Durgerdammergouw,20,,
1028BK,Dorpsweg Ransdorp,15,,
1028BK,Dorpsweg Ransdorp,15,,
1028BK,Dorpsweg Ransdorp,17,,
1028BK,Dorpsweg Ransdorp,19,,
1028BK,Dorpsweg Ransdorp,21,,
1028BK,Dorpsweg Ransdorp,23,,
1028BK,Dorpsweg Ransdorp,27,,
1028BK,Dorpsweg Ransdorp,31,,
1028BK,Dorpsweg Ransdorp,33,,
1028BK,Dorpsweg Ransdorp,35,,
1028BK,Dorpsweg Ransdorp,37,,
1028BK,Dorpsweg Ransdorp,43,,
1028BK,Dorpsweg Ransdorp,45,,
1028BK,Dorpsweg Ransdorp,47,,
1028BL,Dorpsweg Ransdorp,51,,
1028BL,Dorpsweg Ransdorp,55,,
1028BL,Dorpsweg Ransdorp,57,,
1028BL,Dorpsweg Ransdorp,59,,
1028BL,Dorpsweg Ransdorp,63,,
1028BL,Dorpsweg Ransdorp,67,,
1028BL,Dorpsweg Ransdorp,71,A,
1028BL,Dorpsweg Ransdorp,71,B,
1028BL,Dorpsweg Ransdorp,71,C,
1028BL,Dorpsweg Ransdorp,73,,
1028BL,Dorpsweg Ransdorp,75,,
1028BL,Dorpsweg Ransdorp,77,,
1028BL,Dorpsweg Ransdorp,79,,
1028BL,Dorpsweg Ransdorp,81,,
1028BL,Dorpsweg Ransdorp,83,,
1028BL,Dorpsweg Ransdorp,85,,
1028BL,Dorpsweg Ransdorp,87,,
1028BL,Dorpsweg Ransdorp,89,,
1028BL,Dorpsweg Ransdorp,91,,
1028BL,Dorpsweg Ransdorp,91,,
1028BL,Dorpsweg Ransdorp,91,,
1028BL,Dorpsweg Ransdorp,93,,
1028BL,Dorpsweg Ransdorp,93,A,
1028BM,Dorpsweg Ransdorp,95,,
1028BM,Dorpsweg Ransdorp,99,,
1028BM,Dorpsweg Ransdorp,101,,
1028BM,Dorpsweg Ransdorp,103,,
1028BM,Dorpsweg Ransdorp,105,,
1028BM,Dorpsweg Ransdorp,107,,
1028BM,Dorpsweg Ransdorp,107,,
1028BM,Dorpsweg Ransdorp,109,,
1028BM,Dorpsweg Ransdorp,109,,
1028BM,Dorpsweg Ransdorp,111,,
1028BM,Dorpsweg Ransdorp,113,,
1028BM,Dorpsweg Ransdorp,115,,
1028BM,Dorpsweg Ransdorp,117,,
1028BM,Dorpsweg Ransdorp,119,,
1028BM,Dorpsweg Ransdorp,121,,
1028BN,Dorpsweg Ransdorp,2,,
1028BN,Dorpsweg Ransdorp,4,,
1028BN,Dorpsweg Ransdorp,8,,
1028BN,Dorpsweg Ransdorp,10,,
1028BN,Dorpsweg Ransdorp,12,,
1028BN,Dorpsweg Ransdorp,14,,
1028BN,Dorpsweg Ransdorp,16,,
1028BN,Dorpsweg Ransdorp,18,,
1028BN,Dorpsweg Ransdorp,22,,
1028BN,Dorpsweg Ransdorp,24,,
1028BN,Dorpsweg Ransdorp,26,,
1028BP,Dorpsweg Ransdorp,30,,
1028BP,Dorpsweg Ransdorp,30,A,
1028BP,Dorpsweg Ransdorp,32,,
1028BP,Dorpsweg Ransdorp,34,,
1028BP,Dorpsweg Ransdorp,36,,
1028BP,Dorpsweg Ransdorp,38,,
1028BP,Dorpsweg Ransdorp,40,A,
1028BP,Dorpsweg Ransdorp,40,B,
1028BP,Dorpsweg Ransdorp,42,,
1028BP,Dorpsweg Ransdorp,46,,
1028BP,Dorpsweg Ransdorp,48,,
1028BP,Dorpsweg Ransdorp,50,,
1028BP,Dorpsweg Ransdorp,52,,
1028BP,Dorpsweg Ransdorp,52,,
1028BP,Dorpsweg Ransdorp,54,,
1028BP,Dorpsweg Ransdorp,56,,
1028BP,Dorpsweg Ransdorp,58,,
1028BP,Dorpsweg Ransdorp,60,,
1028BP,Dorpsweg Ransdorp,62,,
1028BR,Dorpsweg Ransdorp,64,,
1028BR,Dorpsweg Ransdorp,66,,
1028BR,Dorpsweg Ransdorp,68,A,
1028BR,Dorpsweg Ransdorp,68,B,
1028BR,Dorpsweg Ransdorp,70,,
1028BR,Dorpsweg Ransdorp,72,,
1028BR,Dorpsweg Ransdorp,74,,
1028BR,Dorpsweg Ransdorp,76,,
1028BR,Dorpsweg Ransdorp,78,,
1028BR,Dorpsweg Ransdorp,80,,
1028BS,Dorpsweg Ransdorp,82,,
1028BS,Dorpsweg Ransdorp,84,,
1028BS,Dorpsweg Ransdorp,88,,
1028BS,Dorpsweg Ransdorp,92,,
1028BS,Dorpsweg Ransdorp,94,,
1028BS,Dorpsweg Ransdorp,96,,
1028BS,Dorpsweg Ransdorp,98,,
1028BS,Dorpsweg Ransdorp,100,,
1028BS,Dorpsweg Ransdorp,102,,
1028BS,Dorpsweg Ransdorp,106,,
1028BJ,Bloemendalergouw,102,,
1028BV,Liergouw,76,,
1028BV,Liergouw,77,,
1028BV,Liergouw,81,,
1028BV,Liergouw,88,,
1028BL,Dorpsweg Ransdorp,71,D,
1028BL,Dorpsweg Ransdorp,69,,
1028BS,Dorpsweg Ransdorp,82,B,
1028BT,Durgerdammergouw,22,,
1028BT,Durgerdammergouw,24,,
1028BK,Dorpsweg Ransdorp,39,,
1028BK,Dorpsweg Ransdorp,7,,
1028BK,Dorpsweg Ransdorp,9,,
1028BK,Dorpsweg Ransdorp,11,,
1028BK,Dorpsweg Ransdorp,13,,
1028BS,Dorpsweg Ransdorp,108,,
1028BJ,Bloemendalergouw,100,,
1028BJ,Bloemendalergouw,98,,
1028BM,Dorpsweg Ransdorp,127,,
1028BM,Dorpsweg Ransdorp,127,,
1028BP,Dorpsweg Ransdorp,44,B,
1028BP,Dorpsweg Ransdorp,44,,
1028BJ,Bloemendalergouw,4,,
1028BJ,Bloemendalergouw,6,,
1028BM,Dorpsweg Ransdorp,133,,
1028BM,Dorpsweg Ransdorp,129,,
1028BV,Liergouw,78,,
1028BV,Liergouw,80,,
1028BM,Dorpsweg Ransdorp,107,A,
1028BT,Durgerdammergouw,26,,
1028BJ,Bloemendalergouw,60,,
1028BJ,Bloemendalergouw,8,A,
1028BJ,Bloemendalergouw,60,A,
1028BJ,Bloemendalergouw,60,A,
1028BL,Dorpsweg Ransdorp,59,A,
1028BL,Dorpsweg Ransdorp,59,A,
1028BV,Liergouw,78,A,
1028BV,Liergouw,78,A,
1028BV,Liergouw,78,A,
1028BJ,Bloemendalergouw,52,A,
1028BJ,Bloemendalergouw,18,,
1028BM,Dorpsweg Ransdorp,113,Z,99
1028BM,Dorpsweg Ransdorp,113,,
1028BM,Dorpsweg Ransdorp,115,Z,99
1028BM,Dorpsweg Ransdorp,115,,
1028BV,Liergouw,76,Z,99
1028BV,Liergouw,76,Z,99
1028BV,Liergouw,76,A,
1028BV,Liergouw,76,A,
1028BJ,Bloemendalergouw,90,A,
1028BJ,Bloemendalergouw,16,A,
1028BM,Dorpsweg Ransdorp,107,,
1028BM,Dorpsweg Ransdorp,109,,
1028BK,Dorpsweg Ransdorp,29,,
1028BK,Dorpsweg Ransdorp,29,,
1028BK,Dorpsweg Ransdorp,29,,
1028BT,Durgerdammergouw,2,A,1
1028BT,Durgerdammergouw,2,A,2
1028BT,Durgerdammergouw,2,B,1
1028BT,Durgerdammergouw,2,B,2
1028BT,Durgerdammergouw,2,B,2
1028BT,Durgerdammergouw,2,B,1
1028BT,Durgerdammergouw,2,C,1
1028BT,Durgerdammergouw,2,C,2
1028BT,Durgerdammergouw,2,C,2
1028BT,Durgerdammergouw,2,C,1
1028BT,Durgerdammergouw,2,D,1
1028BT,Durgerdammergouw,2,D,2
1028BT,Durgerdammergouw,2,D,2
1028BT,Durgerdammergouw,2,D,1
1028BT,Durgerdammergouw,2,E,
1028BT,Durgerdammergouw,2,F,1
1028BT,Durgerdammergouw,2,F,2
1028BT,Durgerdammergouw,2,F,3
1028BT,Durgerdammergouw,2,G,
1028BM,Dorpsweg Ransdorp,119,A,
1028BM,Dorpsweg Ransdorp,119,A,
1028BJ,Bloemendalergouw,18,A,
1028BP,Dorpsweg Ransdorp,44,A,
1028BP,Dorpsweg Ransdorp,44,,
1028BJ,Bloemendalergouw,92,A,
1028BJ,Bloemendalergouw,92,B,
1028BJ,Bloemendalergouw,92,C,
1028BJ,Bloemendalergouw,92,D,
1028BJ,Bloemendalergouw,92,E,
1028BJ,Bloemendalergouw,92,F,
1028BJ,Bloemendalergouw,92,G,
1028BJ,Bloemendalergouw,92,H,
1028BJ,Bloemendalergouw,92,K,
1028BJ,Bloemendalergouw,92,L,
1028BJ,Bloemendalergouw,92,M,
1028BJ,Bloemendalergouw,92,N,
1028BJ,Bloemendalergouw,92,P,
1028BJ,Bloemendalergouw,92,R,
1028BJ,Bloemendalergouw,92,S,
1028BJ,Bloemendalergouw,92,T,
1028BJ,Bloemendalergouw,92,V,
1028BJ,Bloemendalergouw,92,W,
1028BJ,Bloemendalergouw,92,X,
1028BJ,Bloemendalergouw,92,U,
1028BN,Dorpsweg Ransdorp,2,,
1028BL,Dorpsweg Ransdorp,85,,
1028BL,Dorpsweg Ransdorp,67,A,
1028BL,Dorpsweg Ransdorp,67,A,
1028BL,Dorpsweg Ransdorp,67,B,
1028BL,Dorpsweg Ransdorp,67,B,
1028BL,Dorpsweg Ransdorp,67,C,
1028BL,Dorpsweg Ransdorp,67,C,
1028BL,Dorpsweg Ransdorp,67,D,
1028BL,Dorpsweg Ransdorp,67,D,
1028BT,Durgerdammergouw,26,,
1028BT,Durgerdammergouw,26,,
1028BT,Durgerdammergouw,26,,
1028BJ,Bloemendalergouw,62,E,
1028BJ,Bloemendalergouw,62,F,
1028BJ,Bloemendalergouw,64,L,
1028BJ,Bloemendalergouw,66,L,
1028BJ,Bloemendalergouw,64,M,
1028BJ,Bloemendalergouw,66,M,
1028BT,Durgerdammergouw,24,A,
1028BT,Durgerdammergouw,24,B,
1028BT,Durgerdammergouw,24,C,
1028BT,Durgerdammergouw,28,,
1028BV,Liergouw,78,B,
