straat,huisnummer,huisletter,toevoeging,postcode,plaats
Stationsweg,1,"","",1382AA,Weesp
Stationsweg,1,A,"",1382AA,Weesp
Stationsweg,11,"","",1382AA,Weesp
Stationsweg,11,A,"",1382AA,Weesp
Stationsweg,11,B,"",1382AA,Weesp
Stationsweg,11,C,"",1382AA,Weesp
Stationsweg,11,D,"",1382AA,Weesp
Stationsweg,11,E,"",1382AA,Weesp
Stationsweg,11,F,"",1382AA,Weesp
Stationsweg,121,"","",1382AA,Weesp
Stationsweg,123,"","",1382AA,Weesp
Stationsweg,125,"","",1382AA,Weesp
Stationsweg,127,"","",1382AA,Weesp
Stationsweg,129,"","",1382AA,Weesp
Stationsweg,13,"","",1382AA,Weesp
Stationsweg,131,"","",1382AA,Weesp
Stationsweg,133,"","",1382AA,Weesp
Stationsweg,135,"","",1382AA,Weesp
Stationsweg,137,"","",1382AA,Weesp
Stationsweg,15,"","",1382AA,Weesp
Stationsweg,17,"","",1382AA,Weesp
Stationsweg,17,A,"",1382AA,Weesp
Stationsweg,19,"","",1382AA,Weesp
Stationsweg,21,"","",1382AA,Weesp
Stationsweg,23,"","",1382AA,Weesp
Stationsweg,25,"","",1382AA,Weesp
Stationsweg,27,"","",1382AA,Weesp
Stationsweg,29,"","",1382AA,Weesp
Stationsweg,3,"","",1382AA,Weesp
Stationsweg,31,"","",1382AA,Weesp
Stationsweg,33,"","",1382AA,Weesp
Stationsweg,35,"","",1382AA,Weesp
Stationsweg,37,"","",1382AA,Weesp
Stationsweg,5,"","",1382AA,Weesp
Stationsweg,7,"","",1382AA,Weesp
Stationsweg,7,A,"",1382AA,Weesp
Stationsweg,9,"","",1382AA,Weesp
Stationsweg,9,A,"",1382AA,Weesp
Stationsweg,9,B,"",1382AA,Weesp
Stationsweg,9,C,"",1382AA,Weesp
Stationsweg,9,D,"",1382AA,Weesp
Stationsweg,10,"","",1382AB,Weesp
Stationsweg,12,"","",1382AB,Weesp
Stationsweg,14,"","",1382AB,Weesp
Stationsweg,16,"","",1382AB,Weesp
Stationsweg,18,"","",1382AB,Weesp
Stationsweg,2,"","",1382AB,Weesp
Stationsweg,20,"","",1382AB,Weesp
Stationsweg,22,"","",1382AB,Weesp
Stationsweg,24,"","",1382AB,Weesp
Stationsweg,26,"","",1382AB,Weesp
Stationsweg,28,"","",1382AB,Weesp
Stationsweg,30,"","",1382AB,Weesp
Stationsweg,30,A,"",1382AB,Weesp
Stationsweg,4,"","",1382AB,Weesp
Stationsweg,6,"","",1382AB,Weesp
Spoorstraat,1,"","",1382AC,Weesp
Spoorstraat,2,"","",1382AC,Weesp
Spoorstraat,3,"","",1382AC,Weesp
Spoorstraat,4,"","",1382AC,Weesp
Spoorstraat,5,"","",1382AC,Weesp
Spoorstraat,6,"","",1382AC,Weesp
Spoorstraat,7,"","",1382AC,Weesp
Stationsplein,1,"","",1382AD,Weesp
Stationsplein,1,A,"",1382AD,Weesp
Stationsplein,10,"","",1382AD,Weesp
Stationsplein,108,"","",1382AD,Weesp
Stationsplein,11,"","",1382AD,Weesp
Stationsplein,110,"","",1382AD,Weesp
Stationsplein,112,"","",1382AD,Weesp
Stationsplein,114,"","",1382AD,Weesp
Stationsplein,116,"","",1382AD,Weesp
Stationsplein,118,"","",1382AD,Weesp
Stationsplein,12,"","",1382AD,Weesp
Stationsplein,120,"","",1382AD,Weesp
Stationsplein,122,"","",1382AD,Weesp
Stationsplein,124,"","",1382AD,Weesp
Stationsplein,127,"","",1382AD,Weesp
Stationsplein,129,"","",1382AD,Weesp
Stationsplein,13,"","",1382AD,Weesp
Stationsplein,131,"","",1382AD,Weesp
Stationsplein,132,"","",1382AD,Weesp
Stationsplein,133,"","",1382AD,Weesp
Stationsplein,134,"","",1382AD,Weesp
Stationsplein,135,"","",1382AD,Weesp
Stationsplein,136,"","",1382AD,Weesp
Stationsplein,137,"","",1382AD,Weesp
Stationsplein,138,"","",1382AD,Weesp
Stationsplein,139,"","",1382AD,Weesp
Stationsplein,14,"","",1382AD,Weesp
Stationsplein,140,"","",1382AD,Weesp
Stationsplein,141,"","",1382AD,Weesp
Stationsplein,142,"","",1382AD,Weesp
Stationsplein,143,"","",1382AD,Weesp
Stationsplein,145,"","",1382AD,Weesp
Stationsplein,147,"","",1382AD,Weesp
Stationsplein,149,"","",1382AD,Weesp
Stationsplein,15,"","",1382AD,Weesp
Stationsplein,16,"","",1382AD,Weesp
Stationsplein,17,"","",1382AD,Weesp
Stationsplein,18,"","",1382AD,Weesp
Stationsplein,19,"","",1382AD,Weesp
Stationsplein,2,"","",1382AD,Weesp
Stationsplein,2,A,"",1382AD,Weesp
Stationsplein,2,B,"",1382AD,Weesp
Stationsplein,20,"","",1382AD,Weesp
Stationsplein,21,"","",1382AD,Weesp
Stationsplein,22,"","",1382AD,Weesp
Stationsplein,23,"","",1382AD,Weesp
Stationsplein,24,"","",1382AD,Weesp
Stationsplein,25,"","",1382AD,Weesp
Stationsplein,27,"","",1382AD,Weesp
Stationsplein,28,"","",1382AD,Weesp
Stationsplein,29,"","",1382AD,Weesp
Stationsplein,3,"","",1382AD,Weesp
Stationsplein,30,"","",1382AD,Weesp
Stationsplein,31,"","",1382AD,Weesp
Stationsplein,32,"","",1382AD,Weesp
Stationsplein,34,"","",1382AD,Weesp
Stationsplein,35,"","",1382AD,Weesp
Stationsplein,36,"","",1382AD,Weesp
Stationsplein,37,"","",1382AD,Weesp
Stationsplein,38,"","",1382AD,Weesp
Stationsplein,39,"","",1382AD,Weesp
Stationsplein,40,"","",1382AD,Weesp
Stationsplein,41,"","",1382AD,Weesp
Stationsplein,42,"","",1382AD,Weesp
Stationsplein,43,"","",1382AD,Weesp
Stationsplein,45,"","",1382AD,Weesp
Stationsplein,47,"","",1382AD,Weesp
Stationsplein,49,"","",1382AD,Weesp
Stationsplein,5,"","",1382AD,Weesp
Stationsplein,7,"","",1382AD,Weesp
Stationsplein,8,"","",1382AD,Weesp
Stationsplein,9,"","",1382AD,Weesp
Sportparklaan,2,"","",1382AL,Weesp
P.C.Boutensstraat,1,"","",1382AM,Weesp
P.C.Boutensstraat,11,"","",1382AM,Weesp
P.C.Boutensstraat,13,"","",1382AM,Weesp
P.C.Boutensstraat,15,"","",1382AM,Weesp
P.C.Boutensstraat,17,"","",1382AM,Weesp
P.C.Boutensstraat,19,"","",1382AM,Weesp
P.C.Boutensstraat,3,"","",1382AM,Weesp
P.C.Boutensstraat,5,"","",1382AM,Weesp
P.C.Boutensstraat,7,"","",1382AM,Weesp
P.C.Boutensstraat,9,"","",1382AM,Weesp
Simon Vestdijkstraat,10,"","",1382DA,Weesp
Simon Vestdijkstraat,102,"","",1382DA,Weesp
Simon Vestdijkstraat,104,"","",1382DA,Weesp
Simon Vestdijkstraat,106,"","",1382DA,Weesp
Simon Vestdijkstraat,108,"","",1382DA,Weesp
Simon Vestdijkstraat,110,"","",1382DA,Weesp
Simon Vestdijkstraat,112,"","",1382DA,Weesp
Simon Vestdijkstraat,114,"","",1382DA,Weesp
Simon Vestdijkstraat,116,"","",1382DA,Weesp
Simon Vestdijkstraat,118,"","",1382DA,Weesp
Simon Vestdijkstraat,12,"","",1382DA,Weesp
Simon Vestdijkstraat,120,"","",1382DA,Weesp
Simon Vestdijkstraat,122,"","",1382DA,Weesp
Simon Vestdijkstraat,124,"","",1382DA,Weesp
Simon Vestdijkstraat,126,"","",1382DA,Weesp
Simon Vestdijkstraat,128,"","",1382DA,Weesp
Simon Vestdijkstraat,130,"","",1382DA,Weesp
Simon Vestdijkstraat,132,"","",1382DA,Weesp
Simon Vestdijkstraat,14,"","",1382DA,Weesp
Simon Vestdijkstraat,16,"","",1382DA,Weesp
Simon Vestdijkstraat,18,"","",1382DA,Weesp
Simon Vestdijkstraat,2,"","",1382DA,Weesp
Simon Vestdijkstraat,20,"","",1382DA,Weesp
Simon Vestdijkstraat,22,"","",1382DA,Weesp
Simon Vestdijkstraat,24,"","",1382DA,Weesp
Simon Vestdijkstraat,26,"","",1382DA,Weesp
Simon Vestdijkstraat,28,"","",1382DA,Weesp
Simon Vestdijkstraat,30,"","",1382DA,Weesp
Simon Vestdijkstraat,32,"","",1382DA,Weesp
Simon Vestdijkstraat,4,"","",1382DA,Weesp
Simon Vestdijkstraat,6,"","",1382DA,Weesp
Simon Vestdijkstraat,8,"","",1382DA,Weesp
Muiderhof,10,"","",1382DB,Weesp
Muiderhof,12,"","",1382DB,Weesp
Muiderhof,14,"","",1382DB,Weesp
Muiderhof,16,"","",1382DB,Weesp
Muiderhof,18,"","",1382DB,Weesp
Muiderhof,4,"","",1382DB,Weesp
Muiderhof,6,"","",1382DB,Weesp
Muiderhof,8,"","",1382DB,Weesp
Dichtershof,1,"","",1382DE,Weesp
Dichtershof,1,A,"",1382DE,Weesp
Dichtershof,10,"","",1382DE,Weesp
Dichtershof,11,"","",1382DE,Weesp
Dichtershof,12,"","",1382DE,Weesp
Dichtershof,13,"","",1382DE,Weesp
Dichtershof,14,"","",1382DE,Weesp
Dichtershof,15,"","",1382DE,Weesp
Dichtershof,16,"","",1382DE,Weesp
Dichtershof,17,"","",1382DE,Weesp
Dichtershof,18,"","",1382DE,Weesp
Dichtershof,2,"","",1382DE,Weesp
Dichtershof,3,"","",1382DE,Weesp
Dichtershof,4,"","",1382DE,Weesp
Dichtershof,5,"","",1382DE,Weesp
Dichtershof,6,"","",1382DE,Weesp
Dichtershof,7,"","",1382DE,Weesp
Dichtershof,8,"","",1382DE,Weesp
Dichtershof,9,"","",1382DE,Weesp
