postcode,straat,huisnummer,huisletter,toevoeging
1381GT,Utrechtseweg,63,,
1381GZ,Horn,20,,
1381GZ,Horn,21,,
1383HS,Aetsveldseweg,1,,
1383HS,Aetsveldseweg,2,,
1383HS,Aetsveldseweg,3,,
1383HS,Aetsveldseweg,3,a,
1383HS,Aetsveldseweg,3,b,
1383HS,Aetsveldseweg,4,,
1383HS,Aetsveldseweg,4,a,
1383HS,Aetsveldseweg,5,,
1383HS,Aetsveldseweg,7,,
1383NC,Basisweg,1,,
1383NC,Basisweg,2,,
1383NC,Basisweg,3,,
1383NC,Basisweg,5,,
1383NC,Basisweg,7,,
1381HR,Gooilandseweg,1,,
1381HR,Gooilandseweg,2,,
1381HR,Gooilandseweg,3,,
1381HR,Gooilandseweg,3,a,
1381HR,Gooilandseweg,3,b,
1381HR,Gooilandseweg,3,c,
1381HR,Gooilandseweg,4,,
1381HR,Gooilandseweg,5,,
1381HR,Gooilandseweg,5,a,
1381HR,Gooilandseweg,6,,
1381HR,Gooilandseweg,7,,
1381HR,Gooilandseweg,7,a,
1381GX,Horn,1,,
1381GX,Horn,1,a,
1381GX,Horn,2,,
1381GX,Horn,3,,
1381GX,Horn,5,,
1381GX,Horn,6,,
1381GX,Horn,6,a,
1381GX,Horn,7,,
1381GX,Horn,8,,
1381GX,Horn,9,,
1381GX,Horn,10,,
1381GX,Horn,11,,
1381GX,Horn,11,a,
1381GX,Horn,12,,
1381GX,Horn,13,,
1381GX,Horn,14,,
1381GX,Horn,15,,
1381GX,Horn,15,a,
1381GX,Horn,16,,
1381GX,Horn,17,,
1381GX,Horn,18,,
1381GX,Horn,19,,
1381GZ,Horn,20,,
1381GZ,Horn,21,,
1381GZ,Horn,21,a,
1381GZ,Horn,22,,
1381GZ,Horn,23,,
1381GZ,Horn,25,,
1381GZ,Horn,25,b,
1381GZ,Horn,26,,
1381HA,Horn,712,s,
1381HA,Horn,750,s,
1381HA,Horn,751,s,
1381HA,Horn,752,s,
1381HA,Horn,753,s,
1381HA,Horn,754,s,
1381HA,Horn,755,s,
1381HA,Horn,756,s,
1381HA,Horn,757,s,
1381HA,Horn,758,s,
1381HA,Horn,759,s,
1381HA,Horn,760,s,
1381HA,Horn,761,s,
1381HB,Horn,762,s,
1381HB,Horn,763,s,
1381HB,Horn,764,s,
1381HB,Horn,765,s,
1381HB,Horn,766,s,
1381HB,Horn,767,s,
1381HB,Horn,768,s,
1381HB,Horn,769,s,
1381HB,Horn,770,s,
1381HB,Horn,771,s,
1381HB,Horn,772,s,
1381HC,Horn,773,s,
1381HC,Horn,774,s,
1381HC,Horn,775,s,
1381HC,Horn,776,s,
1381HC,Horn,777,s,
1381HC,Horn,778,s,
1381HC,Horn,779,s,
1381HC,Horn,780,s,
1381HC,Horn,781,s,
1381HC,Horn,782,s,
1381HC,Horn,783,s,
1381HC,Horn,784,s,
1381HC,Horn,785,s,
1381HC,Horn,786,s,
1381HC,Horn,787,s,
1381HC,Horn,788,s,
1381HC,Horn,789,s,
1381HC,Horn,790,s,
1381HC,Horn,793,s,
1381HC,Horn,795,s,
1383ND,Kanaaldijk,1,,
1383ND,Kanaaldijk,1,a,
1383HS,Aetsveldseweg,5,a,
1383HS,Aetsveldseweg,2,,
1383HS,Aetsveldseweg,7,,
1383NC,Basisweg,5,a,
1383NC,Basisweg,5,b,
1383NC,Basisweg,5,c,
1383NC,Basisweg,5,d,
1383NC,Basisweg,5,e,
1383NC,Basisweg,5,f,
1383NC,Basisweg,5,g,
1383NC,Basisweg,5,h,
1383NC,Basisweg,5,k,
1383NC,Basisweg,5,m,
1381HR,Gooilandseweg,3,a,
1381GX,Horn,6,a,
1381GX,Horn,12,,
1381GZ,Horn,25,a,
1381GZ,Horn,23,a,
1381HD,Lage Klompweg,1,,
1381HD,Lage Klompweg,2,,
1381HD,Lage Klompweg,3,,
1381HD,Lage Klompweg,4,,
1381HD,Lage Klompweg,5,,
1381HD,Lage Klompweg,6,,
1381HD,Lage Klompweg,7,,
1381HD,Lage Klompweg,8,,
1381HD,Lage Klompweg,9,,
1381HD,Lage Klompweg,10,,
1381HD,Lage Klompweg,11,,
1381HD,Lage Klompweg,12,,
1381HD,Lage Klompweg,13,,
1381HD,Lage Klompweg,14,,
1381HD,Lage Klompweg,15,,
1381HD,Lage Klompweg,16,,
1381HD,Lage Klompweg,16,a,
1381HD,Lage Klompweg,16,b,
1381HD,Lage Klompweg,16,c,
1381HD,Lage Klompweg,16,d,
1381HD,Lage Klompweg,16,e,
1383PL,Lage Klompweg,17,,
1383PL,Lage Klompweg,17,a,
1383PL,Lage Klompweg,18,,
1383PL,Lage Klompweg,18,a,
1383PL,Lage Klompweg,19,,
1383PL,Lage Klompweg,20,,
1383PM,Lage Klompweg,21,,
1383PM,Lage Klompweg,21,a,
1383PM,Lage Klompweg,21,b,
1383PM,Lage Klompweg,22,,
1383PM,Lage Klompweg,23,,
1383PM,Lage Klompweg,25,,
1383PM,Lage Klompweg,26,,
1383PN,Lage Klompweg,860,s,
1383PN,Lage Klompweg,861,s,
1383PN,Lage Klompweg,862,s,
1383PN,Lage Klompweg,863,s,
1383PN,Lage Klompweg,864,s,
1383PN,Lage Klompweg,865,s,
1383PN,Lage Klompweg,866,s,
1383PN,Lage Klompweg,867,s,
1383PN,Lage Klompweg,868,s,
1383PN,Lage Klompweg,869,s,
1383PN,Lage Klompweg,871,s,
1383PN,Lage Klompweg,872,s,
1383PN,Lage Klompweg,873,s,
1383PP,Lage Klompweg,874,s,
1383PP,Lage Klompweg,875,s,
1383PP,Lage Klompweg,876,s,
1383PP,Lage Klompweg,877,s,
1383PP,Lage Klompweg,878,s,
1383PP,Lage Klompweg,879,s,
1383PP,Lage Klompweg,880,s,
1383PP,Lage Klompweg,881,s,
1383PP,Lage Klompweg,882,s,
1383PP,Lage Klompweg,883,s,
1383PP,Lage Klompweg,887,s,
1383NE,Nigtevechtsepad,2,,
1383NE,Nigtevechtsepad,3,,
1383NE,Nigtevechtsepad,2,a,
1381GR,Utrechtseweg,11,,
1381GR,Utrechtseweg,11,a,
1381GR,Utrechtseweg,13,,
1381GR,Utrechtseweg,15,,
1381GR,Utrechtseweg,17,,
1381GR,Utrechtseweg,19,,
1381GR,Utrechtseweg,21,,
1381GR,Utrechtseweg,23,,
1381GR,Utrechtseweg,23,a,
1381GR,Utrechtseweg,25,,
1381GR,Utrechtseweg,25,a,
1381GR,Utrechtseweg,27,,
1381GR,Utrechtseweg,27,a,
1381GR,Utrechtseweg,27,b,
1381GR,Utrechtseweg,29,,
1381GR,Utrechtseweg,50,,
1381GR,Utrechtseweg,52,,
1381GR,Utrechtseweg,54,,
1381GR,Utrechtseweg,56,,
1381GR,Utrechtseweg,58,,
1381GR,Utrechtseweg,60,,
1381GR,Utrechtseweg,62,,
1381GR,Utrechtseweg,64,,
1381GR,Utrechtseweg,66,,
1381GR,Utrechtseweg,68,,
1381GR,Utrechtseweg,70,,
1381GR,Utrechtseweg,72,,
1381GR,Utrechtseweg,74,,
1381GR,Utrechtseweg,76,,
1381GR,Utrechtseweg,78,,
1381GR,Utrechtseweg,29,a,
1381GS,Utrechtseweg,31,,
1381GS,Utrechtseweg,33,,
1381GS,Utrechtseweg,37,,
1381GS,Utrechtseweg,39,,
1381GS,Utrechtseweg,39,a,
1381GS,Utrechtseweg,39,b,
1381GS,Utrechtseweg,41,,
1381GS,Utrechtseweg,43,,
1381GS,Utrechtseweg,45,,
1381GS,Utrechtseweg,47,,
1381GS,Utrechtseweg,47,a,
1381GS,Utrechtseweg,47,b,
1381GS,Utrechtseweg,47,c,
1381GS,Utrechtseweg,80,,
1381GS,Utrechtseweg,82,,
1381GS,Utrechtseweg,84,a,
1381GS,Utrechtseweg,84,b,
1381GS,Utrechtseweg,84,c,
1381GS,Utrechtseweg,84,d,
1381GS,Utrechtseweg,84,e,
1381GS,Utrechtseweg,86,,
1381GS,Utrechtseweg,86,a,
1381GS,Utrechtseweg,88,,
1381GS,Utrechtseweg,88,a,
1381GS,Utrechtseweg,90,,
1381GS,Utrechtseweg,92,,
1381GS,Utrechtseweg,94,,
1381GS,Utrechtseweg,96,,
1381GS,Utrechtseweg,96,a,
1381GS,Utrechtseweg,98,,
1381GS,Utrechtseweg,102,,
1381GS,Utrechtseweg,104,,
1381GS,Utrechtseweg,104,a,
1381GS,Utrechtseweg,106,,
1381GS,Utrechtseweg,108,,
1381GS,Utrechtseweg,31,a,
1381GS,Utrechtseweg,31,a,
1381GS,Utrechtseweg,45,,
1381GT,Utrechtseweg,49,,
1381GT,Utrechtseweg,51,,
1381GT,Utrechtseweg,53,,
1381GT,Utrechtseweg,53,a,
1381GT,Utrechtseweg,53,b,
1381GT,Utrechtseweg,55,,
1381GT,Utrechtseweg,57,,
1381GT,Utrechtseweg,59,,
1381GT,Utrechtseweg,61,,
1381GT,Utrechtseweg,110,,
1381GT,Utrechtseweg,110,a,
1381GT,Utrechtseweg,110,b,
1381GT,Utrechtseweg,112,,
1381GT,Utrechtseweg,112,,bis
1381GT,Utrechtseweg,112,a,
1381GT,Utrechtseweg,114,,
1381GT,Utrechtseweg,114,a,
1381GT,Utrechtseweg,114,b,
1381GT,Utrechtseweg,114,c,
1381GT,Utrechtseweg,116,,
1381GT,Utrechtseweg,118,,
1381GT,Utrechtseweg,118,a,
1381GT,Utrechtseweg,63,,
1381GT,Utrechtseweg,112,a,
1381GT,Utrechtseweg,112,b,
1381GT,Utrechtseweg,112,b,
1381GT,Utrechtseweg,112,c,
1381GT,Utrechtseweg,110,,
1381GW,Utrechtseweg,695,s,
1381GW,Utrechtseweg,696,s,
1381GW,Utrechtseweg,697,s,
1381GW,Utrechtseweg,698,s,
1381GW,Utrechtseweg,699,s,
1381GW,Utrechtseweg,702,s,
1381GW,Utrechtseweg,704,s,
1381GW,Utrechtseweg,706,s,
1381GW,Utrechtseweg,707,s,
