straat,huisnummer,huisletter,toevoeging,postcode,plaats
's-Gravelandseweg,1,"","",1381HH,Weesp
's-Gravelandseweg,10,"","",1381HH,Weesp
's-Gravelandseweg,11,"","",1381HH,Weesp
's-Gravelandseweg,12,"","",1381HH,Weesp
's-Gravelandseweg,13,"","",1381HH,Weesp
's-Gravelandseweg,14,"","",1381HH,Weesp
's-Gravelandseweg,15,"","",1381HH,Weesp
's-Gravelandseweg,16,"","",1381HH,Weesp
's-Gravelandseweg,17,"","",1381HH,Weesp
's-Gravelandseweg,18,"","",1381HH,Weesp
's-Gravelandseweg,18,A,"",1381HH,Weesp
's-Gravelandseweg,18,S,"",1381HH,Weesp
's-Gravelandseweg,18,T,"",1381HH,Weesp
's-Gravelandseweg,18,Z,"",1381HH,Weesp
's-Gravelandseweg,19,"","",1381HH,Weesp
's-Gravelandseweg,19,A,"",1381HH,Weesp
's-Gravelandseweg,2,"","",1381HH,Weesp
's-Gravelandseweg,2,A,"",1381HH,Weesp
's-Gravelandseweg,2,B,"",1381HH,Weesp
's-Gravelandseweg,3,"","",1381HH,Weesp
's-Gravelandseweg,3,A,"",1381HH,Weesp
's-Gravelandseweg,3,B,"",1381HH,Weesp
's-Gravelandseweg,3,B,"",1381HH,Weesp
's-Gravelandseweg,3,C,"",1381HH,Weesp
's-Gravelandseweg,3,C,"",1381HH,Weesp
's-Gravelandseweg,3,D,"",1381HH,Weesp
's-Gravelandseweg,4,"","",1381HH,Weesp
's-Gravelandseweg,5,"","",1381HH,Weesp
's-Gravelandseweg,6,"","",1381HH,Weesp
's-Gravelandseweg,7,"","",1381HH,Weesp
's-Gravelandseweg,8,"","",1381HH,Weesp
's-Gravelandseweg,9,"","",1381HH,Weesp
's-Gravelandseweg,9,"","",1381HH,Weesp
's-Gravelandseweg,20,"","",1381HJ,Weesp
's-Gravelandseweg,20,A,"",1381HJ,Weesp
's-Gravelandseweg,21,"","",1381HJ,Weesp
's-Gravelandseweg,22,"","",1381HJ,Weesp
's-Gravelandseweg,22,A,"",1381HJ,Weesp
's-Gravelandseweg,22,B,"",1381HJ,Weesp
's-Gravelandseweg,22,B,"",1381HJ,Weesp
's-Gravelandseweg,22,C,"",1381HJ,Weesp
's-Gravelandseweg,22,D,"",1381HJ,Weesp
's-Gravelandseweg,22,E,"",1381HJ,Weesp
's-Gravelandseweg,22,F,"",1381HJ,Weesp
's-Gravelandseweg,22,G,"",1381HJ,Weesp
's-Gravelandseweg,23,"","",1381HJ,Weesp
's-Gravelandseweg,23,A,"",1381HJ,Weesp
's-Gravelandseweg,23,B,"",1381HJ,Weesp
's-Gravelandseweg,23,C,"",1381HJ,Weesp
's-Gravelandseweg,23,D,"",1381HJ,Weesp
's-Gravelandseweg,24,"","",1381HJ,Weesp
's-Gravelandseweg,25,"","",1381HJ,Weesp
's-Gravelandseweg,26,"","",1381HJ,Weesp
's-Gravelandseweg,26,A,"",1381HJ,Weesp
's-Gravelandseweg,27,"","",1381HJ,Weesp
's-Gravelandseweg,28,"","",1381HJ,Weesp
's-Gravelandseweg,28,A,"",1381HJ,Weesp
's-Gravelandseweg,29,"","",1381HJ,Weesp
's-Gravelandseweg,30,"","",1381HJ,Weesp
's-Gravelandseweg,30,A,"",1381HJ,Weesp
